original_path,archive_path,archived_at,git_sha_at_archive,method,reason,superseded_by,deletable_later
notebooks/05_preprocess_boamp_m0.ipynb,archive/notebooks_legacy/05_preprocess_boamp_m0.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/07_build_m0_candidate_pairs.ipynb,archive/notebooks_legacy/07_build_m0_candidate_pairs.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/08_run_m0_linkage.ipynb,archive/notebooks_legacy/08_run_m0_linkage.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/11_eval_m3_fellegi_sunter_mixture.ipynb,archive/notebooks_legacy/11_eval_m3_fellegi_sunter_mixture.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/12_eval_m4_corruption_recovery.ipynb,archive/notebooks_legacy/12_eval_m4_corruption_recovery.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/13_audit_current_project.ipynb,archive/notebooks_legacy/13_audit_current_project.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/14_eval_m6d_temporal_window_sensitivity.ipynb,archive/notebooks_legacy/14_eval_m6d_temporal_window_sensitivity.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/15_eval_duration_leakage.ipynb,archive/notebooks_legacy/15_eval_duration_leakage.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
notebooks/16_survival_robustness.ipynb,archive/notebooks_legacy/16_survival_robustness.ipynb,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,superseded by the 3-notebook redesign (01/02/03),notebooks/01_data_engineering_pipeline.ipynb + 02_eda + 03_analysis,after review
scripts/_build_final_audit.py,archive/scripts_legacy/_build_final_audit.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,logic extracted into src/boamp/ (parity-verified) and notebooks 01/03,src/boamp/* + notebooks,after review
scripts/_build_schema_summary.py,archive/scripts_legacy/_build_schema_summary.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,logic extracted into src/boamp/ (parity-verified) and notebooks 01/03,src/boamp/* + notebooks,after review
scripts/_build_source_trace.py,archive/scripts_legacy/_build_source_trace.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,logic extracted into src/boamp/ (parity-verified) and notebooks 01/03,src/boamp/* + notebooks,after review
scripts/analyze_manual_validation_labels.py,archive/scripts_legacy/analyze_manual_validation_labels.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,awaits human labels that were never produced; revive together with the archived unlabeled sample CSVs if manual validation happens,src/boamp/* + notebooks,after review
scripts/audit_current_project.py,archive/scripts_legacy/audit_current_project.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,logic extracted into src/boamp/ (parity-verified) and notebooks 01/03,src/boamp/* + notebooks,after review
scripts/build_final_scientific_audit.py,archive/scripts_legacy/build_final_scientific_audit.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,logic extracted into src/boamp/ (parity-verified) and notebooks 01/03,src/boamp/* + notebooks,after review
scripts/build_m0_candidate_pairs.py,archive/scripts_legacy/build_m0_candidate_pairs.py,2026-07-17T14:41:58,262fc6444cde009f2c59b6344f95cdad62c6e64c,git mv,logic extracted into src/boamp/ (parity-verified) and notebooks 01/03,src/boamp/* + notebooks,after review
