source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-100455,19-156899,2015-07-01,2019-10-18,NAME:nantes metropole,NAME_FALLBACK,51.57687253613666,2019-12-17,1.9710906701708277,0.6714848883048621,0.18108383494026647,1.0,0.6,0.5912505643053088,False,False,1,22,0.2356717649472893,window_6m,0.3230216936565234
15-105085,19-106429,2015-07-07,2019-07-11,NAME:ccir pays de la loire,NAME_FALLBACK,48.12746386333771,2019-07-07,0.1314060446780552,0.9780989925536575,0.06186143381372218,0.2,0.6,0.38617624997321714,False,True,1,1,0.38617624997321714,window_6m,0.3230216936565234
15-111481,19-59985,2015-07-20,2019-04-17,NAME:chu de nantes,NAME_FALLBACK,44.908015768725356,2019-07-20,3.088042049934297,0.4853263250109505,0.24087660376622497,1.0,0.6,0.5656383925709163,False,False,1,3,0.2509199337054042,window_6m,0.3230216936565234
15-112713,17-108459,2015-07-22,2017-07-27,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,24.178712220762154,2017-07-22,0.164257555847569,0.9726237406920718,0.012642194804825093,0.1,0.6,0.33758070335470675,True,False,1,8,0.013186891043341975,window_6m,0.3230216936565234
15-113716,16-67782,2015-07-22,2016-05-11,NAME:insee,NAME_FALLBACK,9.658344283837057,2016-05-10,0.0328515111695138,0.9945247481384144,0.022320487196623752,0.1,0.6,0.3464433575534219,True,False,1,2,0.17480735229718014,window_6m,0.3230216936565234
15-115319,18-28408,2015-07-27,2018-02-28,NAME:conseil regional des pays de la loire,NAME_FALLBACK,31.110381077529563,2018-02-19,0.2956636005256242,0.9507227332457293,0.004386298049555943,0.1,0.6,0.3292158876287769,True,False,1,13,0.039224488214449627,window_6m,0.3230216936565234
15-115988,18-25585,2015-07-27,2018-02-22,NAME:angers loire metropole,NAME_FALLBACK,30.913272010512483,2018-07-27,5.091984231274639,0.1513359614542269,0.012524595569823146,0.8,0.6,0.3422175988129948,False,False,1,9,0.037458025633616276,window_6m,0.3230216936565234
15-115991,20-8882,2015-07-27,2020-01-20,NAME:ville d angers,NAME_FALLBACK,53.810775295663596,2020-03-31,2.3324572930354797,0.61125711782742,0.42590244854745934,1.0,0.6,0.6618801364484657,False,False,1,1,0.6618801364484657,window_6m,0.3230216936565234
15-118979,19-130357,2015-07-30,2019-08-27,NAME:departement de la sarthe,NAME_FALLBACK,48.91590013140604,2019-07-30,0.9198423127463863,0.8466929478756022,0.6503475598029482,0.1,0.6,0.5292948828999324,True,False,1,10,0.0018219278510775982,window_6m,0.3230216936565234
15-126308,16-10649,2015-08-13,2016-01-25,NAME:sdis 44,NAME_FALLBACK,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.44951859674661243,0.0,0.6,0.4413240625187826,False,False,1,1,0.4413240625187826,window_6m,0.3230216936565234
15-136102,18-158087,2015-09-07,2018-11-15,NAME:sm megalis,NAME_FALLBACK,38.272010512483575,2018-09-07,2.266754270696452,0.6222076215505914,0.694326259868366,1.0,0.6,0.7585660963415759,False,False,1,3,0.40880070576485267,window_6m,0.3230216936565234
15-137458,18-158087,2015-09-09,2018-11-15,NAME:sm megalis,NAME_FALLBACK,38.206307490144546,2018-09-09,2.2010512483574245,0.6331581252737626,0.3652955712064892,1.0,0.6,0.6461429812407118,False,False,1,3,0.3059260407060882,window_6m,0.3230216936565234
15-139094,19-141668,2015-09-10,2019-09-19,NAME:sdis 85,NAME_FALLBACK,48.29172141918528,2019-12-07,2.59526938239159,0.567455102934735,0.13363366849178385,0.6,0.6,0.4286355597058081,False,False,1,3,0.07797749239710117,window_6m,0.3230216936565234
15-139179,16-68672,2015-09-10,2016-05-12,NAME:ecole centrale de nantes,NAME_FALLBACK,8.04862023653088,2016-03-10,2.0696452036793693,0.6550591327201052,0.2979312114757571,0.1,0.6,0.3580407071965413,True,False,1,4,0.04071261956850547,window_6m,0.3230216936565234
