source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source_x,candidate_buyer_identity_source_x,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1_x,candidate_buyer_siren_m1_x,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,profile_evidence_status,profile_evidence_reason,source_profile_domains,candidate_profile_domains,shared_profile_domains,source_domain_specificity,candidate_domain_specificity,profile_conflict_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
15-100455,19-156899,2015-07-01,2019-10-18,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.1810838349402665,1.0,0.6,0.5912505643053088,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,1,22,0.23567176494728936
15-100455,19-189603,2015-07-01,2019-12-22,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,53.712220762155056,2019-12-17,0.164257555847569,0.9726237406920718,0.1497796119571471,0.0,0.6,0.3555787993580194,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,2,22,0.23567176494728936
15-100455,19-189628,2015-07-01,2019-12-20,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,53.646517739816034,2019-12-17,0.0985545335085413,0.9835742444152432,0.012245191746098,0.1,0.6,0.3401793782149451,0.3230216936565233,True,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,3,22,0.23567176494728936
15-100455,20-21049,2015-07-01,2020-02-11,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,55.387647831800265,2019-12-17,1.8396846254927728,0.6933858957512046,0.1180576360831311,0.1,0.6,0.304666646566897,0.3230216936565233,True,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,4,22,0.23567176494728936
15-100455,19-191665,2015-07-01,2019-12-26,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,53.84362680683312,2019-12-17,0.2956636005256242,0.9507227332457292,0.0081407381070643,0.0,0.6,0.3005299416489048,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,5,22,0.23567176494728936
15-100455,20-26585,2015-07-01,2020-02-23,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,55.78186596583443,2019-12-17,2.2339027595269383,0.6276828734121769,0.2164641900788095,0.0,0.6,0.2926831848806275,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,6,22,0.23567176494728936
15-100455,19-158679,2015-07-01,2019-10-18,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.021654651474914,0.1,0.6,0.2654503500924354,0.3230216936565233,True,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,7,22,0.23567176494728936
15-100455,20-11000,2015-07-01,2020-01-25,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,54.82917214191853,2019-12-17,1.281208935611038,0.7864651773981604,0.0167376432179171,0.0,0.6,0.2624744694758111,0.3230216936565233,False,True,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,8,22,0.23567176494728936
15-100455,20-25276,2015-07-01,2020-02-21,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,55.7161629434954,2019-12-17,2.1681997371879107,0.6386333771353483,0.1075444394370467,0.0,0.6,0.2572988980868034,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,9,22,0.23567176494728936
15-100455,19-151382,2015-07-01,2019-10-09,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,51.28120893561104,2019-12-17,2.266754270696452,0.6222076215505914,0.1179969188261516,0.0,0.6,0.2568508269768009,0.3230216936565233,False,True,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,10,22,0.23567176494728936
