source_notice_id,publication_year,cpv_division,buyer_key,buyer_key_type,duration_status,buyer_publication_frequency,n_later_same_buyer_sources,n_later_same_buyer_in_temporal_window,n_scored_candidates,best_score,second_best_score,score_margin,source_has_only_one_candidate,selected_candidate_notice_id,selected_candidate_multiplicity,zero_candidate_cause
23-140699,2023,50,NAME:3rd anjou,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
15-31797,2015,72,NAME:acoss,NAME_FALLBACK,imputed,3,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
22-105844,2022,77,NAME:acoss,NAME_FALLBACK,imputed,3,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
23-167185,2023,50,NAME:acoss,NAME_FALLBACK,imputed,3,0,0,0,,,,False,,0,no_later_same_buyer_notice
25-86689,2025,48,NAME:acquisition maintenance et hebergement d un outil de visualisation de la strategie environnementale et energetique pour le patrimoine bati de la ville et metropole de nantes et mission d accompagnement pour la mise en oeuvre,NAME_FALLBACK,observed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
15-69493,2015,72,NAME:ademe,NAME_FALLBACK,imputed,10,9,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-1046,2016,72,NAME:ademe,NAME_FALLBACK,imputed,10,8,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-67267,2016,48,NAME:ademe,NAME_FALLBACK,imputed,10,7,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-93714,2016,30,NAME:ademe,NAME_FALLBACK,imputed,10,6,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
17-59442,2017,72,NAME:ademe,NAME_FALLBACK,imputed,10,5,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
17-115928,2017,72,NAME:ademe,NAME_FALLBACK,imputed,10,4,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
17-130666,2017,72,NAME:ademe,NAME_FALLBACK,imputed,10,3,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-28473,2018,72,NAME:ademe,NAME_FALLBACK,imputed,10,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-38071,2018,79,NAME:ademe,NAME_FALLBACK,imputed,10,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-43289,2018,72,NAME:ademe,NAME_FALLBACK,imputed,10,0,0,0,,,,False,,0,no_later_same_buyer_notice
20-54010,2020,32,NAME:adoma,NAME_FALLBACK,imputed,2,1,1,1,0.281039021365147,,0.281039021365147,True,23-37461,1,has_candidates
23-37461,2023,79,NAME:adoma,NAME_FALLBACK,imputed,2,0,0,0,,,,False,,0,no_later_same_buyer_notice
18-57918,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,8,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-66502,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,7,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-125586,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,6,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-144285,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,5,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-151695,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,4,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
18-179065,2018,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,3,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
19-8820,2019,72,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
19-79758,2019,79,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-79138,2020,32,NAME:agce pour l enst fr a l etranger,NAME_FALLBACK,imputed,9,0,0,0,,,,False,,0,no_later_same_buyer_notice
