candidate_notice_id,n_sources_selecting_candidate,source_notice_id,buyer_key,m0_composite_score,top1_top2_margin,source_objet_clean,source_cpv_clean,source_cpv_division
24-75502,6,20-32203,NAME:nantes metropole,0.707475235534117,0.2585203101532471,prestations de conseils et d'assistance et d'intégration autour de la ged nuxeo,72227000,72
24-75502,6,20-98214,NAME:nantes metropole,0.4366162943495401,0.1645920840589044,organisation d'une démarche citoyenne post covid/temps long,72224000,72
24-75502,6,20-98264,NAME:nantes metropole,0.4366162943495401,0.1645920840589044,organisation d'une démarche citoyenne post covid/temps long,72224000,72
24-75502,6,20-66643,NAME:nantes metropole,0.4010092558551231,0.0123014957125613,"maintenance, l'hébergement et les évolutions du logiciel e-venement de gestion de la billetterie des établissements culturels de nantes métropole et de la ville de nantes et prestations associées.",72250000,72
24-75502,6,20-86796,NAME:nantes metropole,0.3623762781595386,0.1143135204416654,analyse des journaux d'événements des systèmes numériquesde la métropole en vue de détecter des incidents decybersécurité,72316000,72
24-75502,6,23-169673,NAME:nantes metropole,0.3235544524947005,0.0586950145080187,"maintenance, hébergement et évolution de la solution logicielle local trust mpe de dématérialisation des marchés publics",,
26-56462,6,26-9688,SIRET:24440040400129,0.4723883765768383,0.021915613695382,"Prestations de conception, développement, intégration et maintenance de sites web pour le groupement de commandes informatiques et prestations associées",,
26-56462,6,25-135711,SIRET:24440040400129,0.4163357249541315,0.0245238414153833,Achat de logiciels bureautiques pour les besoins du groupement de commandes informatiques,,
26-56462,6,26-20284,SIRET:24440040400129,0.4141299693992958,0.0336071779624864,Prestations de services topographiques pour le compte du groupement de commandes informatiques Nantes Métropole et Ville de Nantes,,
26-56462,6,25-137164,SIRET:24440040400129,0.3773509617608386,0.0368904843952418,Acquisition et mise en œuvre d'une solution logicielle de gestion et de publication des archives pour Nantes Métropole,,
26-56462,6,25-134888,SIRET:24440040400129,0.3528065845504687,0.0158247350467051,Contrat de service d'intégration d'applications informatiques et de gestion de bases de données,,
26-56462,6,22-69242,SIRET:24440040400129,0.349172865937647,0.0111029577711305,acquisition d'un outil socle de gestion des contacts et d'evenements,48000000,48
21-77546,5,17-29415,NAME:conseil departemental loire-atlantique,0.6673926099145326,0.2792951630005564,Prestations d'ingénierie et d'expertise autour des composants d'infrastructure,72611000,72
21-77546,5,17-104238,NAME:conseil departemental loire-atlantique,0.5657452894961355,0.1726352637314895,Prestations de conception et d'accompagnement pour la mise en place d'un laboratoire des usages numériques,72611000,72
21-77546,5,17-80194,NAME:conseil departemental loire-atlantique,0.49373263003463,0.1189434655570794,Maintenance et évolution de la plateforme de stages 3éme 'Milliweb',72610000,72
21-77546,5,18-74544,NAME:conseil departemental loire-atlantique,0.4111821340991428,0.0430328801846028,Maintenance du parc informatique du Département et des collèges de Loire-Atlantique,50312000,50
21-77546,5,17-161917,NAME:conseil departemental loire-atlantique,0.4082112345310021,0.1930467330036451,Assistance pour le développement spécifique applicatif,72611000,72
23-125766,5,19-151382,NAME:nantes metropole,0.6435523994091354,0.0227332686844108,"acquisition et mise en oeuvre d'une solution intégrée de préparation et de gestion des assemblées de nantes métropole, ville de nantes et ccas",48000000,48
23-125766,5,18-90097,NAME:nantes metropole,0.555412931107854,0.0704454169109268,acquisition et mise en oeuvre d'une solution logicielle de gestion de l'occupation du domaine public,48000000,48
23-125766,5,19-92498,NAME:nantes metropole,0.5240817979589436,0.0343137007837204,"acquisition, mise en oeuvre, hébergement et maintenance d'une solution logicielle de gestion du centre de réception des appels institutionnels et d'organisation de la logistique (craiol)",48000000,48
23-125766,5,19-105083,NAME:nantes metropole,0.5153404788634388,0.009189663233176,"maintenance, mise à jour et acquisition de licences autocad et produits dérivés",48000000,48
