notice_id,publication_date,notice_type_normalized,buyer_name_raw,buyer_name_normalized,buyer_legal_name_enriched_display,buyer_siret_raw,buyer_siret_clean,buyer_siren_from_boamp_siret,buyer_siren_enriched,buyer_siren_enriched_raw,code_departement,enrichment_department_raw,url_avis,enrichment_boamp_url,buyer_legal_category_enriched,buyer_legal_category_sirene,buyer_legal_status_enriched
24-10260,2024-01-31,APPEL_OFFRE,Mairie de Saint-Herblain,mairie de saint-herblain,COMMUNE DE SAINT-HERBLAIN,17440005100010,17440005100010,174400051,214401622,214401622,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-10260,https://www.boamp.fr/pages/avis/?q=idweb:24-10260,Commune et commune nouvelle ,7210,A
24-9113,2024-01-28,APPEL_OFFRE,Tribunal Administratif de Nantes,tribunal administratif de nantes,CHU NANTES,17440005100010,17440005100010,174400051,264400136,264400136,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-9113,https://www.boamp.fr/pages/avis/?q=idweb:24-9113,Établissement d'hospitalisation ,7364,A
24-7015,2024-01-23,ATTRIBUTION,Communauté de communes Estuaire et Sillon,communaute de communes estuaire et sillon,COMMUNAUTE DE COMMUNES ESTUAIRE ET SILLON,17440005100010,17440005100010,174400051,200072734,200072734,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-7015,https://www.boamp.fr/pages/avis/?q=idweb:24-7015,Communauté de communes ,7346,A
24-1260,2024-01-06,ATTRIBUTION,GPM de Nantes - St Nazaire,gpm de nantes - st nazaire,GRAND PORT MARITIME DE NANTES SAINT-NAZAIRE,77560485100041,77560485100041,775604851,775604853,775604853,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-1260,https://www.boamp.fr/pages/avis/?q=idweb:24-1260,Établissement public national à caractère industriel ou commercial doté d'un comptable public ,4110,A
24-9910,2024-01-30,APPEL_OFFRE,Tribunal Administratif de Nantes,tribunal administratif de nantes,CHU NANTES,17440005100010,17440005100010,174400051,264400136,264400136,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-9910,https://www.boamp.fr/pages/avis/?q=idweb:24-9910,Établissement d'hospitalisation ,7364,A
24-15838,2024-02-09,ATTRIBUTION,COMMUNE DE BAIN DE BRETAGNE,commune de bain de bretagne,COMMUNE DE BAIN DE BRETAGNE,38054121900131,38054121900131,380541219,213500127,213500127,35;44;56,"35,44,56",https://www.boamp.fr/pages/avis/?q=idweb:24-15838,https://www.boamp.fr/pages/avis/?q=idweb:24-15838,Commune et commune nouvelle ,7210,A
24-16408,2024-02-11,APPEL_OFFRE,SDIS 44,sdis 44,SCE DEPARTEMENTAL INCENDIE ET SECOURS,17350111500864,17350111500864,173501115,284400017,284400017,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-16408,https://www.boamp.fr/pages/avis/?q=idweb:24-16408,Service départemental d'incendie et de secours (SDIS),7372,A
24-19871,2024-02-18,APPEL_OFFRE,NANTES METROPOLE AMENAGEMENT MANDATAIRE AGISSANT AU NOM ET POUR LE COMPTE DE LA VILLE DE NANTES,nantes metropole amenagement mandataire agissant au nom et pour le compte de la ville de nantes,NANTES METROPOLE AMENAGEMENT,17440005100010,17440005100010,174400051,345002281,345002281,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-19871,https://www.boamp.fr/pages/avis/?q=idweb:24-19871,SA à conseil d'administration (s.a.i.),5599,A
24-21906,2024-02-23,ATTRIBUTION,REGION PAYS DE LA LOIRE,region pays de la loire,REGION DES PAYS DE LA LOIRE,81272019100046,81272019100046,812720191,234400034,234400034,49;44;53;72;85,"49,44,53,72,85",https://www.boamp.fr/pages/avis/?q=idweb:24-21906,https://www.boamp.fr/pages/avis/?q=idweb:24-21906,Région ,7230,A
24-22391,2024-02-23,APPEL_OFFRE,Nantes Université,nantes universite,NANTES UNIVERSITE,17440005100010,17440005100010,174400051,130029747,130029747,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-22391,https://www.boamp.fr/pages/avis/?q=idweb:24-22391,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-22411,2024-02-23,APPEL_OFFRE,Région des Pays de la Loire,region des pays de la loire,REGION DES PAYS DE LA LOIRE,17440005100010,17440005100010,174400051,234400034,234400034,44;49;53;72;85,"44,49,53,72,85",https://www.boamp.fr/pages/avis/?q=idweb:24-22411,https://www.boamp.fr/pages/avis/?q=idweb:24-22411,Région ,7230,A
24-12133,2024-02-02,APPEL_OFFRE,Tribunal administratif de Nantes,tribunal administratif de nantes,AGENCE REGIONALE DE SANTE PAYS DE LOIRE,17440005100010,17440005100010,174400051,130008006,130008006,44;49;53;72;85,"44,49,53,72,85",https://www.boamp.fr/pages/avis/?q=idweb:24-12133,https://www.boamp.fr/pages/avis/?q=idweb:24-12133,Autre établissement public national administratif à compétence territoriale limitée ,7385,A
24-12989,2024-02-04,APPEL_OFFRE,Alter Public au nom et pour le compte d'Angers Loire Métropole.,alter public au nom et pour le compte d angers loire metropole,ALTER PUBLIC,17440005100010,17440005100010,174400051,528848153,528848153,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-12989,https://www.boamp.fr/pages/avis/?q=idweb:24-12989,SA à conseil d'administration (s.a.i.),5599,A
24-24489,2024-02-29,ATTRIBUTION,Nantes Université,nantes universite,NANTES UNIVERSITE,31102091100013,31102091100013,311020911,130029747,130029747,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-24489,https://www.boamp.fr/pages/avis/?q=idweb:24-24489,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-23638,2024-02-27,APPEL_OFFRE,Nantes Université,nantes universite,NANTES UNIVERSITE,17440005100010,17440005100010,174400051,130029747,130029747,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-23638,https://www.boamp.fr/pages/avis/?q=idweb:24-23638,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-23900,2024-02-28,APPEL_OFFRE,NANTES METROPOLE AMENAGEMENT - MANDATAIRE AGISSANT AU NOM ET POUR LE COMPTE DE LA VILLE D'ORVAULT,nantes metropole amenagement - mandataire agissant au nom et pour le compte de la ville d orvault,NANTES METROPOLE AMENAGEMENT,17440005100010,17440005100010,174400051,345002281,345002281,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-23900,https://www.boamp.fr/pages/avis/?q=idweb:24-23900,SA à conseil d'administration (s.a.i.),5599,A
24-23125,2024-02-25,APPEL_OFFRE,NANTES METROPOLE AMENAGEMENT MANDATAIRE AGISSANT AU NOM ET POUR LE COMPTE DE LA VILLE DE NANTES,nantes metropole amenagement mandataire agissant au nom et pour le compte de la ville de nantes,NANTES METROPOLE AMENAGEMENT,17440005100010,17440005100010,174400051,345002281,345002281,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-23125,https://www.boamp.fr/pages/avis/?q=idweb:24-23125,SA à conseil d'administration (s.a.i.),5599,A
24-23445,2024-02-27,APPEL_OFFRE,PLATEFORME COMMISSARIAT SUD OUEST,plateforme commissariat sud ouest,MINISTERE DES ARMEES ET DES ANCIENS COMBATTANTS,11000201100044,11000201100044,110002011,110090016,110090016,86;79;85,"86,79,85",https://www.boamp.fr/pages/avis/?q=idweb:24-23445,https://www.boamp.fr/pages/avis/?q=idweb:24-23445,Ministère ,7113,A
24-23447,2024-02-27,APPEL_OFFRE,COMMUNE DE CESSON-SEVIGNE,commune de cesson-sevigne,COMMUNE DE CESSON SEVIGNE,17350005900014,17350005900014,173500059,213500515,213500515,35;56;29;22;53,"35,56,29,22,53",https://www.boamp.fr/pages/avis/?q=idweb:24-23447,https://www.boamp.fr/pages/avis/?q=idweb:24-23447,Commune et commune nouvelle ,7210,A
24-15783,2024-02-09,ATTRIBUTION,Tribunal Administratif de Nantes,tribunal administratif de nantes,CHD LA ROCHE SUR YON LUCON MONTAIGU,17440005100010,17440005100010,174400051,268502424,268502424,85,85,https://www.boamp.fr/pages/avis/?q=idweb:24-15783,https://www.boamp.fr/pages/avis/?q=idweb:24-15783,Établissement d'hospitalisation ,7364,A
24-17867,2024-02-14,APPEL_OFFRE,Tribunal administratif de Nantes,tribunal administratif de nantes,DEPARTEMENT DE MAINE ET LOIRE,17440005100010,17440005100010,174400051,224900019,224900019,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-17867,https://www.boamp.fr/pages/avis/?q=idweb:24-17867,Département ,7220,A
24-19083,2024-02-16,ATTRIBUTION,Nantes Université,nantes universite,NANTES UNIVERSITE,53870002200279,53870002200279,538700022,130029747,130029747,44;49;85,"44,49,85",https://www.boamp.fr/pages/avis/?q=idweb:24-19083,https://www.boamp.fr/pages/avis/?q=idweb:24-19083,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-19085,2024-02-16,APPEL_OFFRE,Nantes Université,nantes universite,NANTES UNIVERSITE,17440005100010,17440005100010,174400051,130029747,130029747,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-19085,https://www.boamp.fr/pages/avis/?q=idweb:24-19085,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-20029,2024-02-18,ATTRIBUTION,Syndicat Intercommunal d'Énergies de Maine-et-Loire (Siéml),syndicat intercommunal d energies de maine-et-loire sieml,SI ENERGIES DE MAINE ET LOIRE,17350111500864,17350111500864,173501115,254901309,254901309,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-20029,https://www.boamp.fr/pages/avis/?q=idweb:24-20029,Syndicat mixte fermé ,7354,A
24-20309,2024-02-20,APPEL_OFFRE,COMMUNE DE BAIN DE BRETAGNE,commune de bain de bretagne,COMMUNE DE BAIN DE BRETAGNE,17350005900014,17350005900014,173500059,213500127,213500127,35;44;56,"35,44,56",https://www.boamp.fr/pages/avis/?q=idweb:24-20309,https://www.boamp.fr/pages/avis/?q=idweb:24-20309,Commune et commune nouvelle ,7210,A
24-21719,2024-02-22,APPEL_OFFRE,SICOM de Ressources Informatiques - SIRI,sicom de ressources informatiques - siri,COMMUNE D'AVRILLE,20008776100015,20008776100015,200087761,214900151,214900151,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-21719,https://www.boamp.fr/pages/avis/?q=idweb:24-21719,Commune et commune nouvelle ,7210,A
24-21817,2024-02-23,APPEL_OFFRE,REGION PAYS DE LA LOIRE,region pays de la loire,REGION DES PAYS DE LA LOIRE,17440005100010,17440005100010,174400051,234400034,234400034,44;49;53;72;85,"44,49,53,72,85",https://www.boamp.fr/pages/avis/?q=idweb:24-21817,https://www.boamp.fr/pages/avis/?q=idweb:24-21817,Région ,7230,A
24-22084,2024-02-23,ATTRIBUTION,"ALTER PUBLIC
agissant au nom et pour le compte de la Communauté de Communes Anjou Bleu Communauté",alter public agissant au nom et pour le compte de la communaute de communes anjou bleu communaute,ALTER PUBLIC,45153441600016,45153441600016,451534416,528848153,528848153,49,49,https://www.boamp.fr/pages/avis/?q=idweb:24-22084,https://www.boamp.fr/pages/avis/?q=idweb:24-22084,SA à conseil d'administration (s.a.i.),5599,A
24-22237,2024-02-23,ATTRIBUTION,Commune de Saint Denis La Chevasse,commune de saint denis la chevasse,COMMUNE DE SAINT-DENIS-LA-CHEVASSE,17440005100010,17440005100010,174400051,218502086,218502086,85,85,https://www.boamp.fr/pages/avis/?q=idweb:24-22237,https://www.boamp.fr/pages/avis/?q=idweb:24-22237,Commune et commune nouvelle ,7210,A
24-13899,2024-02-06,APPEL_OFFRE,Ville de Saint-Malo,ville de saint-malo,COMMUNE DE SAINT MALO,17350005900014,17350005900014,173500059,213502883,213502883,35;22;50;56;29;53;44,"35,22,50,56,29,53,44",https://www.boamp.fr/pages/avis/?q=idweb:24-13899,https://www.boamp.fr/pages/avis/?q=idweb:24-13899,Commune et commune nouvelle ,7210,A
24-24363,2024-02-28,ATTRIBUTION,Région des Pays de la Loire,region des pays de la loire,REGION DES PAYS DE LA LOIRE,53217613800024,53217613800024,532176138,234400034,234400034,44;49;53;72;85,"44,49,53,72,85",https://www.boamp.fr/pages/avis/?q=idweb:24-24363,https://www.boamp.fr/pages/avis/?q=idweb:24-24363,Région ,7230,A
24-15758,2024-02-09,ATTRIBUTION,SDIS de la Vendée,sdis de la vendee,SCE DEPARTEMENTAL INCENDIE ET SECOURS,17440005100010,17440005100010,174400051,288500010,288500010,85,85,https://www.boamp.fr/pages/avis/?q=idweb:24-15758,https://www.boamp.fr/pages/avis/?q=idweb:24-15758,Service départemental d'incendie et de secours (SDIS),7372,A
24-16380,2024-02-11,APPEL_OFFRE,Rectorat Division Scus,rectorat division scus,RECTORAT DE L'ACADEMIE DE NANTES,11000201100044,11000201100044,110002011,174404301,174404301,49;44,"49,44",https://www.boamp.fr/pages/avis/?q=idweb:24-16380,https://www.boamp.fr/pages/avis/?q=idweb:24-16380,(Autre) Service déconcentré de l'État à compétence territoriale ,7179,A
24-16969,2024-02-11,APPEL_OFFRE,CHD VENDEE - Etablissement support du GHT Vendée,chd vendee - etablissement support du ght vendee,CHD LA ROCHE SUR YON LUCON MONTAIGU,17440005100010,17440005100010,174400051,268502424,268502424,85,85,https://www.boamp.fr/pages/avis/?q=idweb:24-16969,https://www.boamp.fr/pages/avis/?q=idweb:24-16969,Établissement d'hospitalisation ,7364,A
24-17454,2024-02-14,APPEL_OFFRE,Nantes Université,nantes universite,NANTES UNIVERSITE,13002928300012,13002928300012,130029283,130029747,130029747,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-17454,https://www.boamp.fr/pages/avis/?q=idweb:24-17454,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-12201,2024-02-02,APPEL_OFFRE,Tribunal Administratif de Nantes,tribunal administratif de nantes,CHU NANTES,17440005100010,17440005100010,174400051,264400136,264400136,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-12201,https://www.boamp.fr/pages/avis/?q=idweb:24-12201,Établissement d'hospitalisation ,7364,A
24-12616,2024-02-03,APPEL_OFFRE,Centre national de production d'infrastructure de la défense,centre national de production d infrastructure de la defense,MINISTERE DES ARMEES ET DES ANCIENS COMBATTANTS,11000201100044,11000201100044,110002011,110090016,110090016,78;91;33;13;59;44;77;22,"78,91,33,13,59,44,77,22",https://www.boamp.fr/pages/avis/?q=idweb:24-12616,https://www.boamp.fr/pages/avis/?q=idweb:24-12616,Ministère ,7113,A
