dimension,value,rows_with_boamp_siret_and_enriched_siren,agreement_count,disagreement_count,agreement_rate
overall,all,7939,6937,1002,0.8737876306839653
year,2024,3715,3091,624,0.8320323014804846
year,2025,3077,2781,296,0.9038024049398765
year,2026,1147,1065,82,0.9285091543156059
notice_type,APPEL_OFFRE,5087,4446,641,0.8739925299783763
notice_type,ATTRIBUTION,2770,2413,357,0.8711191335740072
notice_type,OTHER,82,78,4,0.9512195121951219
buyer_key_type,RAW_SIRET,7939,6937,1002,0.8737876306839653
department,10;21;27;35;38;49;59;69;75,1,1,0,1.0
department,10;44;51;52;55;57;59,2,2,0,1.0
department,10;51;53;54;55;57;88,1,1,0,1.0
department,10;70;75;76;77;85;92;93;94,1,1,0,1.0
department,11;17;24;30;34;45;49;82,1,1,0,1.0
department,12;13;29;35;47;49;67;75,1,1,0,1.0
department,13;14;38;44;59;69;75;91;93,1,1,0,1.0
department,13;15;38;44;55;62;69;75;93,1,1,0,1.0
department,13;17;31;33;35;44;57;69;75,2,2,0,1.0
department,13;17;40;64;75;77;85;86,1,1,0,1.0
department,13;18;38;57;71;72;78,1,0,1,0.0
department,13;18;38;57;71;72;78;91,2,0,2,0.0
department,13;18;38;71;72;78;91,3,0,3,0.0
department,13;21;31;33;35;44;67;69;75,1,1,0,1.0
department,13;21;31;33;44;59;67;69;75,1,1,0,1.0
department,13;21;33;44;45;59;67;69;75,1,1,0,1.0
department,13;21;34;35;48;49;63,3,3,0,1.0
department,13;22;29;31;35;44;49;75,1,1,0,1.0
department,13;22;29;35;44;49;69;75,1,1,0,1.0
department,13;22;29;35;44;49;75,1,1,0,1.0
department,13;22;29;44;50;59;62;92,1,0,1,0.0
department,13;22;31;33;35;44;56;69;75,1,1,0,1.0
department,13;22;33;44;59;77;78;91,1,0,1,0.0
department,13;24;44;85,1,1,0,1.0
department,13;28;33;44;59;75;76;82,1,0,1,0.0
department,13;29;35;44;49;75;85,1,1,0,1.0
department,13;29;40;50;56;62;80;85;94,1,1,0,1.0
department,13;31;33;34;35;44;59;69;75,2,2,0,1.0
department,13;31;33;35;44;59;67;69;75,4,3,1,0.75
department,13;31;33;35;44;59;67;75,1,1,0,1.0
department,13;31;33;35;44;67;75,1,1,0,1.0
department,13;31;33;38;44;59;69;75,1,1,0,1.0
department,13;31;33;44;57;59;69;75,1,1,0,1.0
department,13;31;33;44;59;69;75,3,1,2,0.3333333333333333
department,13;31;33;44;67;69;75,2,2,0,1.0
department,13;31;44;67;69;75;92;93;94,1,0,1,0.0
department,13;31;65;75;78;79;85;86,1,1,0,1.0
department,13;33;34;44;66;75,1,1,0,1.0
department,13;33;35;44;49;75;92;93;94,1,1,0,1.0
department,13;33;35;44;57;67;69;75,1,1,0,1.0
department,13;33;37;44;59;67;69;75,1,0,1,0.0
department,13;33;44;59;67;69;75,2,1,1,0.5
department,13;33;44;69;75;92;93;94;95,1,0,1,0.0
department,13;33;44;75;83;91;92;93,1,0,1,0.0
department,13;33;49;51;53;57;59;71;75,1,1,0,1.0
department,13;33;49;51;57;59,1,1,0,1.0
department,13;33;49;51;57;59;71,1,1,0,1.0
department,13;33;49;51;57;59;71;73;75,5,5,0,1.0
department,13;33;49;51;57;59;71;75,16,16,0,1.0
department,13;33;49;57;59;71;75,2,2,0,1.0
department,13;35;44;76,3,3,0,1.0
department,13;37;44;62,2,0,2,0.0
