variant,model,term,coef,exp_coef,p,ci_lower,ci_upper
balanced_reference,cox_duration,log_duration,-0.47875887097346537,0.6195518586194374,6.045324742649143e-24,0.5645387526521264,0.6799258752664011
balanced_reference,cox_duration,dur_was_imputed,-0.8213059106189485,0.4398568655246632,2.055166102377022e-08,0.33009200052957516,0.5861216322685379
balanced_reference,cox_duration_clustered,log_duration,-0.47875887097346537,0.6195518586194374,2.1332741421313635e-12,0.542090310172861,0.7080822112396725
balanced_reference,cox_duration_clustered,dur_was_imputed,-0.8213059106189485,0.4398568655246632,0.01346178866849769,0.2293119039639559,0.8437157374071284
no_temporal_score_reference_pool,cox_duration,log_duration,-0.35976534173660046,0.6978400607962236,6.667825579297898e-14,0.635175196359278,0.7666872907559559
no_temporal_score_reference_pool,cox_duration,dur_was_imputed,-1.0467919392276988,0.35106217332308054,1.5405708761319493e-12,0.2626444561550903,0.4692451968814802
no_temporal_score_reference_pool,cox_duration_clustered,log_duration,-0.35976534173660046,0.6978400607962236,3.808389873463829e-05,0.5880388436861023,0.8281438474360882
no_temporal_score_reference_pool,cox_duration_clustered,dur_was_imputed,-1.0467919392276988,0.35106217332308054,0.0005396035446167219,0.19403580508430068,0.6351644712416857
forward_24m_no_duration,cox_duration,log_duration,0.2955991515112362,1.3439313360014713,6.537756328455278e-12,1.2352025220000544,1.462231013714381
forward_24m_no_duration,cox_duration,dur_was_imputed,-0.10224962081562074,0.9028041648274535,0.3558500341423796,0.7266554703848161,1.1216530986798539
forward_24m_no_duration,cox_duration_clustered,log_duration,0.2955991515112362,1.3439313360014713,9.029675562767982e-08,1.2058810487448843,1.4977857374627406
forward_24m_no_duration,cox_duration_clustered,dur_was_imputed,-0.10224962081562074,0.9028041648274535,0.4818655522555544,0.6789567554062101,1.200452537720403
