validation_case_id,validation_stratum,source_notice_id,candidate_notice_id,source_publication_date,candidate_publication_date,time_gap_months,source_buyer_key_type,candidate_buyer_key_type,source_buyer_name_normalized,candidate_buyer_name_normalized,source_cpv,candidate_cpv,source_cpv_division,candidate_cpv_division,source_object,candidate_object,source_boamp_url,candidate_boamp_url,reviewer_label,reviewer_confidence,buyer_identity_confidence,evidence_category,likely_error_mechanism,external_evidence_consulted,ai_assisted_summary_used,short_justification
VAL-0001,accepted_high_confidence_m0,20-2441,23-83529,2020-01-10 00:00:00,2023-06-18 00:00:00,41.22864651773981,RAW_SIRET,RAW_SIRET,ville du mans,ville du mans,32353000,32353000,32,32,Acquisition de documents sonores et audiovisuels - supports préenregistrés son et images destinés à tous les publics du réseau des médiathèques de la Ville du Mans - Années 2020 à,Acquisition de documents sonores et audiovisuels - supports préenregistrés son et images destinés à tous publics du réseau des médiathèques de la ville du Mans - Années 2024 à 2027,,,,,,,,,,
VAL-0002,accepted_high_confidence_m0,18-71689,22-150264,2018-05-29 00:00:00,2022-11-10 00:00:00,53.41655716162944,RAW_SIRET,RAW_SIRET,conseil regional des pays de la loire,conseil regional des pays de la loire,48000000,48000000,48,48,OUTIL DE PHOTOTHEQUE EN MODE SAAS,"Sourcing en vue du lancement d'un marché d'acquisition, installation, formation et maintenance d'un logiciel de gestion d'exploitation et de la maintenance dans l'ensemble des",,,,,,,,,,
VAL-0003,accepted_high_confidence_m0,20-142134,23-176813,2020-11-20 00:00:00,2023-12-20 00:00:00,36.957950065703024,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,32351200,32321300,32,32,"travaux de remplacement des écrans géants du stade de la beaujoire sis à nantes (44300), route de saint joseph.",fourniture de matériels audiovisuels pour les expositions temporaires du musée d'arts,,,,,,,,,,
VAL-0004,accepted_high_confidence_m0,19-129278,21-115415,2019-08-23 00:00:00,2021-08-25 00:00:00,24.08015768725361,NAME_FALLBACK,NAME_FALLBACK,conseil regional des pays de la loire,conseil regional des pays de la loire,30100000,30000000,30,30,LOCATION ET MAINTENANCE DE MATERIELS D'AFFRANCHISSEMENT ET D'UN LOGICIEL DE GESTION DU COURRIER SUIVI POUR LES SERVICES DE LA REGION DES PAYS DE LA LOIRE,Location et maintenance de matériels d'affranchissement et d'un logiciel de gestion du courrier suivi pour les services de la région des Pays de la Loire,,,,,,,,,,
VAL-0005,accepted_high_confidence_m0,17-8037,17-25692,2017-01-17 00:00:00,2017-02-22 00:00:00,1.1826544021024967,NAME_FALLBACK,NAME_FALLBACK,departement de la sarthe,departement de la sarthe,nan,nan,nan,nan,Fourniture et livraison de pièces détachées pour les compacteurs de marque CATERPILLAR,Fourniture et livraison de pièces détachées pour les compacteurs de marque CATERPILLAR,,,,,,,,,,
VAL-0006,accepted_high_confidence_m0,17-97609,21-38984,2017-07-07 00:00:00,2021-03-23 00:00:00,44.5137976346912,NAME_FALLBACK,NAME_FALLBACK,sdis 44,sdis 44,35100000,35113410,35,35,Fourniture de scies sabre électroportatives et de lames pour les besoins du Service Départemental d'Incendie et de Secours de Loire-Atlantique,Fourniture de tenues de protection chimique à ventilation assistée filtrée pour les besoins du service départemental d'incendie et de secours de Loire-Atlantique,,,,,,,,,,
VAL-0007,accepted_high_confidence_m0,17-15387,20-25372,2017-02-01 00:00:00,2020-02-20 00:00:00,36.596583442838366,NAME_FALLBACK,NAME_FALLBACK,universite de nantes,universite de nantes,66510000,42990000,66,42,"Services d'assurance Tous Risques Chantier & Dommages Ouvrage pour l'opération de la création d'un Pôle Interdisciplinaire dédié aux Cultures Numériques, Quartier de la Création - H",Equipements scientifiques pour le Pôle Interdisciplinaire des Cultures Numériques de l'Université de Nantes,,,,,,,,,,
VAL-0008,accepted_high_confidence_m0,23-90092,23-90557,2023-06-28 00:00:00,2023-06-29 00:00:00,0.0328515111695138,NAME_FALLBACK,NAME_FALLBACK,chd vendee,chd vendee,nan,42612000,nan,42,"Fourniture, livraison et installation d'un centre d'usinage à commande numérique bois et dérivé et formation à son utilisation et reprise de l'équipement existant pour les besoins du CH","Fourniture, livraison et installation d'un centre d'usinage à commande numérique bois et dérivé et formation à son utilisation et reprise de l'équipement existant pour les besoins du CH",,,,,,,,,,
VAL-0009,accepted_high_confidence_m0,20-26328,24-119150,2020-02-21 00:00:00,2024-10-18 00:00:00,55.88042049934297,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,72130000,72150000,72,72,"conseil en stratégie de contenus web, l'animation et la conception de contenus digitaux pour le site nantes entreprise dans ma poche",Lot 1 - Schéma directeur et SI Ressources Numériques Lot 2 Stratégie et enjeux numériques : l'élaboration d'une vision prospective des enjeux numériques du prochain mandat,,,,,,,,,,
VAL-0010,accepted_high_confidence_m0,15-173090,20-31844,2015-11-16 00:00:00,2020-03-04 00:00:00,51.57687253613666,NAME_FALLBACK,NAME_FALLBACK,universite de nantes,universite de nantes,72224000,72261000,72,72,assistance à maîtrise d'ouvrage pour l'accompagnement dans le montage d'un projet i-site du programme investissement d'avenir 2 (pia 2) Université à Nantes,Prestations de support des applicatifs liés à la plateforme UNcloud.,,,,,,,,,,
