source_notice_id,publication_date,publication_year,cpv_division,buyer_key,buyer_key_type,buyer_key_provenance,duration_months,duration_imputation_status,estimated_end_date,observable_followup_months,buyer_publication_frequency,later_same_buyer_notice_count,later_same_buyer_in_m0_window_count,m0_candidate_count,m0_best_candidate_notice_id,m0_best_score,m0_second_best_score,m0_score_margin,m0_accepted,m0_selected_candidate_notice_id,m0_selected_candidate_reuse_count,m1_candidate_count,m1_accepted,m1_selected_candidate_notice_id,m1_selected_candidate_reuse_count,m1_buyer_match_mechanism,profile_audited_link_present,profile_evidence_status,primary_linkage_status_reason,secondary_diagnostic_flags
23-140699,2023-10-15,2023,50,NAME:3rd anjou,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2026-10-15,32.91721419185282,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
15-31797,2015-03-04,2015,72,NAME:acoss,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-03-04,136.30091984231274,3,2,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
22-105844,2022-07-30,2022,77,NAME:acoss,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2023-01-30,47.43758212877792,3,1,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
23-167185,2023-12-02,2023,50,NAME:acoss,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2026-12-02,31.340341655716163,3,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
25-86689,2025-07-29,2025,48,NAME:acquisition maintenance et hebergement d un outil de visualisation de la strategie environnementale et energetique pour le patrimoine bati de la ville et metropole de nantes et mission d accompagnement pour la mise en oeuvre,NAME_FALLBACK,NAME_FALLBACK,48.0,observed,2029-09-22,11.465177398160314,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
15-69493,2015-06-10,2015,72,NAME:ademe,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-06-10,133.0814717477004,10,9,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
16-1046,2016-01-18,2016,72,NAME:ademe,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-01-18,125.78843626806832,10,8,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
16-67267,2016-05-12,2016,48,NAME:ademe,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-11-28,122.01051248357425,10,7,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
16-93714,2016-07-02,2016,30,NAME:ademe,NAME_FALLBACK,NAME_FALLBACK,24.0,imputed,2018-12-18,120.33508541392904,10,6,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
17-59442,2017-05-19,2017,72,NAME:ademe,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-07-15,109.78975032851511,10,5,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
17-115928,2017-08-25,2017,72,NAME:ademe,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2022-05-27,106.57030223390275,10,4,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
