variant,publication_year,n_sources,n_events,event_rate
broad,2015,266,121,0.4548872180451128
broad,2016,308,128,0.4155844155844156
broad,2017,322,153,0.4751552795031056
broad,2018,307,119,0.38762214983713356
broad,2019,314,114,0.3630573248407643
broad,2020,259,82,0.3166023166023166
broad,2021,306,65,0.21241830065359477
broad,2022,305,39,0.12786885245901639
broad,2023,283,13,0.045936395759717315
broad,2024,210,39,0.18571428571428572
broad,2025,189,47,0.24867724867724866
broad,2026,90,7,0.07777777777777778
balanced,2015,266,82,0.3082706766917293
balanced,2016,308,82,0.2662337662337662
balanced,2017,322,107,0.33229813664596275
balanced,2018,307,83,0.2703583061889251
balanced,2019,314,68,0.21656050955414013
balanced,2020,259,53,0.20463320463320464
balanced,2021,306,41,0.13398692810457516
balanced,2022,305,20,0.06557377049180328
balanced,2023,283,10,0.0353356890459364
balanced,2024,210,30,0.14285714285714285
balanced,2025,189,35,0.18518518518518517
balanced,2026,90,7,0.07777777777777778
strict,2015,266,42,0.15789473684210525
strict,2016,308,41,0.1331168831168831
strict,2017,322,65,0.20186335403726707
strict,2018,307,38,0.1237785016286645
strict,2019,314,30,0.09554140127388536
strict,2020,259,26,0.10038610038610038
strict,2021,306,17,0.05555555555555555
strict,2022,305,10,0.03278688524590164
strict,2023,283,7,0.024734982332155476
strict,2024,210,18,0.08571428571428572
strict,2025,189,11,0.0582010582010582
strict,2026,90,4,0.044444444444444446
