check,value,note
raw_notice_count,,see reports/tables/boamp_download_summary.csv
cleaned_notice_count,84623,
appel_offre_count,58292,
attribution_count,22560,
other_notice_type_count,3771,
date_range_min,2015-03-02 00:00:00,
date_range_max,2026-07-13 00:00:00,
duplicate_notice_ids,0,
missing_buyer_key_rate,0.0,
buyer_key_type_raw_siret_rate,0.2722,
buyer_key_type_raw_siren_rate,0.0,
buyer_key_type_name_fallback_rate,0.7278,
cpv_coverage_sources,0.7841,
generic_cpv_share_sources,0.0915,
duration_imputation_rate_sources,0.8803,
text_missingness_rate,0.0,
candidate_pair_count,6137,
avg_candidates_per_source,4.965,
sources_without_candidates,1923,
m0_event_count_broad,927,
m0_event_count_balanced,618,
m0_event_count_strict,309,
m0_event_rate_broad,0.2934,
m0_event_rate_balanced,0.1956,
m0_event_rate_strict,0.0978,
top_buyer_by_event_count_balanced,NAME:nantes metropole,
top_buyer_event_count_balanced,125,
candidate_notices_claimed_by_multiple_sources_balanced,121,
