candidate_notice_id,times_selected,buyer_match_mechanism
26-11967,8,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
26-45351,7,SAME_SIREN_RECONCILIATION
24-56081,6,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
23-139972,6,HISTORICAL_ALIAS_RECONCILIATION
24-75502,6,M0_NAME_FALLBACK
23-125766,5,M0_NAME_FALLBACK
26-28296,5,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
21-77546,5,M0_NAME_FALLBACK
25-128548,5,SAME_SIREN_RECONCILIATION
25-80306,5,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
25-134329,5,M0_NAME_FALLBACK;SAME_SIREN_RECONCILIATION
23-56040,4,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
24-74022,4,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
25-28394,4,SAME_SIREN_RECONCILIATION
26-43788,4,SAME_SIREN_RECONCILIATION
19-147943,4,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
21-143183,4,M0_NAME_FALLBACK
20-96600,4,HISTORICAL_ALIAS_RECONCILIATION
26-2995,4,EXACT_SIRET_RECONCILIATION
25-57823,4,SAME_SIREN_RECONCILIATION
24-81981,4,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
22-87982,4,HISTORICAL_ALIAS_RECONCILIATION
21-126684,4,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
19-136955,4,HISTORICAL_ALIAS_RECONCILIATION
20-47300,4,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
25-20325,3,HISTORICAL_ALIAS_RECONCILIATION
20-49949,3,M0_NAME_FALLBACK
21-55981,3,HISTORICAL_ALIAS_RECONCILIATION
24-47243,3,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
25-30335,3,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
19-69736,3,M0_NAME_FALLBACK
21-113953,3,HISTORICAL_ALIAS_RECONCILIATION
22-72517,3,HISTORICAL_ALIAS_RECONCILIATION
22-26998,3,M0_NAME_FALLBACK
17-143219,3,M0_NAME_FALLBACK
22-85365,3,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
22-162609,3,HISTORICAL_ALIAS_RECONCILIATION
19-127477,3,HISTORICAL_ALIAS_RECONCILIATION
20-65753,3,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
23-12419,3,EXACT_SIRET_RECONCILIATION
21-7561,3,M0_NAME_FALLBACK
18-122376,3,M0_NAME_FALLBACK
21-115415,3,HISTORICAL_ALIAS_RECONCILIATION
18-132522,3,HISTORICAL_ALIAS_RECONCILIATION
21-35651,3,HISTORICAL_ALIAS_RECONCILIATION
22-94454,3,M0_NAME_FALLBACK
20-137315,3,HISTORICAL_ALIAS_RECONCILIATION
19-189603,3,M0_NAME_FALLBACK
22-165707,3,HISTORICAL_ALIAS_RECONCILIATION
23-117688,3,HISTORICAL_ALIAS_RECONCILIATION
23-43763,3,M0_NAME_FALLBACK
26-23151,3,HISTORICAL_ALIAS_RECONCILIATION
25-66012,3,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
25-51236,3,EXACT_SIRET_RECONCILIATION
18-158087,3,M0_NAME_FALLBACK
24-117088,3,SAME_SIREN_RECONCILIATION
25-90009,3,M0_NAME_FALLBACK;SAME_SIREN_RECONCILIATION
20-32203,3,M0_NAME_FALLBACK
26-6662,3,EXACT_SIRET_RECONCILIATION
26-17888,3,SAME_SIREN_RECONCILIATION
26-56462,3,EXACT_SIRET_RECONCILIATION
20-93634,3,HISTORICAL_ALIAS_RECONCILIATION
19-75795,3,HISTORICAL_ALIAS_RECONCILIATION
23-144303,3,M0_NAME_FALLBACK
19-59985,3,HISTORICAL_ALIAS_RECONCILIATION
19-147471,2,HISTORICAL_ALIAS_RECONCILIATION
21-85842,2,M0_NAME_FALLBACK
17-172986,2,M0_NAME_FALLBACK
23-23753,2,HISTORICAL_ALIAS_RECONCILIATION
22-83128,2,HISTORICAL_ALIAS_RECONCILIATION
23-20260,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
19-101998,2,M0_NAME_FALLBACK
23-43183,2,EXACT_SIRET_RECONCILIATION
22-118151,2,HISTORICAL_ALIAS_RECONCILIATION
26-60182,2,EXACT_SIRET_RECONCILIATION;SAME_SIREN_RECONCILIATION
22-137172,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
22-166987,2,M0_NAME_FALLBACK
22-22098,2,HISTORICAL_ALIAS_RECONCILIATION
