check,passed,value
no_accidental_many_to_many_notice_merge,True,0
no_duplicated_notice_ids_in_m1_sources,True,0
no_silent_overwrite_of_boamp_siret,True,buyer_siret_clean preserved; enriched SIREN kept separately
every_enriched_identifier_has_provenance,True,0
conflict_rows_traceable,True,1002
every_accepted_m1_link_exists_in_candidate_table,True,0
every_event_row_has_valid_candidate,True,0
censored_rows_do_not_contain_accepted_candidates,True,0
event_and_censoring_times_are_positive,True,0.0328515111695138
m0_reference_files_present_for_hash_trace,True,boamp_m0_sources.csv:9fc77d7ca6da0fb3914a90284ca3da0b3eeb7bcc238e907b27d1dd305a36e9a8;boamp_m0_candidate_pairs.csv:3ce33cb13531046f56ee96e472f5cac1222e923357245d6eb8637866884aecdd;boamp_m0_links_balanced.csv:59fd8434baed5aab6963c8c793c289e6b045514f3b740e878c3b6604dfba7458;boamp_survival_m0_balanced.csv:93c05a0c767b7264f2ed7669c7b70775f1ec86b7eeddbcee8adfe4a3c958a687
