source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source_x,candidate_buyer_identity_source_x,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1_x,candidate_buyer_siren_m1_x,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used,source_publication_date,source_start_date,source_start_date_source,source_buyer_key,source_buyer_key_type,source_buyer_name_normalized,source_buyer_siret_clean,source_buyer_siren_clean,source_objet_clean,source_cpv_clean,source_cpv_division,source_cpv_group,source_cpv_class,source_cpv_category,source_cpv_generic_flag,source_declared_duration_months,source_dur_was_imputed,source_estimated_end_date,source_is_digital_scope,source_category_label,source_study_end_date,source_buyer_name_raw,source_code_departement,source_url_avis,source_buyer_key_m0,source_buyer_siret_boamp_raw,source_buyer_siren_from_boamp_siret,source_buyer_siren_boamp_effective,source_buyer_siren_enriched,source_buyer_siren_enriched_valid,source_buyer_legal_name_enriched_display,source_buyer_identity_source_direct,source_buyer_identity_confidence_direct,source_buyer_identity_conflict,source_buyer_siren_agrees_with_boamp_siret,source_enrichment_join_status,source_department_key,source_alias_name_normalized,source_buyer_siren_alias,source_buyer_alias_support_notice_count,source_buyer_siren_m1_y,source_buyer_identity_source_y,source_buyer_identity_confidence,source_buyer_key_m1_primary,candidate_publication_date,candidate_start_date,candidate_start_date_source,candidate_buyer_key,candidate_buyer_key_type,candidate_buyer_name_normalized,candidate_buyer_siret_clean,candidate_buyer_siren_clean,candidate_objet_clean,candidate_cpv_clean,candidate_cpv_division,candidate_cpv_group,candidate_cpv_class,candidate_cpv_category,candidate_cpv_generic_flag,candidate_declared_duration_months,candidate_dur_was_imputed,candidate_estimated_end_date,candidate_is_digital_scope,candidate_category_label,candidate_study_end_date,candidate_buyer_name_raw,candidate_code_departement,candidate_url_avis,candidate_buyer_key_m0,candidate_buyer_siret_boamp_raw,candidate_buyer_siren_from_boamp_siret,candidate_buyer_siren_boamp_effective,candidate_buyer_siren_enriched,candidate_buyer_siren_enriched_valid,candidate_buyer_legal_name_enriched_display,candidate_buyer_identity_source_direct,candidate_buyer_identity_confidence_direct,candidate_buyer_identity_conflict,candidate_buyer_siren_agrees_with_boamp_siret,candidate_enrichment_join_status,candidate_department_key,candidate_alias_name_normalized,candidate_buyer_siren_alias,candidate_buyer_alias_support_notice_count,candidate_buyer_siren_m1_y,candidate_buyer_identity_source_y,candidate_buyer_identity_confidence,candidate_buyer_key_m1_primary
15-102510,20-93634,2015-07-03,2020-07-22,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,60.64388961892247,2020-03-30,3.7450722733245727,0.37582128777923784,0.43326444549937065,0.4,0.75,0.4405978778695892,0.3230216936565233,False,False,1,7,0.014677873501122374,balanced,0.3230216936565233,2015-07-03,2016-03-30,LINKED_ATTRIBUTION_DATE,SIRET:22720002900014,RAW_SIRET,conseil general de la sarthe,22720002900014,227200029,déploiement d'une plateforme de téléservices à destination des usagers du Département de la Sarthe,72212900,72,722,7221,72212,False,48.0,True,2020-03-30,True,DIGITAL_ICT,2026-07-13,Conseil Général de la Sarthe,72,https://www.boamp.fr/pages/avis/?q=idweb:15-102510,SIRET:22720002900014,22720002900014,227200029,227200029,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,72,,,,227200029,DIRECT_BOAMP_SIRET,HIGH,SIRET:22720002900014,2020-07-22,2020-07-22,PUBLICATION_DATE_FALLBACK,NAME:departement de la sarthe,NAME_FALLBACK,departement de la sarthe,,,"Prestations diverses relatives à la plateforme de téléservices CAP DEMAT EVOLUTION, y compris maintenance, pour les besoins du Département de la Sarthe",72267100,72,722,7226,72267,False,48.0,True,2024-07-22,True,DIGITAL_ICT,2026-07-13,DEPARTEMENT DE LA SARTHE,72,https://www.boamp.fr/pages/avis/?q=idweb:20-93634,NAME:departement de la sarthe,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,72,departement de la sarthe,227200029,332.0,227200029,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:227200029
15-111004,18-94561,2015-07-17,2018-07-08,SIRET:19490970100303,NAME:universite d angers,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,19490970100303,,194909701,194909701,False,35.7095926412615,2018-01-08,5.946123521681997,0.008979413053000429,0.9487991419134765,1.0,0.75,0.7093245529329668,0.3230216936565233,False,False,1,7,0.4071465803427172,balanced,0.3230216936565233,2015-07-17,2016-01-08,LINKED_ATTRIBUTION_DATE,SIRET:19490970100303,RAW_SIRET,universite d angers,19490970100303,194909701,"location, installation et maintenance d'un système d'impression numérique noir & blanc et couleur pour l'atelier de reprographie de l'université à Angers",30120000,30,301,3012,30120,False,24.0,True,2018-01-08,True,DIGITAL_ICT,2026-07-13,Université d'Angers,49,https://www.boamp.fr/pages/avis/?q=idweb:15-111004,SIRET:19490970100303,19490970100303,194909701,194909701,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,49,universite d angers,194909701,119.0,194909701,DIRECT_BOAMP_SIRET,HIGH,SIRET:19490970100303,2018-07-08,2018-12-22,LINKED_ATTRIBUTION_DATE,NAME:universite d angers,NAME_FALLBACK,universite d angers,,,"Location, installation et maintenance d'un système d'impression numérique noir et blanc et couleur pour l'atelier de reprographie de l'Université d'Angers",30120000,30,301,3012,30120,False,24.0,True,2020-12-22,True,DIGITAL_ICT,2026-07-13,Université d'Angers,49,https://www.boamp.fr/pages/avis/?q=idweb:18-94561,NAME:universite d angers,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,49,universite d angers,194909701,119.0,194909701,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:194909701
15-119589,18-153394,2015-08-03,2018-10-31,NAME:ville de vertou,NAME:commune de vertou,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,214402158,214402158,False,38.92904073587385,2018-08-03,2.923784494086728,0.5127025843188786,0.28855973728213025,0.4,0.75,0.42417155412846524,0.3230216936565233,False,False,1,1,0.42417155412846524,balanced,0.3230216936565233,2015-08-03,2015-08-03,PUBLICATION_DATE_FALLBACK,NAME:ville de vertou,NAME_FALLBACK,ville de vertou,,,location de matériels de son et lumière ainsi que d'équipements scéniques pour les besoins de la ville de Vertou,32342410,32,323,3234,32342,False,36.0,True,2018-08-03,True,DIGITAL_ICT,2026-07-13,Ville de Vertou,44,https://www.boamp.fr/pages/avis/?q=idweb:15-119589,NAME:ville de vertou,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,ville de vertou,214402158,38.0,214402158,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214402158,2018-10-31,2018-10-31,PUBLICATION_DATE_FALLBACK,NAME:commune de vertou,NAME_FALLBACK,commune de vertou,,,"Location et installation de matériel son, lumière, vidéo et d'équipements scéniques",32321300,32,323,3232,32321,False,36.0,True,2021-10-31,True,DIGITAL_ICT,2026-07-13,COMMUNE DE VERTOU,44,https://www.boamp.fr/pages/avis/?q=idweb:18-153394,NAME:commune de vertou,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,commune de vertou,214402158,2.0,214402158,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214402158
15-136371,20-52846,2015-09-07,2020-04-17,NAME:sdis de la mayenne,NAME:sdis de la mayenne,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,285300018,285300018,False,55.321944809461236,2020-02-22,1.8068331143232588,0.6988611476127902,0.049745811710630555,0.2,0.75,0.32712632100191824,0.3230216936565233,False,False,1,1,0.32712632100191824,balanced,0.3230216936565233,2015-09-07,2016-02-22,LINKED_ATTRIBUTION_DATE,NAME:sdis de la mayenne,NAME_FALLBACK,sdis de la mayenne,,,marché pour la fourniture des effets d'habillement et accessoires pour le sdis 53 à Laval,35811100,35,358,3581,35811,False,48.0,True,2020-02-22,True,DIGITAL_ICT,2026-07-13,Sdis de la Mayenne,53,https://www.boamp.fr/pages/avis/?q=idweb:15-136371,NAME:sdis de la mayenne,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,53,sdis de la mayenne,285300018,3.0,285300018,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:285300018,2020-04-17,2020-12-12,LINKED_ATTRIBUTION_DATE,NAME:sdis de la mayenne,NAME_FALLBACK,sdis de la mayenne,,,Fourniture de petits matériels d'incendie et de secours et pièces détachées pour le Service Départemental d'Incendie et de Secours de la MAYENNE.,35110000,35,351,3511,35110,False,48.0,True,2024-12-12,True,DIGITAL_ICT,2026-07-13,Sdis de la Mayenne,53,https://www.boamp.fr/pages/avis/?q=idweb:20-52846,NAME:sdis de la mayenne,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,53,sdis de la mayenne,285300018,3.0,285300018,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:285300018
15-139462,19-159320,2015-09-11,2019-10-18,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,49.21156373193167,2019-12-29,2.3653088042049935,0.6057818659658345,0.25179080537784043,0.1,0.75,0.34457224837370276,0.3230216936565233,True,False,1,9,0.03202188705953124,balanced,0.3230216936565233,2015-09-11,2015-12-29,LINKED_ATTRIBUTION_DATE,SIRET:22720002900014,RAW_SIRET,departement de la sarthe,22720002900014,227200029,fourniture et contrôle annuel des équipements de sécurité incendie du Département de la Sarthe au Mans,35121000,35,351,3512,35121,False,48.0,True,2019-12-29,True,DIGITAL_ICT,2026-07-13,Département de la Sarthe,72,https://www.boamp.fr/pages/avis/?q=idweb:15-139462,SIRET:22720002900014,22720002900014,227200029,227200029,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,72,departement de la sarthe,227200029,332.0,227200029,DIRECT_BOAMP_SIRET,HIGH,SIRET:22720002900014,2019-10-18,2019-10-18,PUBLICATION_DATE_FALLBACK,NAME:departement de la sarthe,NAME_FALLBACK,departement de la sarthe,,,Fourniture et la maintenance des équipements d'interconnexion et de multiplexage sur fibre optique (technologie WDM ou équivalente) entre deux salles informatiques du Département de la Sarthe,,,,,,False,6.0,True,2020-04-18,True,DIGITAL_ICT,2026-07-13,DEPARTEMENT DE LA SARTHE,72,https://www.boamp.fr/pages/avis/?q=idweb:19-159320,NAME:departement de la sarthe,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,72,departement de la sarthe,227200029,332.0,227200029,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:227200029
15-169809,19-165120,2015-11-09,2019-10-30,NAME:chu de nantes,NAME:chu de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,264400136,264400136,False,47.66754270696452,2019-11-09,0.328515111695138,0.9452474813841437,0.04325741068680569,0.0,0.75,0.3264519640864179,0.3230216936565233,False,False,1,5,0.11350861867462628,balanced,0.3230216936565233,2015-11-09,2015-11-09,PUBLICATION_DATE_FALLBACK,NAME:chu de nantes,NAME_FALLBACK,chu de nantes,,,"fourniture, installation, paramétrage, intégration, déploiement et maintenance d'une solution de gestion informatisée des radiopharmacies de médecine nucléaire du chu de Nantes",48814000,48,488,4881,48814,False,48.0,True,2019-11-09,True,DIGITAL_ICT,2026-07-13,CHU de Nantes,44,https://www.boamp.fr/pages/avis/?q=idweb:15-169809,NAME:chu de nantes,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,chu de nantes,264400136,137.0,264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:264400136,2019-10-30,2019-10-30,PUBLICATION_DATE_FALLBACK,NAME:chu de nantes,NAME_FALLBACK,chu de nantes,,,FOURNITURE ET MAINTENANCE DE DISPOSITIFS ADAPTES AUX TRAVAILLEURS ISOLES (EQUIPEMENTS DATI),32344250,32,323,3234,32344,False,36.0,True,2022-10-30,True,DIGITAL_ICT,2026-07-13,CHU de Nantes,44,https://www.boamp.fr/pages/avis/?q=idweb:19-165120,NAME:chu de nantes,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,chu de nantes,264400136,137.0,264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:264400136
15-182813,20-8845,2015-12-04,2020-01-22,NAME:conseil regional des pays de la loire,SIRET:23440003400026,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,23440003400026,234400034,234400034,False,49.60578186596583,2020-05-04,3.383705650459921,0.43604905825667983,0.43608801530035635,1.0,0.75,0.6366430699192946,0.3230216936565233,False,False,1,14,0.25813481585412745,balanced,0.3230216936565233,2015-12-04,2016-05-04,LINKED_ATTRIBUTION_DATE,NAME:conseil regional des pays de la loire,NAME_FALLBACK,conseil regional des pays de la loire,,,"prestations d'interprétariat et de traduction de la région des Pays de la Loire, à Nantes",79530000,79,795,7953,79530,False,48.0,True,2020-05-04,True,DIGITAL_ICT,2026-07-13,Conseil régional des Pays de la Loire,44,https://www.boamp.fr/pages/avis/?q=idweb:15-182813,NAME:conseil regional des pays de la loire,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,conseil regional des pays de la loire,234400034,2.0,234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:234400034,2020-01-22,2020-05-27,LINKED_ATTRIBUTION_DATE,SIRET:23440003400026,RAW_SIRET,conseil regional des pays de la loire,23440003400026,234400034,PRESTATIONS D'INTERPRETARIAT ET DE TRADUCTION POUR LA REGION DES PAYS DE LA LOIRE,79530000,79,795,7953,79530,False,48.0,True,2024-05-27,True,DIGITAL_ICT,2026-07-13,Conseil régional des Pays de la Loire,44,https://www.boamp.fr/pages/avis/?q=idweb:20-8845,SIRET:23440003400026,23440003400026,234400034,234400034,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,conseil regional des pays de la loire,234400034,2.0,234400034,DIRECT_BOAMP_SIRET,HIGH,SIRET:23440003400026
15-192276,20-59788,2016-02-05,2020-05-04,NAME:vendee eau,NAME:vendee eau,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,258500222,258500222,False,50.91984231274639,2020-05-30,0.8541392904073587,0.8576434515987735,0.10773858961185359,0.0,0.75,0.32711936926384216,0.3230216936565233,False,False,1,3,0.036957950065703016,balanced,0.3230216936565233,2016-02-05,2016-05-30,LINKED_ATTRIBUTION_DATE,NAME:vendee eau,NAME_FALLBACK,vendee eau,,,création d'un système d'information des données abonnés et patrimoine du service public d'eau potable (relance de la procédure à la suite d'une déclaration sans suite) à La Roche- sur-Yon,48900000,48,489,4890,48900,False,48.0,True,2020-05-30,True,DIGITAL_ICT,2026-07-13,Vendée Eau,85,https://www.boamp.fr/pages/avis/?q=idweb:15-192276,NAME:vendee eau,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,85,vendee eau,258500222,3.0,258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:258500222,2020-05-04,2020-05-04,PUBLICATION_DATE_FALLBACK,NAME:vendee eau,NAME_FALLBACK,vendee eau,,,Acquisition et mise en oeuvre d'un Système d'Information Géographique,38221000,38,382,3822,38221,False,12.0,True,2021-05-04,True,DIGITAL_ICT,2026-07-13,VENDEE EAU,85,https://www.boamp.fr/pages/avis/?q=idweb:20-59788,NAME:vendee eau,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,85,vendee eau,258500222,3.0,258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:258500222
15-33752,19-147943,2015-03-06,2019-10-02,NAME:conseil regional des pays de la loire,SIRET:23440003400026,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,23440003400026,234400034,234400034,False,54.894875164257556,2019-10-08,0.19710906701708278,0.9671484888304862,0.02375431515124721,0.2,0.75,0.38510113251055805,0.3230216936565233,False,False,1,16,0.04369667710935177,balanced,0.3230216936565233,2015-03-06,2015-10-08,LINKED_ATTRIBUTION_DATE,NAME:conseil regional des pays de la loire,NAME_FALLBACK,conseil regional des pays de la loire,,,"gestion des communautés web, à Nantes",72310000,72,723,7231,72310,False,48.0,True,2019-10-08,True,DIGITAL_ICT,2026-07-13,Conseil régional des Pays de la Loire,44,https://www.boamp.fr/pages/avis/?q=idweb:15-33752,NAME:conseil regional des pays de la loire,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,conseil regional des pays de la loire,234400034,2.0,234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:234400034,2019-10-02,2020-01-23,LINKED_ATTRIBUTION_DATE,SIRET:23440003400026,RAW_SIRET,conseil regional des pays de la loire,23440003400026,234400034,MAINTENANCE ET EVOLUTIONS DES RESEAUX LAN ET WIFI,72700000,72,727,7270,72700,False,48.0,True,2024-01-23,True,DIGITAL_ICT,2026-07-13,Conseil régional des Pays de la Loire,44,https://www.boamp.fr/pages/avis/?q=idweb:19-147943,SIRET:23440003400026,23440003400026,234400034,234400034,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,conseil regional des pays de la loire,234400034,2.0,234400034,DIRECT_BOAMP_SIRET,HIGH,SIRET:23440003400026
15-50024,19-75795,2015-04-27,2019-05-15,NAME:vendee eau,NAME:vendee eau,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,258500222,258500222,False,48.58738501971091,2019-06-30,1.5111695137976346,0.7481384143670609,0.21706172411041125,0.0,0.75,0.3380062070304091,0.3230216936565233,False,False,1,1,0.3380062070304091,balanced,0.3230216936565233,2015-04-27,2015-06-30,LINKED_ATTRIBUTION_DATE,NAME:vendee eau,NAME_FALLBACK,vendee eau,,,fourniture et pose de supports signalétiques pour les usines de production d'eau potable et sur les rives des retenues d'eau au profit de Vendée Eau à La Roche-Sur-Yon,35261000,35,352,3526,35261,False,48.0,True,2019-06-30,True,DIGITAL_ICT,2026-07-13,Vendée Eau,85,https://www.boamp.fr/pages/avis/?q=idweb:15-50024,NAME:vendee eau,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,85,vendee eau,258500222,3.0,258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:258500222,2019-05-15,2019-05-15,PUBLICATION_DATE_FALLBACK,NAME:vendee eau,NAME_FALLBACK,vendee eau,,,Assistance-conseil pour la restructuration du SIG de Vendée Eau,72315000,72,723,7231,72315,False,48.0,True,2023-05-15,True,DIGITAL_ICT,2026-07-13,VENDEE EAU,85,https://www.boamp.fr/pages/avis/?q=idweb:19-75795,NAME:vendee eau,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,85,vendee eau,258500222,3.0,258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:258500222
