dimension,value,accepted_links
source_year,2015,98
source_year,2016,100
source_year,2017,121
source_year,2018,106
source_year,2019,98
source_year,2020,84
source_year,2021,77
source_year,2022,50
source_year,2023,18
source_year,2024,48
source_year,2025,40
source_year,2026,7
buyer_match_mechanism,EXACT_SIRET_RECONCILIATION,120
buyer_match_mechanism,HISTORICAL_ALIAS_RECONCILIATION,383
buyer_match_mechanism,M0_NAME_FALLBACK,254
buyer_match_mechanism,SAME_SIREN_RECONCILIATION,90
source_buyer_identity_source,DIRECT_BOAMP_SIRET,189
source_buyer_identity_source,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,12
source_buyer_identity_source,DIRECT_ENRICHMENT_NOTICE_JOIN,29
source_buyer_identity_source,NAME_FALLBACK,245
source_buyer_identity_source,UNIQUE_NAME_DEPARTMENT_ALIAS,372
source_buyer_key_type,NAME_FALLBACK,646
source_buyer_key_type,RAW_SIRET,201
cpv_division,22,1
cpv_division,30,39
cpv_division,31,1
cpv_division,32,66
cpv_division,33,7
cpv_division,35,30
cpv_division,38,2
cpv_division,39,6
cpv_division,42,2
cpv_division,43,1
cpv_division,44,4
cpv_division,45,19
cpv_division,48,107
cpv_division,50,7
cpv_division,64,3
cpv_division,66,1
cpv_division,71,8
cpv_division,72,269
cpv_division,75,1
cpv_division,79,15
cpv_division,80,3
cpv_division,90,2
cpv_division,92,5
cpv_division,,248
duration_imputed,False,89
duration_imputed,True,758
