alias_id,alias_name_normalized,department_key,inferred_siren,alias_confidence_status_m1,alias_support_notice_count_m1,profile_domains,participation_domains,all_profile_domains,domain_specificity,profile_support_count,profile_first_observation_date,profile_last_observation_date,profile_evidence_status,profile_evidence_reason,profile_data_coverage,ambiguity_flag,example_type
A00048,le mans metropole,72,247200132,AUTO_PROPAGATE_ELIGIBLE,539,sarthe-marchespublics.fr,sarthe-marchespublics.fr,sarthe-marchespublics.fr,AMBIGUOUS,2,2019-03-28,2019-03-28,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00050,departement de la sarthe,72,227200029,AUTO_PROPAGATE_ELIGIBLE,332,sarthe-marchespublics.fr,,sarthe-marchespublics.fr,AMBIGUOUS,2,2019-02-10,2020-12-20,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00059,chu de nantes,44,264400136,AUTO_PROPAGATE_ELIGIBLE,137,achats-hopitaux.com;marches-publics.fr;marches-publics.gouv.fr,,achats-hopitaux.com;marches-publics.fr;marches-publics.gouv.fr,AMBIGUOUS;GENERIC_PLATFORM,4,2016-12-25,2020-12-23,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00194,commune de fontenay le comte,85,218500924,AUTO_PROPAGATE_ELIGIBLE,17,marches-securise.fr;marches-securises.fr,,marches-securise.fr;marches-securises.fr,AMBIGUOUS;GENERIC_PLATFORM,2,2018-07-06,2019-03-03,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00208,commune des herbiers,85,218501096,AUTO_PROPAGATE_ELIGIBLE,15,marches-securises.fr;marchespublics85.fr;marchessecurises.fr,marchespublics85.fr,marches-securises.fr;marchespublics85.fr;marchessecurises.fr,AMBIGUOUS;GENERIC_PLATFORM,5,2015-11-16,2020-01-16,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00227,commune d ecommoy,72,217201243,AUTO_PROPAGATE_ELIGIBLE,13,sarthe-marchespublics.fr,,sarthe-marchespublics.fr,AMBIGUOUS,1,2018-06-01,2018-06-01,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00250,ville de corbas,26;38;42;69;72,216902734,AUTO_PROPAGATE_ELIGIBLE,12,achatpublic.com;marchespublics.grandlyon.com,,achatpublic.com;marchespublics.grandlyon.com,AMBIGUOUS;GENERIC_PLATFORM,2,2018-12-18,2020-09-10,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00281,cte de communes du pays des herbiers,85,248500621,AUTO_PROPAGATE_ELIGIBLE,10,marches-securises.fr;marchespublics85.fr,,marches-securises.fr;marchespublics85.fr,AMBIGUOUS;GENERIC_PLATFORM,2,2015-03-05,2019-10-02,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00286,le mans metropole - communaute urbaine,72,247200132,AUTO_PROPAGATE_ELIGIBLE,10,sarthe-marchespublics.fr,,sarthe-marchespublics.fr,AMBIGUOUS,1,2020-11-30,2020-11-30,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00295,commune de parigne l eveque,72,217202316,AUTO_PROPAGATE_ELIGIBLE,9,sarthe-marchespublics.fr,,sarthe-marchespublics.fr,AMBIGUOUS,1,2019-10-01,2019-10-01,AMBIGUOUS,domain specificity is mixed or ambiguous,HAS_PROFILE_DATA,True,alias
A00003,semitan mandataire de nantes metropole,44,,AMBIGUOUS_MULTIPLE_SIREN,154,marchespublics.semitan.fr;semitan.tan.fr,marchespublics.semitan.fr;semitan.tan.fr,marchespublics.semitan.fr;semitan.tan.fr,SHARED_INSTITUTIONAL,4,2019-01-26,2020-11-05,NEUTRAL_SHARED_PLATFORM,only generic or shared institutional domains observed,HAS_PROFILE_DATA,False,alias
A00004,ville de bouguenais,44,,AMBIGUOUS_MULTIPLE_SIREN,92,ville-bouguenais.e-marchespublics.com,,ville-bouguenais.e-marchespublics.com,GENERIC_PLATFORM,1,2020-12-14,2020-12-14,NEUTRAL_SHARED_PLATFORM,only generic or shared institutional domains observed,HAS_PROFILE_DATA,False,alias
