source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-100455,19-156899,1,0.5912505643053088,True,0.999999999999
15-100455,19-189603,2,0.3555787993580194,False,0.0040766743208934175
15-100455,19-189628,3,0.3401793782149451,False,0.0005752127798002993
15-100455,20-21049,4,0.304666646566897,False,0.0005202408483296415
15-100455,19-191665,5,0.3005299416489048,False,0.004222512167936927
15-100455,20-26585,6,0.2926831848806275,False,0.0053270049661626705
15-100455,19-158679,7,0.2654503500924354,False,0.0005001034489440976
15-100455,20-11000,8,0.2624744694758111,False,0.0035751882225236726
15-100455,20-25276,9,0.2572988980868034,False,0.0034566712782255885
15-100455,19-151382,10,0.2568508269768009,False,0.0035689912135564547
15-100455,20-12070,11,0.2568301151382799,False,0.004770760944498773
15-100455,20-37940,12,0.2334008337647921,False,0.0036773805865755087
15-100455,20-26328,13,0.2283763157631682,False,0.003354155411898779
15-100455,20-32203,14,0.2063544469603,False,0.0035990822932340056
15-100455,20-34392,15,0.1977597748617616,False,0.0038689826501922277
15-100455,19-123920,16,0.1863639765995146,False,0.0004818037622091614
15-100455,19-119269,17,0.1621820066601463,False,0.003669685367596014
15-100455,20-66643,18,0.1399610578497234,False,0.003971292175290774
15-100455,20-54283,19,0.1389008173497161,False,0.00397515572358345
15-100455,20-49949,20,0.1328805465166622,False,0.0035609604080685192
15-100455,19-105083,21,0.0949015505256479,False,0.004216199891239448
15-100455,19-92498,22,0.070672939224365,False,0.004351667382290266
15-101366,19-160471,1,0.2707467671061223,False,0.003442075209544946
15-101366,19-120297,2,0.2617754501549766,False,0.003143262980460844
15-101366,19-177021,3,0.2233225952245341,False,0.003528861875733847
15-102348,18-101350,1,0.2199062662406082,False,0.00437751870084286
15-102348,19-43671,2,0.1778587395601194,False,0.00409231993081107
15-102348,19-59879,3,0.141508558867714,False,0.0042350555160082124
15-102348,18-77300,4,0.1035028229272697,False,0.004423321916682239
15-104125,19-112016,1,0.312246959541571,False,0.0031772026883169586
15-104125,19-109269,2,0.2949866467581168,False,0.0031504939298354876
15-104125,19-54406,3,0.2628846343472731,False,0.0005495327701585441
15-104125,19-58204,4,0.2104820073158841,False,0.003170014394988706
15-104125,19-182466,5,0.1406271865016149,False,0.000536234980222314
15-104125,19-6267,6,0.0912870374189543,False,0.0037172598819949615
15-105085,19-106429,1,0.3861762499732171,True,0.0006676421355736824
15-106427,19-14536,1,0.0902947992388928,False,0.0049082898217325125
15-107245,19-177021,1,0.302964194141614,False,0.0010856259796421873
15-107245,20-85738,2,0.1557037698974848,False,0.003539941866138468
15-107245,19-160471,3,0.1382651971997109,False,0.0032985686893884066
15-111004,18-27476,1,0.3006346489470116,False,0.999999999999
15-111004,18-46346,2,0.2738785894808582,False,0.999999999999
15-111004,17-124586,3,0.1865714951865254,False,0.999999999999
