sweep,severity,n_recovered,n_total,R
combined,0,309,309,1.0
combined,1,280,309,0.9061488673139159
combined,2,202,309,0.6537216828478964
combined,3,162,309,0.5242718446601942
cpv_only,0,309,309,1.0
cpv_only,1,306,309,0.9902912621359223
cpv_only,2,304,309,0.9838187702265372
cpv_only,3,263,309,0.8511326860841424
duration_only,0,309,309,1.0
duration_only,1,305,309,0.9870550161812298
duration_only,2,267,309,0.8640776699029126
duration_only,3,303,309,0.9805825242718447
text_only,0,309,309,1.0
text_only,1,283,309,0.9158576051779935
text_only,2,240,309,0.7766990291262136
text_only,3,222,309,0.7184466019417476
