percentile,threshold_value,n_linked,event_rate,variant_label
10,0.18923651104449465,1112,0.3520101297879076,
15,0.21983136820332594,1050,0.33238366571699907,
20,0.2454455778008402,989,0.313073757518202,
25,0.26420166983556403,927,0.2934472934472934,broad
30,0.2802311824108351,865,0.2738208293763849,
35,0.29244445378515316,803,0.2541943653054764,
40,0.3029425727298723,742,0.23488445710667932,
45,0.3121245830673992,680,0.2152579930357708,
50,0.32302169365652333,618,0.1956315289648623,balanced
55,0.33605564304315383,556,0.1760050648939538,
60,0.3466680660229562,495,0.15669515669515668,
65,0.358865854116016,433,0.13706869262424817,
70,0.3758971506082977,371,0.11744222855333966,
75,0.39308340344166265,309,0.09781576448243115,strict
80,0.4266197957626999,248,0.07850585628363406,
85,0.46178493348021904,186,0.05887939221272555,
90,0.5231192706315562,124,0.03925292814181703,
