window_months,cpv_division,n_sources,n_events,event_rate
6,09,1,0,0.0
6,16,1,0,0.0
6,22,3,0,0.0
6,30,203,24,0.11822660098522167
6,31,5,1,0.2
6,32,370,42,0.11351351351351352
6,33,10,7,0.7
6,34,2,0,0.0
6,35,157,18,0.11464968152866242
6,38,13,0,0.0
6,39,10,5,0.5
6,42,19,2,0.10526315789473684
6,43,1,1,1.0
6,44,6,3,0.5
6,45,87,13,0.14942528735632185
6,48,466,72,0.15450643776824036
6,50,50,3,0.06
6,51,1,0,0.0
6,55,1,0,0.0
6,64,9,3,0.3333333333333333
6,65,1,0,0.0
6,66,6,1,0.16666666666666666
6,71,56,2,0.03571428571428571
6,72,889,185,0.2080989876265467
6,75,7,1,0.14285714285714285
6,77,1,0,0.0
6,79,59,12,0.2033898305084746
6,80,19,1,0.05263157894736842
6,85,7,0,0.0
6,90,4,1,0.25
6,92,13,4,0.3076923076923077
6,,682,217,0.3181818181818182
9,09,1,0,0.0
9,16,1,0,0.0
9,22,3,1,0.3333333333333333
9,30,203,27,0.1330049261083744
9,31,5,1,0.2
9,32,370,48,0.12972972972972974
9,33,10,7,0.7
9,34,2,0,0.0
9,35,157,26,0.16560509554140126
9,38,13,0,0.0
9,39,10,5,0.5
9,42,19,2,0.10526315789473684
9,43,1,1,1.0
9,44,6,2,0.3333333333333333
9,45,87,18,0.20689655172413793
9,48,466,84,0.18025751072961374
9,50,50,5,0.1
9,51,1,0,0.0
9,55,1,0,0.0
9,64,9,3,0.3333333333333333
9,65,1,0,0.0
9,66,6,1,0.16666666666666666
9,71,56,4,0.07142857142857142
9,72,889,201,0.22609673790776152
9,75,7,1,0.14285714285714285
9,77,1,0,0.0
9,79,59,15,0.2542372881355932
9,80,19,1,0.05263157894736842
9,85,7,0,0.0
9,90,4,1,0.25
9,92,13,5,0.38461538461538464
9,,682,234,0.34310850439882695
12,09,1,0,0.0
12,16,1,0,0.0
12,22,3,1,0.3333333333333333
12,30,203,34,0.16748768472906403
12,31,5,1,0.2
12,32,370,56,0.15135135135135136
12,33,10,7,0.7
12,34,2,0,0.0
12,35,157,30,0.1910828025477707
12,38,13,1,0.07692307692307693
12,39,10,5,0.5
12,42,19,2,0.10526315789473684
12,43,1,1,1.0
12,44,6,2,0.3333333333333333
12,45,87,27,0.3103448275862069
12,48,466,90,0.19313304721030042
12,50,50,7,0.14
12,51,1,0,0.0
12,55,1,0,0.0
12,64,9,3,0.3333333333333333
12,65,1,0,0.0
12,66,6,1,0.16666666666666666
12,71,56,6,0.10714285714285714
12,72,889,221,0.24859392575928008
12,75,7,1,0.14285714285714285
12,77,1,0,0.0
12,79,59,16,0.2711864406779661
12,80,19,3,0.15789473684210525
12,85,7,0,0.0
12,90,4,1,0.25
12,92,13,6,0.46153846153846156
12,,682,232,0.34017595307917886
18,09,1,0,0.0
18,16,1,0,0.0
18,22,3,1,0.3333333333333333
18,30,203,41,0.2019704433497537
18,31,5,0,0.0
18,32,370,70,0.1891891891891892
18,33,10,7,0.7
18,34,2,0,0.0
18,35,157,34,0.21656050955414013
18,38,13,1,0.07692307692307693
18,39,10,5,0.5
18,42,19,3,0.15789473684210525
18,43,1,1,1.0
18,44,6,2,0.3333333333333333
18,45,87,31,0.3563218390804598
18,48,466,100,0.2145922746781116
18,50,50,7,0.14
18,51,1,0,0.0
18,55,1,0,0.0
18,64,9,3,0.3333333333333333
18,65,1,0,0.0
18,66,6,1,0.16666666666666666
18,71,56,8,0.14285714285714285
18,72,889,246,0.27671541057367827
18,75,7,1,0.14285714285714285
18,77,1,0,0.0
18,79,59,15,0.2542372881355932
18,80,19,3,0.15789473684210525
18,85,7,0,0.0
18,90,4,1,0.25
18,92,13,8,0.6153846153846154
18,,682,245,0.3592375366568915
