window_months,publication_year,n_sources,n_events,event_rate
6,2015,266,82,0.3082706766917293
6,2016,308,82,0.2662337662337662
6,2017,322,107,0.33229813664596275
6,2018,307,83,0.2703583061889251
6,2019,314,68,0.21656050955414013
6,2020,259,53,0.20463320463320464
6,2021,306,41,0.13398692810457516
6,2022,305,20,0.06557377049180328
6,2023,283,10,0.0353356890459364
6,2024,210,30,0.14285714285714285
6,2025,189,35,0.18518518518518517
6,2026,90,7,0.07777777777777778
9,2015,266,96,0.3609022556390977
9,2016,308,90,0.2922077922077922
9,2017,322,113,0.35093167701863354
9,2018,307,94,0.30618892508143325
9,2019,314,76,0.24203821656050956
9,2020,259,60,0.23166023166023167
9,2021,306,43,0.14052287581699346
9,2022,305,24,0.07868852459016394
9,2023,283,10,0.0353356890459364
9,2024,210,40,0.19047619047619047
9,2025,189,40,0.21164021164021163
9,2026,90,7,0.07777777777777778
12,2015,266,105,0.39473684210526316
12,2016,308,100,0.3246753246753247
12,2017,322,114,0.35403726708074534
12,2018,307,100,0.3257328990228013
12,2019,314,88,0.2802547770700637
12,2020,259,65,0.25096525096525096
12,2021,306,45,0.14705882352941177
12,2022,305,29,0.09508196721311475
12,2023,283,12,0.04240282685512368
12,2024,210,41,0.19523809523809524
12,2025,189,48,0.25396825396825395
12,2026,90,7,0.07777777777777778
18,2015,266,114,0.42857142857142855
18,2016,308,112,0.36363636363636365
18,2017,322,119,0.3695652173913043
18,2018,307,115,0.3745928338762215
18,2019,314,97,0.3089171974522293
18,2020,259,69,0.26640926640926643
18,2021,306,52,0.16993464052287582
18,2022,305,34,0.11147540983606558
18,2023,283,15,0.053003533568904596
18,2024,210,49,0.23333333333333334
18,2025,189,50,0.26455026455026454
18,2026,90,8,0.08888888888888889
