domain_normalized,registered_domain,observation_count,distinct_profile_buyer_names,dominant_buyer_normalized,dominant_buyer_share,buyer_entropy,domain_specificity
achatpublic.com,achatpublic.com,3540,2396,gie sesam vitale,0.023728813559322035,10.762346641197809,GENERIC_PLATFORM
marches-publics.gouv.fr,marches-publics.gouv.fr,2574,1081,chu de nantes,0.05672105672105672,8.88087273344148,GENERIC_PLATFORM
marches-securises.fr,marches-securises.fr,2179,1364,vendee eau,0.016521340064249657,10.04373174526836,GENERIC_PLATFORM
marchespublics.nantesmetropole.fr,nantesmetropole.fr,1334,7,nantes metropole,0.8320839580209896,0.9021602535232155,SHARED_INSTITUTIONAL
klekoon.com,klekoon.com,1221,714,centre communal d action sociale,0.00819000819000819,9.271294181538227,GENERIC_PLATFORM
marches-publics.info,marches-publics.info,1146,821,sdis de la sarthe,0.013961605584642234,9.469713713503934,GENERIC_PLATFORM
e-marchespublics.com,e-marchespublics.com,848,657,geves,0.014150943396226415,9.188030353152268,GENERIC_PLATFORM
boamp.fr,boamp.fr,820,656,conseil regional des pays de la loire,0.16219512195121952,8.424848348413333,GENERIC_PLATFORM
agysoft.marches-publics.info,marches-publics.info,631,371,cap atlantique,0.04754358161648178,7.880219557569249,GENERIC_PLATFORM
marchespublics.paysdelaloire.fr,paysdelaloire.fr,532,1,conseil regional des pays de la loire,1.0,-0.0,BUYER_SPECIFIC
,,418,371,,0.0,0.0,MALFORMED
aof-crpdll-prod.local-trust.com,local-trust.com,399,1,conseil regional des pays de la loire,1.0,-0.0,BUYER_SPECIFIC
marches.maximilien.fr,maximilien.fr,358,201,region ile-de-france,0.027932960893854747,7.433462322133839,GENERIC_PLATFORM
xmarches.fr,xmarches.fr,310,244,mairie,0.01935483870967742,7.822804002006557,GENERIC_PLATFORM
marches.megalisbretagne.org,megalisbretagne.org,310,170,region bretagne,0.06451612903225806,7.010430104098989,GENERIC_PLATFORM
achat-hopital.com,achat-hopital.com,309,206,centre hospitalier de laval,0.05177993527508091,7.443264312699729,GENERIC_PLATFORM
demat.centraledesmarches.com,centraledesmarches.com,305,215,ademe,0.03278688524590164,7.559886806274875,GENERIC_PLATFORM
marchepublics.nantesmetropole.fr,nantesmetropole.fr,302,2,nantes metropole,0.7350993377483444,0.8340518587929182,SHARED_INSTITUTIONAL
meoss.achatpublic.com,achatpublic.com,299,76,gie sesam vitale,0.4214046822742475,3.5537299118959336,GENERIC_PLATFORM
demat-ampa.fr,demat-ampa.fr,292,193,centre communal d action sociale,0.0273972602739726,7.416148521214831,GENERIC_PLATFORM
megalisbretagne.org,megalisbretagne.org,277,182,region bretagne,0.02888086642599278,7.337357147904924,GENERIC_PLATFORM
sarthe-marchespublics.fr,sarthe-marchespublics.fr,277,28,departement de la sarthe,0.5342960288808665,2.557628167665132,AMBIGUOUS
alm.marches-securises.fr,marches-securises.fr,250,12,angers loire metropole,0.828,1.134283833722838,GENERIC_PLATFORM
marchespublics.nantesmetropole,marchespublics.nantesmetropole,249,2,nantes metropole,0.891566265060241,0.4951734787020682,HIGHLY_CONCENTRATED
marchesoublics.nantesmetropole.fr,nantesmetropole.fr,222,1,nantes metropole,1.0,-0.0,BUYER_SPECIFIC
nantesmetropole.fr,nantesmetropole.fr,222,1,nantes metropole,1.0,-0.0,BUYER_SPECIFIC
synapse-entreprises.com,synapse-entreprises.com,210,158,ville de saumur,0.05714285714285714,7.102201112842404,GENERIC_PLATFORM
centraledesmarches.com,centraledesmarches.com,209,172,communaute de communes des coevrons,0.028708133971291867,7.253321557968056,GENERIC_PLATFORM
marchespublics596280.fr,marchespublics596280.fr,208,147,ca de bethune bruay artois lys romane,0.019230769230769232,7.053664117117146,GENERIC_PLATFORM
achats-hopitaux.com,achats-hopitaux.com,204,69,chu de nantes,0.35784313725490197,4.006663843158794,GENERIC_PLATFORM
marchesonline.achatpublic.com,achatpublic.com,168,161,centre communal d action sociale,0.023809523809523808,7.297079327540663,GENERIC_PLATFORM
mp74.fr,mp74.fr,160,139,commune du grand-bornand,0.01875,7.0499920011103185,GENERIC_PLATFORM
alsacemarchespublics.eu,alsacemarchespublics.eu,159,89,communaute de communes de selestat,0.031446540880503145,6.290848405196193,GENERIC_PLATFORM
maximilien.fr,maximilien.fr,158,114,ville de paris,0.03164556962025317,6.6747675963717,GENERIC_PLATFORM
marchespublics.ledauphine-legales.com,ledauphine-legales.com,152,112,com de communes port de dromardeche,0.019736842105263157,6.716645358824091,GENERIC_PLATFORM
e-bourgogne.fr,e-bourgogne.fr,151,108,commune du creusot,0.026490066225165563,6.605889673071255,GENERIC_PLATFORM
marches.e-megalisbretagne.org,e-megalisbretagne.org,147,91,concarneau cornouaille agglomeration,0.05442176870748299,6.247025405943114,GENERIC_PLATFORM
anjoumarchespublics.fr,anjoumarchespublics.fr,146,26,departement de maine-et-loire,0.4657534246575342,3.1037302478112085,GENERIC_PLATFORM
synapse-ouest.com,synapse-ouest.com,144,44,sm megalis,0.14583333333333334,4.537841040906153,GENERIC_PLATFORM
marches.e-bourgogne.fr,e-bourgogne.fr,139,96,centre communal d action sociale,0.02877697841726619,6.449735676977799,GENERIC_PLATFORM
pro-marchespublics.com,pro-marchespublics.com,138,87,mairie,0.043478260869565216,6.323997916876063,GENERIC_PLATFORM
marches.loire-atlantique.fr,loire-atlantique.fr,137,4,conseil departemental loire-atlantique,0.6131386861313869,1.1634856337048234,SHARED_INSTITUTIONAL
marchespublics.landespublic.org,landespublic.org,135,81,sitcom cote sud des landes,0.044444444444444446,6.123717148899732,GENERIC_PLATFORM
marchespublics.gouv.fr,marchespublics.gouv.fr,133,51,universite de nantes,0.42105263157894735,3.8678952295564235,GENERIC_PLATFORM
marchepublics.paysdelaloire.fr,paysdelaloire.fr,133,1,conseil regional des pays de la loire,1.0,-0.0,BUYER_SPECIFIC
marches-formation.paysdelaloire.fr,paysdelaloire.fr,133,1,conseil regional des pays de la loire,1.0,-0.0,BUYER_SPECIFIC
paysdelaloire.fr,paysdelaloire.fr,133,1,conseil regional des pays de la loire,1.0,-0.0,BUYER_SPECIFIC
wwww.marchespublics.paysdelaloire.fr,paysdelaloire.fr,133,1,conseil regional des pays de la loire,1.0,-0.0,BUYER_SPECIFIC
mpe76.fr,mpe76.fr,132,83,departement de seine-maritime,0.05303030303030303,6.160522646153474,GENERIC_PLATFORM
marchespublics-idf-centre.fr,marchespublics-idf-centre.fr,116,104,ville d andresy,0.02586206896551724,6.638069141641997,GENERIC_PLATFORM
marches-public.gouv.fr,marches-public.gouv.fr,116,41,universite de nantes,0.4827586206896552,3.4164993086170052,GENERIC_PLATFORM
