profile_row_id,domain_source,profile_buyer_name_raw,profile_buyer_name_normalized,url_raw,domain_normalized,registered_domain,subdomain,url_valid,is_email,has_multiple_values,normalization_status,normalization_warning,date_dernier_avis,dernier_site_en_date
0,profile,#FRANCE 2023,france 2023,www.maximilien.fr,maximilien.fr,maximilien.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-10-21,True
1,profile,#FRANCE 2023,france 2023,marches.maximilien.fr,marches.maximilien.fr,maximilien.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,2018-07-14,False
2,profile,'Sécurité sociale dans les mines',securite sociale dans les mines,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-04-08,True
3,profile,12ème BSMAT - site de Neuvy-Pailloux,12eme bsmat - site de neuvy-pailloux,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-08-01,True
4,profile,1947,1947,www.centraledesmarches.com,centraledesmarches.com,centraledesmarches.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-11-01,True
5,profile,1947,1947,demat.centraledesmarches.com,demat.centraledesmarches.com,centraledesmarches.com,demat,True,False,False,OK_WITH_WARNING,missing_protocol,2018-06-24,False
6,profile,1959,1959,www.xmarches.fr,xmarches.fr,xmarches.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-05-16,True
7,profile,2gch,2gch,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-09,True
8,profile,3ifa,3ifa,www.klekoon.com,klekoon.com,klekoon.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-02-18,True
9,profile,A F R de BUXEUIL,a f r de buxeuil,www.marches-aube.fr,marches-aube.fr,marches-aube.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2016-05-23,True
10,profile,A. Synd. d'Irrigation de l'Ain,a synd d irrigation de l ain,www.voixdelain.fr,voixdelain.fr,voixdelain.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-06-22,True
11,profile,A. Synd. d'Irrigation de l'Ain,a synd d irrigation de l ain,voixdelain.fr,voixdelain.fr,voixdelain.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-09-21,False
12,profile,A.C.C.F.I.P,a c c f i p,www.boamp.fr,boamp.fr,boamp.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-12-01,True
13,profile,A.G.E.P.S.,a g e p s,www.achats-hopitaux.com,achats-hopitaux.com,achats-hopitaux.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-11-02,True
14,profile,A.H.F.C.,a h f c,www.ahbfc.fr,ahbfc.fr,ahbfc.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2016-12-30,True
