domain_normalized,registered_domain,subdomain,observation_count,profile_observation_count,participation_observation_count,distinct_raw_buyer_names,distinct_profile_buyer_names,distinct_current_m1_buyer_keys,distinct_validated_sirens_after_m1_name_join,distinct_sirets_after_m1_name_join,distinct_departments_after_m1_name_join,first_observation_date,last_observation_date,dominant_buyer_normalized,dominant_buyer_count,dominant_buyer_share,buyer_entropy,malformed_observation_count,domain_specificity
achatpublic.com,achatpublic.com,,3540,2885,655,2470,2396,90,33,23,51,2015-03-03,2020-12-31,gie sesam vitale,84,0.023728813559322035,10.762346641197809,0,GENERIC_PLATFORM
marches-publics.gouv.fr,marches-publics.gouv.fr,,2574,1988,586,1134,1081,104,32,25,88,2015-03-04,2020-12-31,chu de nantes,146,0.05672105672105672,8.88087273344148,0,GENERIC_PLATFORM
marches-securises.fr,marches-securises.fr,,2179,1835,344,1397,1364,106,39,29,17,2015-03-03,2020-12-31,vendee eau,36,0.016521340064249657,10.04373174526836,0,GENERIC_PLATFORM
marchespublics.nantesmetropole.fr,nantesmetropole.fr,marchespublics,1334,1072,262,7,7,12,4,5,1,2015-04-29,2020-12-31,nantes metropole,1110,0.8320839580209896,0.9021602535232155,0,SHARED_INSTITUTIONAL
klekoon.com,klekoon.com,,1221,902,319,721,714,16,4,2,5,2015-03-05,2020-12-30,centre communal d action sociale,10,0.00819000819000819,9.271294181538227,0,GENERIC_PLATFORM
marches-publics.info,marches-publics.info,,1146,907,239,830,821,30,15,10,8,2015-04-30,2020-12-31,sdis de la sarthe,16,0.013961605584642234,9.469713713503934,0,GENERIC_PLATFORM
e-marchespublics.com,e-marchespublics.com,,848,687,161,658,657,25,13,7,10,2015-03-04,2020-12-26,geves,12,0.014150943396226415,9.188030353152268,0,GENERIC_PLATFORM
boamp.fr,boamp.fr,,820,810,10,657,656,15,6,4,14,2015-03-02,2018-07-26,conseil regional des pays de la loire,133,0.16219512195121952,8.424848348413333,0,GENERIC_PLATFORM
agysoft.marches-publics.info,marches-publics.info,agysoft,631,479,152,380,371,23,11,9,8,2017-05-18,2020-12-31,cap atlantique,30,0.04754358161648178,7.880219557569249,0,GENERIC_PLATFORM
marchespublics.paysdelaloire.fr,paysdelaloire.fr,marchespublics,532,399,133,1,1,3,1,1,4,2020-06-20,2020-12-10,conseil regional des pays de la loire,532,1.0,-0.0,0,BUYER_SPECIFIC
,,,418,396,22,373,371,0,0,0,0,2015-03-02,2020-12-30,,0,0.0,0.0,418,MALFORMED
aof-crpdll-prod.local-trust.com,local-trust.com,aof-crpdll-prod,399,266,133,1,1,3,1,1,4,2019-10-02,2020-09-05,conseil regional des pays de la loire,399,1.0,-0.0,0,BUYER_SPECIFIC
marches.maximilien.fr,maximilien.fr,marches,358,252,106,220,201,2,1,1,1,2015-07-06,2020-12-31,region ile-de-france,10,0.027932960893854747,7.433462322133839,0,GENERIC_PLATFORM
xmarches.fr,xmarches.fr,,310,265,45,245,244,5,3,1,5,2015-04-10,2020-12-25,mairie,6,0.01935483870967742,7.822804002006557,0,GENERIC_PLATFORM
marches.megalisbretagne.org,megalisbretagne.org,marches,310,235,75,178,170,23,10,8,20,2015-03-13,2020-12-25,region bretagne,20,0.06451612903225806,7.010430104098989,0,GENERIC_PLATFORM
achat-hopital.com,achat-hopital.com,,309,267,42,215,206,4,0,0,3,2015-03-03,2020-12-05,centre hospitalier de laval,16,0.05177993527508091,7.443264312699729,0,GENERIC_PLATFORM
demat.centraledesmarches.com,centraledesmarches.com,demat,305,191,114,215,215,15,7,5,9,2015-09-18,2020-12-16,ademe,10,0.03278688524590164,7.559886806274875,0,GENERIC_PLATFORM
marchepublics.nantesmetropole.fr,nantesmetropole.fr,marchepublics,302,302,0,2,2,9,4,5,1,2017-04-04,2017-11-03,nantes metropole,222,0.7350993377483444,0.8340518587929182,0,SHARED_INSTITUTIONAL
