nom_acheteur,site_profil_acheteur,site_proposition,date_dernier_avis,dernier_site_en_date,profile_row_id,profile_buyer_name_raw,profile_buyer_name_normalized,date_dernier_avis_parsed,dernier_site_en_date_bool,profile_raw_value,profile_domain_normalized,profile_registered_domain,profile_subdomain,profile_url_valid,profile_is_email,profile_has_multiple_values,profile_normalization_status,profile_normalization_warning,participation_raw_value,participation_domain_normalized,participation_registered_domain,participation_subdomain,participation_url_valid,participation_is_email,participation_has_multiple_values,participation_normalization_status,participation_normalization_warning
#FRANCE 2023,www.maximilien.fr,marches.maximilien.fr,2018-10-21,1,0,#FRANCE 2023,france 2023,2018-10-21,True,www.maximilien.fr,maximilien.fr,maximilien.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,marches.maximilien.fr,marches.maximilien.fr,maximilien.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol
#FRANCE 2023,marches.maximilien.fr,,2018-07-14,0,1,#FRANCE 2023,france 2023,2018-07-14,False,marches.maximilien.fr,marches.maximilien.fr,maximilien.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
'Sécurité sociale dans les mines',www.achatpublic.com,,2015-04-08,1,2,'Sécurité sociale dans les mines',securite sociale dans les mines,2015-04-08,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
12ème BSMAT - site de Neuvy-Pailloux,www.marches-publics.gouv.fr,www.marches-publics.gouv.fr,2018-08-01,1,3,12ème BSMAT - site de Neuvy-Pailloux,12eme bsmat - site de neuvy-pailloux,2018-08-01,True,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol
1947,www.centraledesmarches.com,,2018-11-01,1,4,1947,1947,2018-11-01,True,www.centraledesmarches.com,centraledesmarches.com,centraledesmarches.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
1947,demat.centraledesmarches.com,demat.centraledesmarches.com,2018-06-24,0,5,1947,1947,2018-06-24,False,demat.centraledesmarches.com,demat.centraledesmarches.com,centraledesmarches.com,demat,True,False,False,OK_WITH_WARNING,missing_protocol,demat.centraledesmarches.com,demat.centraledesmarches.com,centraledesmarches.com,demat,True,False,False,OK_WITH_WARNING,missing_protocol
1959,www.xmarches.fr,,2018-05-16,1,6,1959,1959,2018-05-16,True,www.xmarches.fr,xmarches.fr,xmarches.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
2gch,www.marches-securises.fr,,2015-10-09,1,7,2gch,2gch,2015-10-09,True,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
3ifa,www.klekoon.com,,2019-02-18,1,8,3ifa,3ifa,2019-02-18,True,www.klekoon.com,klekoon.com,klekoon.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
A F R de BUXEUIL,www.marches-aube.fr,,2016-05-23,1,9,A F R de BUXEUIL,a f r de buxeuil,2016-05-23,True,www.marches-aube.fr,marches-aube.fr,marches-aube.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
