artifact,path,exists,kind,row_count,file_count,sha256,notes
raw_boamp_dir,data/raw/boamp/pdl,True,directory,,140.0,,active raw BOAMP JSON directory
clean_boamp_notice_table,data/processed/boamp_clean_m0_no_enrichment.csv,True,csv,87418.0,,3e69c5176e229fcc31e814baf9450c4bbccb22ad9b3e6201d208de79697f9e25,
m0_source_population,data/processed/boamp_m0_sources.csv,True,csv,3159.0,,9fc77d7ca6da0fb3914a90284ca3da0b3eeb7bcc238e907b27d1dd305a36e9a8,
m0_candidate_pairs,data/processed/boamp_m0_candidate_pairs.csv,True,csv,6137.0,,3ce33cb13531046f56ee96e472f5cac1222e923357245d6eb8637866884aecdd,
m0_balanced_links,data/processed/boamp_m0_links_balanced.csv,True,csv,618.0,,59fd8434baed5aab6963c8c793c289e6b045514f3b740e878c3b6604dfba7458,
m0_survival_handoff,data/processed/boamp_survival_m0_balanced.csv,True,csv,3159.0,,93c05a0c767b7264f2ed7669c7b70775f1ec86b7eeddbcee8adfe4a3c958a687,
m1_enriched_sources,data/processed/boamp_clean_m1_buyer_enriched.csv,True,csv,3170.0,,e228e775b3562578143b26474d9b9af28288c68dcc237beb4627a35832cae9cc,
m1_alias_bridge,reports/tables/buyer_alias_bridge.csv,True,csv,3473.0,,fde65017db678aac6cae237740d621e61be37dc8ceeca7f5b1daaf41a9cc88dc,
m1_identifier_conflicts,reports/tables/buyer_identifier_conflicts.csv,True,csv,1022.0,,c40880c5246081c893c2137acadb0b0df50652e3924da18e199a73030d5458ce,
m1_candidate_pairs,data/processed/boamp_m1_candidate_pairs.csv,True,csv,8228.0,,849757940ab817a032cef5aa40e14bda3cb5b05f4fb16d79a26dd7984c20e4fb,
m1_balanced_links,data/processed/boamp_m1_links_balanced.csv,True,csv,847.0,,39e6b94e68d4b3b0207ed3ddece78acc6fdeaec11b4a3b0ab00a6e8c25f713f1,
m1_incremental_links,reports/tables/m1_incremental_links.csv,True,csv,274.0,,84d595aa4484e20a101e5cf53b08a69bcb670e7bcd3de14179faf28505e2274c,
m0_m1_comparison,reports/tables/m0_m1_linkage_comparison.csv,True,csv,2.0,,54d229a4389e97ca91e947d630b526c86997a8662f81d8bd74cd09e9128c59e0,
m1_manual_validation_sample,reports/tables/m1_manual_validation_sample_unlabeled.csv,True,csv,127.0,,c32fc2492607caa5d1171567d5fa11d72d5f98704b9310a26683c7380c56a283,
m1_script,scripts/build_m1_buyer_siren_experiment.py,True,py,,,25fec5cc29d30380a4ba4ebee407e249899ddc964f4e50c14af6d6f281a10b80,
