source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-100455,19-156899,NAME:nantes metropole,NAME_FALLBACK,2015-07-01,2019-10-18,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.1810838349402664,1.0,0.6,0.5912505643053088,False,False,1,0.2356717649472893,22,balanced,0.32302169365652333
15-105085,19-106429,NAME:ccir pays de la loire,NAME_FALLBACK,2015-07-07,2019-07-11,48.12746386333771,2019-07-07,0.1314060446780552,0.9780989925536576,0.0618614338137221,0.2,0.6,0.3861762499732171,False,True,1,0.3861762499732171,1,balanced,0.32302169365652333
15-111481,19-59985,NAME:chu de nantes,NAME_FALLBACK,2015-07-20,2019-04-17,44.90801576872536,2019-07-20,3.088042049934297,0.4853263250109505,0.2408766037662249,1.0,0.6,0.5656383925709163,False,False,1,0.2509199337054042,3,balanced,0.32302169365652333
15-112713,17-108459,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,2015-07-22,2017-07-27,24.178712220762154,2017-07-22,0.164257555847569,0.9726237406920718,0.012642194804825,0.1,0.6,0.3375807033547067,True,False,1,0.0131868910433419,8,balanced,0.32302169365652333
15-113716,16-67782,NAME:insee,NAME_FALLBACK,2015-07-22,2016-05-11,9.658344283837057,2016-05-10,0.0328515111695138,0.9945247481384144,0.0223204871966237,0.1,0.6,0.3464433575534219,True,False,1,0.1748073522971801,2,balanced,0.32302169365652333
15-115319,18-28408,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-07-27,2018-02-28,31.110381077529563,2018-02-19,0.2956636005256242,0.9507227332457292,0.0043862980495559,0.1,0.6,0.3292158876287769,True,False,1,0.0392244882144496,13,balanced,0.32302169365652333
15-115988,18-25585,NAME:angers loire metropole,NAME_FALLBACK,2015-07-27,2018-02-22,30.913272010512483,2018-07-27,5.091984231274639,0.1513359614542269,0.0125245955698231,0.8,0.6,0.3422175988129948,False,False,1,0.0374580256336162,9,balanced,0.32302169365652333
15-115991,20-8882,NAME:ville d angers,NAME_FALLBACK,2015-07-27,2020-01-20,53.8107752956636,2020-03-31,2.33245729303548,0.61125711782742,0.4259024485474593,1.0,0.6,0.6618801364484657,False,False,1,0.6618801364484657,1,balanced,0.32302169365652333
15-118979,19-130357,NAME:departement de la sarthe,NAME_FALLBACK,2015-07-30,2019-08-27,48.91590013140604,2019-07-30,0.9198423127463864,0.8466929478756022,0.6503475598029482,0.1,0.6,0.5292948828999324,True,False,1,0.0018219278510775,10,balanced,0.32302169365652333
15-126308,16-10649,NAME:sdis 44,NAME_FALLBACK,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4495185967466124,0.0,0.6,0.4413240625187826,False,False,1,0.4413240625187826,1,balanced,0.32302169365652333
