source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-100455,19-156899,NAME:nantes metropole,NAME_FALLBACK,2015-07-01,2019-10-18,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.1810838349402664,1.0,0.6,0.5912505643053088,False,False,1,0.2356717649472893,22,broad,0.26420166983556403
15-101366,19-160471,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,2015-07-02,2019-10-22,51.6754270696452,2019-09-18,1.1169513797634691,0.8138414367060884,0.0208183083702863,0.0,0.6,0.2707467671061223,False,False,1,0.0089713169511457,3,broad,0.26420166983556403
15-104125,19-112016,NAME:ville de nantes,NAME_FALLBACK,2015-07-08,2019-07-21,48.42312746386334,2019-07-08,0.4270696452036793,0.9288217257993868,0.057261508833498,0.0,0.6,0.312246959541571,False,False,1,0.0172603127834541,6,broad,0.26420166983556403
15-105085,19-106429,NAME:ccir pays de la loire,NAME_FALLBACK,2015-07-07,2019-07-11,48.12746386333771,2019-07-07,0.1314060446780552,0.9780989925536576,0.0618614338137221,0.2,0.6,0.3861762499732171,False,True,1,0.3861762499732171,1,broad,0.26420166983556403
15-107245,19-177021,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,2015-07-10,2019-11-25,52.52956636005256,2020-03-07,3.383705650459921,0.4360490582566798,0.2112912273641259,0.2,0.6,0.302964194141614,False,False,1,0.1472604242441291,3,broad,0.26420166983556403
15-111004,18-27476,SIRET:19490970100303,RAW_SIRET,2015-07-17,2018-02-28,31.438896189224703,2018-01-08,1.6754270696452036,0.7207621550591328,0.0584117433777954,0.0,1.0,0.3006346489470116,False,False,1,0.0267560594661534,5,broad,0.26420166983556403
15-111481,19-59985,NAME:chu de nantes,NAME_FALLBACK,2015-07-20,2019-04-17,44.90801576872536,2019-07-20,3.088042049934297,0.4853263250109505,0.2408766037662249,1.0,0.6,0.5656383925709163,False,False,1,0.2509199337054042,3,broad,0.26420166983556403
15-112713,17-108459,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,2015-07-22,2017-07-27,24.178712220762154,2017-07-22,0.164257555847569,0.9726237406920718,0.012642194804825,0.1,0.6,0.3375807033547067,True,False,1,0.0131868910433419,8,broad,0.26420166983556403
15-113716,16-67782,NAME:insee,NAME_FALLBACK,2015-07-22,2016-05-11,9.658344283837057,2016-05-10,0.0328515111695138,0.9945247481384144,0.0223204871966237,0.1,0.6,0.3464433575534219,True,False,1,0.1748073522971801,2,broad,0.26420166983556403
15-114783,20-4011,NAME:cnieg,NAME_FALLBACK,2015-07-23,2020-01-12,53.679369250985545,2019-10-15,2.923784494086728,0.5127025843188786,0.1513197151799191,0.2,0.6,0.3011375463926913,False,False,1,0.060531987766061,3,broad,0.26420166983556403
