source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-100455,19-156899,NAME:nantes metropole,NAME_FALLBACK,2015-07-01,2019-10-18,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.1810838349402664,1.0,0.6,0.5912505643053088,False,False,1,0.2356717649472893,22,strict,0.39308340344166265
15-111481,19-59985,NAME:chu de nantes,NAME_FALLBACK,2015-07-20,2019-04-17,44.90801576872536,2019-07-20,3.088042049934297,0.4853263250109505,0.2408766037662249,1.0,0.6,0.5656383925709163,False,False,1,0.2509199337054042,3,strict,0.39308340344166265
15-115991,20-8882,NAME:ville d angers,NAME_FALLBACK,2015-07-27,2020-01-20,53.8107752956636,2020-03-31,2.33245729303548,0.61125711782742,0.4259024485474593,1.0,0.6,0.6618801364484657,False,False,1,0.6618801364484657,1,strict,0.39308340344166265
15-118979,19-130357,NAME:departement de la sarthe,NAME_FALLBACK,2015-07-30,2019-08-27,48.91590013140604,2019-07-30,0.9198423127463864,0.8466929478756022,0.6503475598029482,0.1,0.6,0.5292948828999324,True,False,1,0.0018219278510775,10,strict,0.39308340344166265
15-126308,16-10649,NAME:sdis 44,NAME_FALLBACK,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4495185967466124,0.0,0.6,0.4413240625187826,False,False,1,0.4413240625187826,1,strict,0.39308340344166265
15-136102,18-158087,NAME:sm megalis,NAME_FALLBACK,2015-09-07,2018-11-15,38.272010512483575,2018-09-07,2.266754270696452,0.6222076215505914,0.694326259868366,1.0,0.6,0.7585660963415759,False,False,1,0.4088007057648526,3,strict,0.39308340344166265
15-137458,18-158087,NAME:sm megalis,NAME_FALLBACK,2015-09-09,2018-11-15,38.20630749014455,2018-09-09,2.2010512483574245,0.6331581252737626,0.3652955712064892,1.0,0.6,0.6461429812407118,False,False,1,0.3059260407060882,3,strict,0.39308340344166265
15-139094,19-141668,NAME:sdis 85,NAME_FALLBACK,2015-09-10,2019-09-19,48.29172141918528,2019-12-07,2.59526938239159,0.567455102934735,0.1336336684917838,0.6,0.6,0.4286355597058081,False,False,1,0.0779774923971011,3,strict,0.39308340344166265
15-140966,16-101519,NAME:commune de saint jean de monts,NAME_FALLBACK,2015-09-15,2016-07-07,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.4101046834439404,0.1,0.6,0.4233088687279372,True,False,1,0.4233088687279372,1,strict,0.39308340344166265
15-141361,19-177480,SIRET:23440003400026,RAW_SIRET,2015-09-16,2019-11-28,50.39421813403416,2020-02-19,2.726675427069645,0.5455540954883924,0.4478662388981781,0.0,1.0,0.3931417074864605,False,False,1,0.0036739019674065,9,strict,0.39308340344166265
15-154566,20-4011,NAME:cnieg,NAME_FALLBACK,2015-10-12,2020-01-12,51.01839684625492,2020-02-02,0.6898817345597897,0.8850197109067017,0.2686998629169169,0.2,0.6,0.4352998797475963,False,False,1,0.0479469636081725,3,strict,0.39308340344166265
15-155719,18-158087,NAME:sm megalis,NAME_FALLBACK,2015-10-13,2018-11-15,37.08935611038108,2018-10-13,1.0840998685939554,0.8193166885676741,0.660782947131069,1.0,0.6,0.7961032036377926,False,False,1,0.468444527208765,3,strict,0.39308340344166265
15-159244,19-151382,NAME:nantes metropole,NAME_FALLBACK,2015-10-23,2019-10-09,47.53613666228647,2019-10-23,0.4599211563731931,0.9233464739378012,0.2292386608364031,1.0,0.6,0.6710701497771914,False,True,1,0.1543004905630163,23,strict,0.39308340344166265
15-162447,16-49246,NAME:nantes metropole,NAME_FALLBACK,2015-10-23,2016-04-12,5.650459921156373,2016-04-23,0.3613666228646517,0.939772229522558,0.2343070468159477,0.1,0.6,0.4069505237662212,True,False,1,0.0264264537327992,22,strict,0.39308340344166265
15-164187,19-169855,NAME:gie sesam vitale,NAME_FALLBACK,2015-10-28,2019-11-12,48.48883048620236,2019-10-28,0.4927726675427069,0.9178712220762156,0.3561558634766728,0.2,0.6,0.4741223577358893,False,False,1,0.079524854983316,5,strict,0.39308340344166265
15-165050,19-136955,NAME:angers loire metropole,NAME_FALLBACK,2015-10-29,2019-09-10,46.38633377135348,2019-10-29,1.609724047306176,0.731712658782304,0.8644788775438546,1.0,0.6,0.8454957718359251,False,False,1,0.4883112637770684,7,strict,0.39308340344166265
15-174987,19-136955,NAME:angers loire metropole,NAME_FALLBACK,2015-11-18,2019-09-10,45.729303547963205,2019-11-18,2.266754270696452,0.6222076215505914,0.8404844620896664,1.0,0.6,0.8097214671190311,False,False,1,0.4525611799316918,8,strict,0.39308340344166265
15-175415,16-73319,NAME:commune de saint-nazaire,NAME_FALLBACK,2015-11-20,2016-05-24,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536576,0.524444297632995,0.1,0.6,0.5180802523099626,True,False,1,0.1183824609405622,5,strict,0.39308340344166265
15-176598,16-35152,NAME:departement de la sarthe,NAME_FALLBACK,2015-11-23,2016-03-11,3.580814717477004,2016-05-23,2.3981603153745072,0.6003066141042488,0.7333573398843474,0.1,0.6,0.4967517224855837,True,False,1,0.1706984094719717,7,strict,0.39308340344166265
15-178562,20-8882,NAME:ville d angers,NAME_FALLBACK,2015-11-26,2020-01-20,49.80289093298291,2020-05-23,4.073587385019711,0.3210687691633814,0.5788859900902603,1.0,0.6,0.6428772888224363,False,False,1,0.6428772888224363,1,strict,0.39308340344166265
15-178791,19-191665,NAME:nantes metropole,NAME_FALLBACK,2015-11-30,2019-12-26,48.85019710906702,2019-11-30,0.8541392904073587,0.8576434515987735,0.1570519186524456,1.0,0.6,0.6293790344280494,False,False,1,0.0180154468352022,22,strict,0.39308340344166265
15-189271,20-16042,NAME:departement de la sarthe,NAME_FALLBACK,2015-12-18,2020-01-31,49.44152431011826,2019-12-18,1.445466491458607,0.7590889180902322,0.113936821994648,0.4,0.6,0.4096501172206848,False,False,1,0.0246386333771353,9,strict,0.39308340344166265
15-192356,20-32203,NAME:nantes metropole,NAME_FALLBACK,2015-12-24,2020-03-06,50.39421813403416,2019-12-24,2.3981603153745072,0.6003066141042488,0.7268622558120931,1.0,0.6,0.7644784430602949,False,False,1,0.3344167405765052,22,strict,0.39308340344166265
15-32051,15-56571,NAME:caisse des depots,NAME_FALLBACK,2015-03-04,2015-04-14,1.3469119579500657,2015-09-04,4.697766097240473,0.2170389837932544,0.8779291113647559,0.1,0.6,0.4515349349259781,True,False,1,0.0059521037170918,2,strict,0.39308340344166265
15-32168,19-147943,SIRET:23440003400026,RAW_SIRET,2015-03-03,2019-10-02,54.993429697766096,2019-09-03,0.9526938239159,0.8412176960140166,0.2503159023174722,1.0,1.0,0.6979149898146194,False,False,1,0.2957459765069643,8,strict,0.39308340344166265
15-39187,15-56571,NAME:caisse des depots,NAME_FALLBACK,2015-03-16,2015-04-14,0.9526938239159,2015-09-16,5.091984231274639,0.1513359614542269,0.8554006006749058,0.1,0.6,0.4272242005997737,True,False,1,0.4272242005997737,1,strict,0.39308340344166265
15-42765,15-167650,NAME:cg49,NAME_FALLBACK,2015-03-20,2015-11-03,7.490144546649145,2015-09-20,1.445466491458607,0.7590889180902322,0.3505830839685025,0.1,0.6,0.4024763089115339,True,False,1,0.1269342335478957,5,strict,0.39308340344166265
15-44894,15-126736,NAME:prefecture,NAME_FALLBACK,2015-03-24,2015-08-13,4.664914586070959,2015-09-24,1.3797634691195797,0.7700394218134035,0.4191345179414422,0.1,0.6,0.4292069367328556,True,False,1,0.4292069367328556,1,strict,0.39308340344166265
15-45169,19-75795,NAME:vendee eau,NAME_FALLBACK,2015-03-27,2019-05-15,49.60578186596583,2019-07-02,1.5768725361366622,0.7371879106438897,0.2171700865939043,0.8,0.6,0.560306507968839,False,False,1,0.560306507968839,1,strict,0.39308340344166265
15-56649,19-147943,SIRET:23440003400026,RAW_SIRET,2015-04-14,2019-10-02,53.61366622864652,2019-09-30,0.0657030223390276,0.9890494962768288,0.0077181501276431,0.2,1.0,0.4099637266138822,False,False,1,0.0483740471291543,9,strict,0.39308340344166265
15-56776,18-27688,NAME:ville d angers,NAME_FALLBACK,2015-04-15,2018-02-27,34.46123521681997,2018-04-15,1.5440210249671484,0.7426631625054753,0.7059445296288916,0.0,0.6,0.4927463759964809,False,False,1,0.2028491080563093,2,strict,0.39308340344166265
15-60447,15-126308,NAME:sdis 44,NAME_FALLBACK,2015-04-20,2015-08-13,3.7779237844940874,2015-10-20,2.2339027595269383,0.6276828734121769,0.742281450344641,1.0,0.6,0.7767192259736686,False,False,1,0.4428973989172152,3,strict,0.39308340344166265
15-64142,19-59985,NAME:chu de nantes,NAME_FALLBACK,2015-04-24,2019-04-17,47.76609724047306,2019-04-24,0.2299605781865965,0.9616732369689006,0.4056515575126466,0.2,0.6,0.5023963543716514,False,False,1,0.2476173034748109,3,strict,0.39308340344166265
