source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-100455,19-156899,2015-07-01,2019-10-18,NAME:nantes metropole,NAME_FALLBACK,51.57687253613666,2019-12-17,1.9710906701708277,0.835742444152431,0.18108383494026647,1.0,0.6,0.632314953267201,False,False,1,30,0.2733141214956905,window_12m,0.3441998756369461
15-104589,15-170834,2015-07-08,2015-11-12,NAME:spr pays de la loire,NAME_FALLBACK,4.1721419185282524,2016-07-08,7.851511169513797,0.3457074025405169,1.0,1.0,0.6,0.7964268506351291,False,False,1,2,0.4783825784409365,window_12m,0.3441998756369461
15-105085,19-106429,2015-07-07,2019-07-11,NAME:ccir pays de la loire,NAME_FALLBACK,48.12746386333771,2019-07-07,0.1314060446780552,0.9890494962768287,0.06186143381372218,0.2,0.6,0.38891387590400994,False,True,1,3,0.2105092202403781,window_12m,0.3441998756369461
15-107245,19-177021,2015-07-10,2019-11-25,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,52.52956636005256,2020-03-07,3.383705650459921,0.7180245291283399,0.21129122736412592,0.2,0.6,0.37345806185952907,False,False,1,4,0.1369943270036561,window_12m,0.3441998756369461
15-107880,19-71394,2015-07-13,2019-05-08,SIRET:25720243200015,RAW_SIRET,45.827858081471746,2018-10-07,6.9973718791064385,0.4168856767411301,0.0688900025098392,1.0,1.0,0.5283329200637262,False,False,1,1,0.5283329200637262,window_12m,0.3441998756369461
15-111481,19-59985,2015-07-20,2019-04-17,NAME:chu de nantes,NAME_FALLBACK,44.908015768725356,2019-07-20,3.088042049934297,0.7426631625054753,0.24087660376622497,1.0,0.6,0.6299726019445475,False,False,1,13,0.30567245232126056,window_12m,0.3441998756369461
15-112635,19-112517,2015-07-21,2019-07-20,SIRET:13001855900018,RAW_SIRET,47.96320630749014,2018-07-21,11.957950065703022,0.003504161191414834,0.6224950025493916,0.4,1.0,0.4387492911901407,False,False,1,2,0.18649228516540617,window_12m,0.3441998756369461
15-112713,17-33827,2015-07-22,2017-03-10,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,19.612352168199735,2017-07-22,4.402102496714849,0.6331581252737626,0.47082416204310645,0.1,0.6,0.41307798803352785,True,False,1,13,0.0017645524194911388,window_12m,0.3441998756369461
15-113716,16-67782,2015-07-22,2016-05-11,NAME:insee,NAME_FALLBACK,9.658344283837057,2016-05-10,0.0328515111695138,0.9972623740692071,0.022320487196623752,0.1,0.6,0.3471277640361201,True,False,1,2,0.09130976140799918,window_12m,0.3441998756369461
15-114783,20-4011,2015-07-23,2020-01-12,NAME:cnieg,NAME_FALLBACK,53.679369250985545,2019-10-15,2.923784494086728,0.7563512921594393,0.15131971517991918,0.2,0.6,0.36204972335283153,False,False,1,7,0.05574114238717359,window_12m,0.3441998756369461
15-115319,18-124336,2015-07-27,2018-09-07,NAME:conseil regional des pays de la loire,NAME_FALLBACK,37.3850197109067,2018-02-19,6.570302233902759,0.45247481384143673,0.00944155108010135,0.6,0.6,0.3564232463383947,False,False,1,25,0.021047700365333932,window_12m,0.3441998756369461
15-115988,18-25585,2015-07-27,2018-02-22,NAME:angers loire metropole,NAME_FALLBACK,30.913272010512483,2018-07-27,5.091984231274639,0.5756679807271134,0.012524595569823146,0.8,0.6,0.44830060363121643,False,False,1,20,0.11145333264838009,window_12m,0.3441998756369461
15-115991,20-8882,2015-07-27,2020-01-20,NAME:ville d angers,NAME_FALLBACK,53.810775295663596,2020-03-31,2.3324572930354797,0.80562855891371,0.42590244854745934,1.0,0.6,0.7104729967200383,False,False,1,1,0.7104729967200383,window_12m,0.3441998756369461
15-118979,19-71137,2015-07-30,2019-05-06,NAME:departement de la sarthe,NAME_FALLBACK,45.203679369250985,2019-07-30,2.7923784494086727,0.7673017958826106,0.09663444887871306,1.0,0.6,0.5856475060782023,False,False,1,22,0.037189241662720196,window_12m,0.3441998756369461
15-126308,16-10649,2015-08-13,2016-01-25,NAME:sdis 44,NAME_FALLBACK,5.4204993429697765,2016-02-13,0.6241787122207622,0.9479851073149365,0.44951859674661243,0.0,0.6,0.45432778569004845,False,False,1,3,0.2811958082596654,window_12m,0.3441998756369461
15-136102,18-158087,2015-09-07,2018-11-15,NAME:sm megalis,NAME_FALLBACK,38.272010512483575,2018-09-07,2.266754270696452,0.8111038107752957,0.694326259868366,1.0,0.6,0.8057901436477521,False,False,1,3,0.42933290024579895,window_12m,0.3441998756369461
15-136371,20-52846,2015-09-07,2020-04-17,NAME:sdis de la mayenne,NAME_FALLBACK,55.321944809461236,2020-02-22,1.8068331143232588,0.8494305738063951,0.049745811710630555,0.2,0.6,0.34976867755031943,False,False,1,1,0.34976867755031943,window_12m,0.3441998756369461
15-137458,18-158087,2015-09-09,2018-11-15,NAME:sm megalis,NAME_FALLBACK,38.206307490144546,2018-09-09,2.2010512483574245,0.8165790626368813,0.3652955712064892,1.0,0.6,0.6919982155814914,False,False,1,3,0.3237206092562415,window_12m,0.3441998756369461
15-139094,19-141668,2015-09-10,2019-09-19,NAME:sdis 85,NAME_FALLBACK,48.29172141918528,2019-12-07,2.59526938239159,0.7837275514673675,0.13363366849178385,0.6,0.6,0.4827036718389662,False,False,1,4,0.008852437644582545,window_12m,0.3441998756369461
15-139179,16-68672,2015-09-10,2016-05-12,NAME:ecole centrale de nantes,NAME_FALLBACK,8.04862023653088,2016-03-10,2.0696452036793693,0.8275295663600526,0.2979312114757571,0.1,0.6,0.4011583156065281,True,False,1,6,0.020864831570257536,window_12m,0.3441998756369461
15-139462,19-146419,2015-09-11,2019-09-28,SIRET:22720002900014,RAW_SIRET,48.55453350854139,2019-12-29,3.0223390275952693,0.7481384143670609,0.2104402959182018,0.0,1.0,0.36068870716313584,False,False,1,4,0.09505652913681872,window_12m,0.3441998756369461
15-140966,16-101519,2015-09-15,2016-07-07,NAME:commune de saint jean de monts,NAME_FALLBACK,9.724047306176084,2016-05-24,1.445466491458607,0.879544459045116,0.41010468344394047,0.1,0.6,0.45342275396665815,True,False,1,1,0.45342275396665815,window_12m,0.3441998756369461
15-141361,19-177480,2015-09-16,2019-11-28,SIRET:23440003400026,RAW_SIRET,50.39421813403416,2020-02-19,2.726675427069645,0.7727770477441962,0.44786623889817817,0.0,1.0,0.44994744555041144,False,False,1,15,0.037152479725112375,window_12m,0.3441998756369461
15-142353,20-2441,2015-09-17,2020-01-10,SIRET:21720181300011,RAW_SIRET,51.77398160315374,2019-02-03,11.202365308804204,0.06646955759964968,0.5741439253784015,1.0,1.0,0.617567763282353,False,False,1,4,0.42519622984434513,window_12m,0.3441998756369461
15-144405,19-157248,2015-09-22,2019-10-16,NAME:regie dept passages d eau de vendee,NAME_FALLBACK,48.78449408672799,2019-09-22,0.7884362680683311,0.9342969776609724,0.00621060751838898,0.2,0.6,0.3557479570466792,False,False,1,1,0.3557479570466792,window_12m,0.3441998756369461
15-146824,16-9312,2015-09-28,2016-03-15,NAME:ville de cholet,NAME_FALLBACK,5.551905387647832,2016-03-28,0.42706964520367935,0.9644108628996934,0.0936223764563367,0.1,0.6,0.36387054748464115,True,False,1,1,0.36387054748464115,window_12m,0.3441998756369461
15-147732,16-78789,2015-09-28,2016-05-30,NAME:ecole des mines de nantes,NAME_FALLBACK,8.04862023653088,2016-03-28,2.0696452036793693,0.8275295663600526,0.3940989187085687,0.1,0.6,0.4348170131380122,True,False,1,3,0.0842697115038788,window_12m,0.3441998756369461
15-154566,20-4011,2015-10-12,2020-01-12,NAME:cnieg,NAME_FALLBACK,51.01839684625492,2020-02-02,0.6898817345597897,0.9425098554533509,0.2686998629169169,0.2,0.6,0.4496724158842586,False,False,1,4,0.05273780898705993,window_12m,0.3441998756369461
15-155719,18-158087,2015-10-13,2018-11-15,NAME:sm megalis,NAME_FALLBACK,37.089356110381075,2018-10-13,1.0840998685939554,0.9096583442838371,0.660782947131069,1.0,0.6,0.8186886175668335,False,False,1,3,0.43969945493544066,window_12m,0.3441998756369461
15-159244,19-151382,2015-10-23,2019-10-09,NAME:nantes metropole,NAME_FALLBACK,47.53613666228647,2019-10-23,0.45992115637319314,0.9616732369689006,0.2292386608364031,1.0,0.6,0.6806518405349662,False,True,1,30,0.09954797194715992,window_12m,0.3441998756369461
15-160513,16-61061,2015-10-20,2016-04-29,NAME:departement de la sarthe,NAME_FALLBACK,6.307490144546649,2016-04-20,0.2956636005256242,0.9753613666228647,0.05604580545588896,0.1,0.6,0.3534563735652773,True,False,1,11,0.03255147858544488,window_12m,0.3441998756369461
15-160539,16-37108,2015-10-28,2016-03-16,NAME:nantes metropole,NAME_FALLBACK,4.599211563731932,2016-04-28,1.4126149802890933,0.8822820849759089,0.2584922756337789,0.1,0.6,0.4010428177157998,True,False,1,27,0.011535681857389735,window_12m,0.3441998756369461
15-162447,16-49246,2015-10-23,2016-04-12,NAME:nantes metropole,NAME_FALLBACK,5.650459921156373,2016-04-23,0.36136662286465177,0.9698861147612791,0.23430704681594774,0.1,0.6,0.41447899507590147,True,False,1,28,0.005894259251853107,window_12m,0.3441998756369461
