source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
15-100455,16-57014,2015-07-01,2016-04-20,NAME:nantes metropole,NAME_FALLBACK,9.658344283837057,2016-05-17,0.8869908015768725,0.8521681997371879,0.13173506029027046,0.1,0.6,0.34914932103589164,True,False,1,23,0.013662467329233763
15-100455,16-71885,2015-07-01,2016-05-23,NAME:nantes metropole,NAME_FALLBACK,10.74244415243101,2016-05-17,0.19710906701708278,0.9671484888304862,0.010570661425818112,0.1,0.6,0.3354868537066579,True,False,2,23,0.013662467329233763
15-100455,16-63342,2015-07-01,2016-05-07,NAME:nantes metropole,NAME_FALLBACK,10.21681997371879,2016-05-17,0.328515111695138,0.9452474813841437,0.07619157090980169,0.0,0.6,0.3229789201644665,False,False,3,23,0.013662467329233763
15-100455,16-80903,2015-07-01,2016-06-03,NAME:nantes metropole,NAME_FALLBACK,11.103810775295663,2016-05-17,0.5584756898817346,0.9069207183530442,0.009774856204064675,0.1,0.6,0.3201513792596837,True,False,4,23,0.013662467329233763
15-100455,16-73215,2015-07-01,2016-05-23,NAME:nantes metropole,NAME_FALLBACK,10.74244415243101,2016-05-17,0.19710906701708278,0.9671484888304862,0.006208296090369878,0.0,0.6,0.30396002583925097,False,False,5,23,0.013662467329233763
15-100455,16-49246,2015-07-01,2016-04-12,NAME:nantes metropole,NAME_FALLBACK,9.395532194480946,2016-05-17,1.149802890932983,0.8083661848445028,0.008814109772575969,0.1,0.6,0.2951764846315273,True,False,6,23,0.013662467329233763
15-100455,16-54197,2015-07-01,2016-04-17,NAME:nantes metropole,NAME_FALLBACK,9.559789750328514,2016-05-17,0.9855453350854139,0.835742444152431,0.06803560746519284,0.0,0.6,0.29274807365092526,False,False,7,23,0.013662467329233763
15-100455,16-54370,2015-07-01,2016-04-17,NAME:nantes metropole,NAME_FALLBACK,9.559789750328514,2016-05-17,0.9855453350854139,0.835742444152431,0.05849578709932249,0.0,0.6,0.2894091365228706,False,False,8,23,0.013662467329233763
15-100455,16-31513,2015-07-01,2016-03-07,NAME:nantes metropole,NAME_FALLBACK,8.21287779237845,2016-05-17,2.3324572930354797,0.61125711782742,0.11367578121753913,0.1,0.6,0.2826008028829937,True,False,9,23,0.013662467329233763
15-100455,16-37108,2015-07-01,2016-03-16,NAME:nantes metropole,NAME_FALLBACK,8.508541392904073,2016-05-17,2.0367936925098555,0.6605343845816907,0.13711375451734464,0.0,0.6,0.2731234102264933,False,False,10,23,0.013662467329233763
15-100455,16-103833,2015-07-01,2016-07-13,NAME:nantes metropole,NAME_FALLBACK,12.417871222076215,2016-05-17,1.8725361366622864,0.687910643889619,0.09540148734085413,0.0,0.6,0.2653681815417037,False,False,11,23,0.013662467329233763
15-100455,16-33632,2015-07-01,2016-03-11,NAME:nantes metropole,NAME_FALLBACK,8.344283837056505,2016-05-17,2.2010512483574245,0.6331581252737626,0.09281424853489867,0.0,0.6,0.25077451830565517,False,False,12,23,0.013662467329233763
15-100455,16-102715,2015-07-01,2016-07-11,NAME:nantes metropole,NAME_FALLBACK,12.352168199737187,2016-05-17,1.8068331143232588,0.6988611476127902,0.037283927130112166,0.0,0.6,0.2477646613987368,False,False,13,23,0.013662467329233763
15-100455,16-33283,2015-07-01,2016-03-10,NAME:nantes metropole,NAME_FALLBACK,8.31143232588699,2016-05-17,2.2339027595269383,0.6276828734121769,0.03059124483301179,0.0,0.6,0.22762765404459834,False,False,14,23,0.013662467329233763
15-100455,16-128178,2015-07-01,2016-09-02,NAME:nantes metropole,NAME_FALLBACK,14.09329829172142,2016-05-17,3.54796320630749,0.40867279894875164,0.029434567874987473,0.1,0.6,0.2024702984934335,True,False,15,23,0.013662467329233763
15-100455,16-137769,2015-07-01,2016-09-21,NAME:nantes metropole,NAME_FALLBACK,14.71747700394218,2016-05-17,4.1721419185282524,0.30464301357862456,0.04337445954601263,0.1,0.6,0.18134181423576057,True,False,16,23,0.013662467329233763
