source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
15-100455,16-57014,NAME_FALLBACK,NAME:nantes metropole,2015-07-01,2016-04-20,9.658344283837057,2016-05-17,0.8869908015768725,0.8521681997371879,0.13173506029027046,0.1,0.6,0.34914932103589164,True,False,1,0.013662467329233763,23,POTENTIAL,broad,0.27838673159124894
15-101283,16-102267,NAME_FALLBACK,NAME:caf de la sarthe,2015-07-01,2016-07-09,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,False,False,1,0.6225897414419586,1,HIGH,broad,0.27838673159124894
15-101366,16-16627,NAME_FALLBACK,NAME:le mans metropole - communaute urbaine,2015-07-02,2016-02-04,7.128777923784494,2016-02-18,0.45992115637319314,0.9233464739378011,0.059260538793839544,0.0,0.6,0.3115778070622941,False,False,1,0.01858483493855606,4,POTENTIAL,broad,0.27838673159124894
15-102348,16-48016,NAME_FALLBACK,NAME:universite de nantes,2015-07-03,2016-03-31,8.935611038107753,2016-03-06,0.8212877792378449,0.8631187034603591,0.27267211565633775,1.0,0.6,0.671214916344808,False,False,1,0.19642950538622578,12,HIGH,broad,0.27838673159124894
15-102510,16-183156,RAW_SIRET,SIRET:22720002900014,2015-07-03,2016-12-23,17.706964520367936,2016-09-30,2.759526938239159,0.5400788436268069,0.030170048247324298,0.8,1.0,0.48557922779326523,False,False,1,0.13544695628966408,2,MEDIUM,broad,0.27838673159124894
15-104125,16-19242,NAME_FALLBACK,NAME:ville de nantes,2015-07-08,2016-02-09,7.09592641261498,2016-01-08,1.0512483574244416,0.8247919404292597,0.1800516758603379,0.1,0.6,0.3592160716584332,True,False,1,0.02586537319662069,6,POTENTIAL,broad,0.27838673159124894
15-111004,16-46830,RAW_SIRET,SIRET:19490970100303,2015-07-17,2016-03-31,8.47568988173456,2016-05-08,1.2483574244415243,0.791940429259746,0.1304085325487645,0.0,1.0,0.3436280937070041,False,False,1,0.0679558869834066,3,MEDIUM,broad,0.27838673159124894
15-111481,16-7640,NAME_FALLBACK,NAME:chu de nantes,2015-07-20,2016-01-18,5.978975032851511,2016-01-20,0.0657030223390276,0.9890494962768287,0.5475438361239635,1.0,0.6,0.7989027167125944,False,False,1,0.387568526006604,5,HIGH,broad,0.27838673159124894
15-113362,16-40500,NAME_FALLBACK,NAME:conseil general de loire-atlantique,2015-07-22,2016-03-22,8.015768725361367,2016-03-12,0.328515111695138,0.9452474813841437,0.1402316856404232,0.0,0.6,0.345392960320184,False,False,1,0.049487243449669926,10,POTENTIAL,broad,0.27838673159124894
15-113716,16-67782,NAME_FALLBACK,NAME:insee,2015-07-22,2016-05-11,9.658344283837057,2016-05-10,0.0328515111695138,0.9945247481384144,0.021529028987958665,0.1,0.6,0.34616634718038913,True,False,1,0.17453034192414735,2,MEDIUM,broad,0.27838673159124894
15-115319,16-85619,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2015-07-27,2016-06-13,10.578186596583443,2016-06-19,0.19710906701708278,0.9671484888304862,0.02161299444451241,0.0,0.6,0.3093516702632009,False,False,1,0.0002500142294533658,10,POTENTIAL,broad,0.27838673159124894
15-115709,16-73319,NAME_FALLBACK,NAME:commune de saint-nazaire,2015-07-27,2016-05-24,9.921156373193167,2016-05-27,0.09855453350854139,0.9835742444152431,0.12899437745435238,0.2,0.6,0.4110415932128341,False,False,1,0.07305067439247415,5,MEDIUM,broad,0.27838673159124894
15-115988,16-5277,NAME_FALLBACK,NAME:angers loire metropole,2015-07-27,2016-01-13,5.5847568988173455,2015-11-27,1.5440210249671484,0.7426631625054753,0.22023718824492064,0.0,0.6,0.32274880651209104,False,False,1,0.01647520400470731,9,POTENTIAL,broad,0.27838673159124894
15-118979,15-189271,NAME_FALLBACK,NAME:departement de la sarthe,2015-07-30,2015-12-18,4.6320630749014455,2016-01-30,1.4126149802890933,0.7645641699518178,0.697613957026897,0.2,0.6,0.5553059274473684,False,False,1,0.20202216671138168,6,HIGH,broad,0.27838673159124894
15-119639,16-68672,NAME_FALLBACK,NAME:ecole centrale de nantes,2015-08-03,2016-05-12,9.296977660972404,2016-03-23,1.6425755584756898,0.7262374069207184,0.14714846025035827,0.1,0.6,0.323061312817805,True,False,1,0.024513576372598822,4,POTENTIAL,broad,0.27838673159124894
15-121163,16-3447,NAME_FALLBACK,NAME:centre hospitalier loire vendee ocean,2015-08-04,2016-01-11,5.256241787122208,2016-02-04,0.7884362680683311,0.8685939553219448,0.014172289922359398,0.1,0.6,0.312108790303312,True,False,1,0.312108790303312,1,MEDIUM,broad,0.27838673159124894
15-122609,16-32105,NAME_FALLBACK,NAME:ville de carquefou,2015-08-07,2016-03-07,6.9973718791064385,2016-04-23,1.5440210249671484,0.7426631625054753,0.1530238793615442,0.2,0.6,0.3592241484029093,False,False,1,0.038559460511061794,3,POTENTIAL,broad,0.27838673159124894
15-126308,16-10649,NAME_FALLBACK,NAME:sdis 44,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4498344366689664,0.0,0.6,0.44143460649160643,False,False,1,0.44143460649160643,1,MEDIUM,broad,0.27838673159124894
15-129133,16-97484,NAME_FALLBACK,NAME:sdis 49,2015-08-24,2016-07-04,10.348226018396845,2016-05-10,1.8068331143232588,0.6988611476127902,0.06613679347574673,0.1,0.6,0.2878631646197089,True,False,1,0.1725974057929317,2,MEDIUM,broad,0.27838673159124894
