notice_id,publication_date,start_date,start_date_source,buyer_key,buyer_key_type,buyer_name_raw,buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,buyer_identifier_source,code_departement,objet_clean,cpv_clean,cpv_division,cpv_group,cpv_class,cpv_category,cpv_generic_flag,declared_duration_months,dur_was_imputed,duration_quality_flag,estimated_end_date,is_digital_scope,category_label,study_end_date
15-46309,2015-03-26,2015-07-29,LINKED_ATTRIBUTION_DATE,SIRET:22720002900014,RAW_SIRET,Conseil Général de la Sarthe,conseil general de la sarthe,22720002900014,227200029,RAW_SIRET_FIELD,72,travaux de création graphique pour les besoins du Conseil Général de la Sarthe au Mans,32584000,32,325,3258,32584,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2018-07-29,True,DIGITAL_ICT,2026-07-13
15-39486,2015-03-16,2015-03-16,PUBLICATION_DATE_FALLBACK,NAME:altantic eau,NAME_FALLBACK,Altantic'eau,altantic eau,,,NONE,44,Maintenance du parc informatique,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-16,True,DIGITAL_ICT,2026-07-13
15-30947,2015-03-02,2015-03-02,PUBLICATION_DATE_FALLBACK,NAME:smictom de la vallee de l authion,NAME_FALLBACK,SMICTOM de la Vallée de l'Authion,smictom de la vallee de l authion,,,NONE,49,"Acquisition de systèmes d'identification embarqués, location des solutions logicielles et maintenance associée (matériels et logiciels), pour la collecte des déchets ménagers à Beaufort-en-Vallée",48000000,48,480,4800,48000,True,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-02,True,DIGITAL_ICT,2026-07-13
15-31909,2015-03-03,2015-03-03,PUBLICATION_DATE_FALLBACK,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,ETAT - MEDAD - C.E.T.E. DE L'OUEST,etat - medad - c e t e de l ouest,,,NONE,44,fourniture de petit matériel informatique à Nantes,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-03,True,DIGITAL_ICT,2026-07-13
15-31464,2015-03-02,2015-07-10,LINKED_ATTRIBUTION_DATE,NAME:sdis de la mayenne,NAME_FALLBACK,Sdis de la Mayenne,sdis de la mayenne,,,NONE,53,fourniture de petits materiels d'incendie et de secours et pieces detachees pour le sdis 53,35311400,35,353,3531,35311,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-07-10,True,DIGITAL_ICT,2026-07-13
15-31641,2015-03-04,2015-03-04,PUBLICATION_DATE_FALLBACK,NAME:ircantec,NAME_FALLBACK,IRCANTEC,ircantec,,,NONE,49;44;75,création d'un dispositif d'information plurimédia de l'ircantec à Angers,72413000,72,724,7241,72413,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-04,True,DIGITAL_ICT,2026-07-13
15-31797,2015-03-04,2015-03-04,PUBLICATION_DATE_FALLBACK,NAME:acoss,NAME_FALLBACK,ACOSS,acoss,,,NONE,93;44,acquisition d'une prestation de maintenance et d'assistance technique d'une solution permettant la rationalisation des accès aux machines sensibles et equipements de sécurité à Montreuil,72500000,72,725,7250,72500,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-04,True,DIGITAL_ICT,2026-07-13
15-47450,2015-03-27,2015-03-27,PUBLICATION_DATE_FALLBACK,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,Préfecture de la Loire-Atlantique,prefecture de la loire-atlantique,,,NONE,44;35;85,"Travaux de précâblage banalisé en courants faibles (informatique et téléphonique) de la cité administrative de la préfecture des Pays de la Loire, à Nantes",45314320,45,453,4531,45314,False,12.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2016-03-27,True,DIGITAL_ICT,2026-07-13
15-39187,2015-03-16,2015-03-16,PUBLICATION_DATE_FALLBACK,NAME:caisse des depots,NAME_FALLBACK,Caisse des dépôts,caisse des depots,,,NONE,44;49,Saisie informatique de documents de gestion pour le compte de la caisse des dépôts et des consignations d'angers. (annulation),,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-16,True,DIGITAL_ICT,2026-07-13
15-42765,2015-03-20,2015-03-20,PUBLICATION_DATE_FALLBACK,NAME:cg49,NAME_FALLBACK,CG49,cg49,,,NONE,49,Stratégie et mise en oeuvre d'une campagne de communication numérique et réalisation de films thématiques,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-20,True,DIGITAL_ICT,2026-07-13
15-42843,2015-03-24,2015-03-24,PUBLICATION_DATE_FALLBACK,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,Cté de Cnes de l'Ile de Noirmoutier,cte de cnes de l ile de noirmoutier,,,NONE,85;44;35;75,prestation pour la réalisation d'une plateforme e-commerce sur l'ile à Noirmoutier,72000000,72,720,7200,72000,True,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-24,True,DIGITAL_ICT,2026-07-13
15-45661,2015-03-26,2015-03-26,PUBLICATION_DATE_FALLBACK,NAME:ville du chateau d olonne,NAME_FALLBACK,Ville du Château d'Olonne,ville du chateau d olonne,,,NONE,85,"fourniture d'un progiciel de gestion des services éducation, enfance et jeunesse au profit de la Ville au Chateau d'Olonne",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-26,True,DIGITAL_ICT,2026-07-13
15-47591,2015-03-27,2015-03-27,PUBLICATION_DATE_FALLBACK,NAME:ville d angers,NAME_FALLBACK,Ville d'Angers,ville d angers,,,NONE,49,"Boucle optique Angevine et infrastructures de communications électroniques : extensions et restructurations, à Angers",32412100,32,324,3241,32412,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2018-03-27,True,DIGITAL_ICT,2026-07-13
15-48624,2015-03-31,2015-03-31,PUBLICATION_DATE_FALLBACK,NAME:rectorat de l academie de nantes,NAME_FALLBACK,Rectorat de l'Académie de Nantes,rectorat de l academie de nantes,,,NONE,44,mise en place d'un groupe électrogène pour la salle informatique site Houssinière rectorat à Nantes,45311200,45,453,4531,45311,False,12.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2016-03-31,True,DIGITAL_ICT,2026-07-13
15-43293,2015-03-20,2015-03-20,PUBLICATION_DATE_FALLBACK,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,MSA Loire-Atlantique - Vendée,msa loire-atlantique - vendee,,,NONE,44;85,Climatisation des locaux informatique site de St-Herblain,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-20,True,DIGITAL_ICT,2026-07-13
15-33752,2015-03-06,2015-10-08,LINKED_ATTRIBUTION_DATE,NAME:conseil regional des pays de la loire,NAME_FALLBACK,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,,,NONE,44,"gestion des communautés web, à Nantes",72310000,72,723,7231,72310,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-10-08,True,DIGITAL_ICT,2026-07-13
15-45169,2015-03-27,2015-07-02,LINKED_ATTRIBUTION_DATE,NAME:vendee eau,NAME_FALLBACK,Vendée Eau,vendee eau,,,NONE,85,Evolution de l'infrastructure informatique - services d'infogérance SI au profit de Vendée Eau à La Roche Sur Yon,72315100,72,723,7231,72315,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-07-02,True,DIGITAL_ICT,2026-07-13
15-32051,2015-03-04,2015-03-04,PUBLICATION_DATE_FALLBACK,NAME:caisse des depots,NAME_FALLBACK,Caisse des dépôts,caisse des depots,,,NONE,44;49,Saisie informatique de documents de gestion pour le compte de la caisse des dépôts et des consignations d'angers.,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-04,True,DIGITAL_ICT,2026-07-13
15-35224,2015-03-09,2015-03-09,PUBLICATION_DATE_FALLBACK,NAME:centre hospitalier de laval,NAME_FALLBACK,Centre hospitalier de Laval,centre hospitalier de laval,,,NONE,53,fourniture de materiels informatiques pour le compte du CH à Laval,30236000,30,302,3023,30236,False,24.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2017-03-09,True,DIGITAL_ICT,2026-07-13
15-37182,2015-03-11,2015-03-11,PUBLICATION_DATE_FALLBACK,NAME:mindef dga dt scat,NAME_FALLBACK,MINDEF/DGA/DT/SCAT,mindef dga dt scat,,,NONE,18;49;92,"acquisition de capteurs pour des mesures d'accélération, y compris accessoires et prestations d'étalonnage, à Bourges",35125100,35,351,3512,35125,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-11,True,DIGITAL_ICT,2026-07-13
15-45496,2015-03-26,2015-03-26,PUBLICATION_DATE_FALLBACK,NAME:commune de saint-barthelemy-d anjou,NAME_FALLBACK,Commune de Saint-Barthélemy-d'Anjou,commune de saint-barthelemy-d anjou,,,NONE,49;75,"Maintenance et fourniture des extincteurs, des systèmes de désenfumage et des r.i.a. à Saint-Barthélemy-D'Anjou",35111300,35,351,3511,35111,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-26,True,DIGITAL_ICT,2026-07-13
15-42247,2015-03-19,2015-03-19,PUBLICATION_DATE_FALLBACK,NAME:communaute de communes derval,NAME_FALLBACK,COMMUNAUTE DE COMMUNES DERVAL,communaute de communes derval,,,NONE,44,"Fourniture, installation et maintenance d'un logiciel pour la gestion de la redevance incitative",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-19,True,DIGITAL_ICT,2026-07-13
15-44894,2015-03-24,2015-03-24,PUBLICATION_DATE_FALLBACK,NAME:prefecture,NAME_FALLBACK,Préfecture,prefecture,,,NONE,44;75;49;72;85,Acquisition d'un logiciel de pilotage de données chiffrées - Préfecture de la Loire-Atlantique,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-24,True,DIGITAL_ICT,2026-07-13
15-33241,2015-03-05,2015-09-17,LINKED_ATTRIBUTION_DATE,NAME:chu de nantes,NAME_FALLBACK,CHU de Nantes,chu de nantes,,,NONE,44,acquisition et maintenance d'un système d'appel malade pour la maison de pirmil sur le site de l'hôpital Saint Jacques à Nantes,32510000,32,325,3251,32510,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2018-09-17,True,DIGITAL_ICT,2026-07-13
15-43149,2015-03-20,2015-07-20,LINKED_ATTRIBUTION_DATE,NAME:sdis 85,NAME_FALLBACK,SDIS 85,sdis 85,,,NONE,85,fourniture et mise en oeuvre des nouveaux équipements et logiciels au CTA/Codis du SDIS et au Samu du CHD à La Roche sur Yon,32522000,32,325,3252,32522,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2018-07-20,True,DIGITAL_ICT,2026-07-13
15-47696,2015-03-30,2015-03-30,PUBLICATION_DATE_FALLBACK,SIRET:12000601000058,RAW_SIRET,Ministère des Affaires étrangères,ministere des affaires etrangeres,12000601000058,120006010,RAW_SIRET_FIELD,75;44,Prestation t.m.a. de la messagerie du m.a.e.d.i. dans l'evironnement kerio et logiciels libres d'une part et dans l'environnement microsoft de l'autre pour le Ministère des Affaires étrangères à Paris,72500000,72,725,7250,72500,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-03-30,True,DIGITAL_ICT,2026-07-13
15-40940,2015-03-17,2015-03-17,PUBLICATION_DATE_FALLBACK,NAME:carene,NAME_FALLBACK,CARENE,carene,,,NONE,44,"Fourniture, assistance à la mise en oeuvre, installation et maintenance d'un logiciel de gestion des données du pôle contrôle assainissement au profit de la Carene, à Saint-Nazaire (rectificatif)",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-17,True,DIGITAL_ICT,2026-07-13
15-32168,2015-03-03,2015-09-03,LINKED_ATTRIBUTION_DATE,SIRET:23440003400026,RAW_SIRET,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,23440003400026,234400034,RAW_SIRET_FIELD,44,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",72700000,72,727,7270,72700,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2019-09-03,True,DIGITAL_ICT,2026-07-13
15-34520,2015-03-06,2015-03-06,PUBLICATION_DATE_FALLBACK,NAME:chu d angers,NAME_FALLBACK,CHU d'Angers,chu d angers,,,NONE,49,"Fourniture de pièces détachées et accessoires pour appel-malades, interphonie et matériels assimilés pour le CHU à Angers",32360000,32,323,3236,32360,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2018-03-06,True,DIGITAL_ICT,2026-07-13
15-39992,2015-03-16,2015-03-16,PUBLICATION_DATE_FALLBACK,NAME:mairie de la montagne,NAME_FALLBACK,Mairie de la Montagne,mairie de la montagne,,,NONE,44,"Marché d'acquisition, mise en fonctionnement et maintenance de progiciels de gestion financière et de gestion des rh incluant le paramétrage des flux dont pesv2 et la reprise des données",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2015-09-16,True,DIGITAL_ICT,2026-07-13
