notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,transfer_score,logistic_score,threshold_used,model_name,benchmark_version,threshold_source,top1_top2_margin,n_candidates_for_source,variant
15-46309,SIRET:22720002900014,RAW_SIRET,2015-03-26,2015-07-29,2015-11-29,2026-07-13,32.0,32584.0,DIGITAL_ICT,True,4.0,True,0,135.57818659658344,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-39486,NAME:altantic eau,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.90670170827858,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-30947,NAME:smictom de la vallee de l authion,NAME_FALLBACK,2015-03-02,2015-03-02,2015-09-02,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,0,136.3666228646518,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-31909,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,2015-03-03,2015-03-03,2015-09-03,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,136.33377135348226,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-31464,NAME:sdis de la mayenne,NAME_FALLBACK,2015-03-02,2015-07-10,2015-12-10,2026-07-13,35.0,35311.0,DIGITAL_ICT,True,5.0,True,0,136.3666228646518,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-31641,NAME:ircantec,NAME_FALLBACK,2015-03-04,2015-03-04,2015-09-04,2026-07-13,72.0,72413.0,DIGITAL_ICT,True,6.0,True,0,136.30091984231274,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-31797,NAME:acoss,NAME_FALLBACK,2015-03-04,2015-03-04,2015-09-04,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,0,136.30091984231274,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-47450,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,2015-03-27,2015-03-27,2016-03-27,2026-07-13,45.0,45314.0,DIGITAL_ICT,True,12.0,True,0,135.54533508541394,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-39187,NAME:caisse des depots,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.90670170827858,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-42765,NAME:cg49,NAME_FALLBACK,2015-03-20,2015-03-20,2015-09-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,7.490144546649145,15-167650,0.4024101827284119,HIGH,0.8018653010776688,0.8018653010776688,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.1269508318350036,5.0,logistic_regression_synthetic_v0_4_transfer
15-42843,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,2015-03-24,2015-03-24,2015-09-24,2026-07-13,72.0,72000.0,DIGITAL_ICT,True,6.0,True,0,135.64388961892246,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-45661,NAME:ville du chateau d olonne,NAME_FALLBACK,2015-03-26,2015-03-26,2015-09-26,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.57818659658344,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-47591,NAME:ville d angers,NAME_FALLBACK,2015-03-27,2015-03-27,2015-07-27,2026-07-13,32.0,32412.0,DIGITAL_ICT,True,4.0,True,0,135.54533508541394,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-48624,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2015-03-31,2015-03-31,2016-03-31,2026-07-13,45.0,45311.0,DIGITAL_ICT,True,12.0,True,1,12.187910643889618,16-49315,0.3611643339766729,HIGH,0.9657754036981512,0.9657754036981512,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.3611643339766729,1.0,logistic_regression_synthetic_v0_4_transfer
15-43293,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,2015-03-20,2015-03-20,2015-09-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.77529566360053,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-33752,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-03-06,2015-10-08,2016-04-08,2026-07-13,72.0,72310.0,DIGITAL_ICT,True,6.0,True,1,15.275952693823916,16-85662,0.3752483400593551,POTENTIAL,0.9402706228396818,0.9402706228396818,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0080899794907591,9.0,logistic_regression_synthetic_v0_4_transfer
15-45169,NAME:vendee eau,NAME_FALLBACK,2015-03-27,2015-07-02,2016-01-02,2026-07-13,72.0,72315.0,DIGITAL_ICT,True,6.0,True,0,135.54533508541394,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
