notice_id,buyer_name_raw,buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,buyer_identifier_source,buyer_key,buyer_key_type,buyer_siren_enriched,buyer_siren_alias,buyer_siren_l2,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,buyer_identity_conflict,buyer_siren_agrees_with_boamp_siret,enrichment_join_status
15-46309,Conseil Général de la Sarthe,conseil general de la sarthe,22720002900014,227200029,RAW_SIRET_FIELD,SIRET:22720002900014,RAW_SIRET,,,227200029,SIRET:22720002900014,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-39486,Altantic'eau,altantic eau,,,NONE,NAME:altantic eau,NAME_FALLBACK,,,,NAME:altantic eau,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-30947,SMICTOM de la Vallée de l'Authion,smictom de la vallee de l authion,,,NONE,NAME:smictom de la vallee de l authion,NAME_FALLBACK,,,,NAME:smictom de la vallee de l authion,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-31909,ETAT - MEDAD - C.E.T.E. DE L'OUEST,etat - medad - c e t e de l ouest,,,NONE,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,,,,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-31464,Sdis de la Mayenne,sdis de la mayenne,,,NONE,NAME:sdis de la mayenne,NAME_FALLBACK,,285300018,285300018,SIREN:285300018,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-31641,IRCANTEC,ircantec,,,NONE,NAME:ircantec,NAME_FALLBACK,,,,NAME:ircantec,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-31797,ACOSS,acoss,,,NONE,NAME:acoss,NAME_FALLBACK,,,,NAME:acoss,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-47450,Préfecture de la Loire-Atlantique,prefecture de la loire-atlantique,,,NONE,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,,,,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-39187,Caisse des dépôts,caisse des depots,,,NONE,NAME:caisse des depots,NAME_FALLBACK,,,,NAME:caisse des depots,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-42765,CG49,cg49,,,NONE,NAME:cg49,NAME_FALLBACK,,,,NAME:cg49,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
