source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status,l2_candidate_notice_id,l2_s_text,l2_s_cpv,l2_s_time,l2_s_buyer,l2_composite_score,l2_top1_top2_margin,l2_buyer_match_mechanism,l2_confidence_tier
15-33752,True,True,19-174098,19-147943,0.32550523143204413,0.38510113251055805,0.03804227888304007,0.04369667710935177,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,CHANGED_CANDIDATE,19-147943,0.02375431515124721,0.2,0.9671484888304862,0.75,0.38510113251055805,0.04369667710935177,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-59370,False,True,,19-59985,,0.33277460119493635,,0.09387264710126852,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-59985,0.0339458288317874,0.0,0.9835742444152431,0.75,0.33277460119493635,0.09387264710126852,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-64904,False,True,,19-141668,,0.3377388600427146,,0.08139028164035877,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-141668,0.1654562511451315,0.0,0.8193166885676741,0.75,0.3377388600427146,0.08139028164035877,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-50732,False,True,,15-169809,,0.3274337858084746,,0.025335958863115293,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,15-169809,0.06985336712439452,0.1,0.791940429259746,0.75,0.3274337858084746,0.025335958863115293,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-51820,False,True,,17-48667,,0.32475257624997306,,0.04617418805047335,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,17-48667,0.003203969186769828,0.0,0.9945247481384144,0.75,0.32475257624997306,0.04617418805047335,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-50024,False,True,,19-75795,,0.3380062070304091,,0.3380062070304091,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-75795,0.21706172411041125,0.0,0.7481384143670609,0.75,0.3380062070304091,0.3380062070304091,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-76604,False,True,,17-48717,,0.3314400369159122,,0.009569907022810797,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,17-48717,0.011229089893032278,0.2,0.7700394218134035,0.75,0.3314400369159122,0.009569907022810797,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-76852,False,True,,19-102776,,0.325065729263858,,0.0656564015840787,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-102776,0.00866035906312231,0.2,0.7481384143670609,0.75,0.325065729263858,0.0656564015840787,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-72457,False,True,,19-75460,,0.32742609480374546,,0.008574279735287627,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-75460,0.022575276186660158,0.0,0.9780989925536575,0.75,0.32742609480374546,0.008574279735287627,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-95253,False,True,,19-103545,,0.32769657562113524,,0.08952235068812028,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-103545,0.06245702039052846,0.0,0.9233464739378011,0.75,0.32769657562113524,0.08952235068812028,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-102510,False,True,,20-93634,,0.4405978778695892,,0.014677873501122374,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,20-93634,0.43326444549937065,0.4,0.37582128777923784,0.75,0.4405978778695892,0.014677873501122374,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-111004,False,True,,18-94561,,0.7093245529329668,,0.4071465803427172,,HIGH,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,18-94561,0.9487991419134765,1.0,0.008979413053000429,0.75,0.7093245529329668,0.4071465803427172,HISTORICAL_ALIAS_RECONCILIATION,HIGH
15-119589,False,True,,18-153394,,0.42417155412846524,,0.42417155412846524,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,18-153394,0.28855973728213025,0.4,0.5127025843188786,0.75,0.42417155412846524,0.42417155412846524,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-136371,False,True,,20-52846,,0.32712632100191824,,0.32712632100191824,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,20-52846,0.049745811710630555,0.2,0.6988611476127902,0.75,0.32712632100191824,0.32712632100191824,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-139462,False,True,,19-159320,,0.34457224837370276,,0.03202188705953124,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-159320,0.25179080537784043,0.1,0.6057818659658345,0.75,0.34457224837370276,0.03202188705953124,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
15-169809,False,True,,19-165120,,0.3264519640864179,,0.11350861867462628,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-165120,0.04325741068680569,0.0,0.9452474813841437,0.75,0.3264519640864179,0.11350861867462628,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
15-182813,False,True,,20-8845,,0.6366430699192946,,0.25813481585412745,,HIGH,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,20-8845,0.43608801530035635,1.0,0.43604905825667983,0.75,0.6366430699192946,0.25813481585412745,HISTORICAL_ALIAS_RECONCILIATION,HIGH
15-192276,False,True,,20-59788,,0.32711936926384216,,0.036957950065703016,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,20-59788,0.10773858961185359,0.0,0.8576434515987735,0.75,0.32711936926384216,0.036957950065703016,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
16-16627,False,True,,21-27874,,0.3478143945522439,,0.1240215008136939,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,21-27874,0.011733011404508805,0.4,0.5948313622426631,0.75,0.3478143945522439,0.1240215008136939,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
16-42023,True,True,19-34598,19-39750,0.34744939671992775,0.4464729487044646,0.0036426829010289263,0.06557744751739464,POTENTIAL,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,CHANGED_CANDIDATE,19-39750,0.03549557836467373,0.4,0.9561979851073149,0.75,0.4464729487044646,0.06557744751739464,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
16-32344,True,True,20-125567,20-65753,0.37692251787309544,0.6753781518529054,0.10884372120716401,0.28345563397980994,MEDIUM,HIGH,HISTORICAL_ALIAS_RECONCILIATION,CHANGED_CANDIDATE,20-65753,0.3590367569991655,1.0,0.6988611476127902,0.75,0.6753781518529054,0.28345563397980994,HISTORICAL_ALIAS_RECONCILIATION,HIGH
16-38113,False,True,,21-27874,,0.34766017467327764,,0.12798288991333234,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,21-27874,0.01129238317889107,0.4,0.5948313622426631,0.75,0.34766017467327764,0.12798288991333234,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
16-46830,False,True,,19-106149,,0.3597123819708724,,0.097185720543145,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,19-106149,0.03692931360928818,0.1,0.9671484888304862,0.75,0.3597123819708724,0.097185720543145,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
