source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status
15-46309,True,True,15-187883,15-187883,0.46982362912864195,0.46982362912864195,0.051388622061755984,0.051388622061755984,MEDIUM,MEDIUM,EXACT_SIRET_RECONCILIATION,SAME_LINK
15-39486,False,False,,,,,,,,,,UNLINKED_BOTH
15-30947,False,False,,,,,,,,,,UNLINKED_BOTH
15-31909,False,False,,,,,,,,,,UNLINKED_BOTH
15-31464,True,True,15-136371,15-136371,0.3582433682746015,0.3732433682746016,0.0342699784674087,0.0342699784674087,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-31641,False,False,,,,,,,,,,UNLINKED_BOTH
15-31797,False,False,,,,,,,,,,UNLINKED_BOTH
15-47450,False,False,,,,,,,,,,UNLINKED_BOTH
15-39187,True,True,15-56571,15-56571,0.42726892600802785,0.42726892600802785,0.42726892600802785,0.42726892600802785,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-42765,True,True,15-167650,15-167650,0.40241018272841195,0.40241018272841195,0.1269508318350036,0.1269508318350036,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-42843,False,False,,,,,,,,,,UNLINKED_BOTH
15-45661,False,False,,,,,,,,,,UNLINKED_BOTH
15-47591,False,False,,,,,,,,,,UNLINKED_BOTH
15-48624,True,True,16-49315,16-49315,0.3611643339766729,0.3611643339766729,0.3611643339766729,0.3611643339766729,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-43293,False,False,,,,,,,,,,UNLINKED_BOTH
15-33752,True,True,16-61484,16-61484,0.3833383195501142,0.39833831955011423,0.008089979490759125,0.008089979490759125,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-45169,True,True,15-159973,15-159973,0.3650598018619223,0.3800598018619223,0.03596601915537112,0.035966019155371176,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-32051,True,True,15-56571,15-56571,0.45162183808499684,0.45162183808499695,0.0060844962400117275,0.0060844962400118385,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-35224,False,False,,,,,,,,,,UNLINKED_BOTH
15-37182,False,False,,,,,,,,,,UNLINKED_BOTH
15-45496,False,False,,,,,,,,,,UNLINKED_BOTH
15-42247,False,False,,,,,,,,,,UNLINKED_BOTH
15-44894,True,True,15-126736,15-126736,0.4293663480418526,0.42936634804185253,0.4293663480418526,0.42936634804185253,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-33241,False,False,,,,,,,,,,UNLINKED_BOTH
15-43149,False,False,,,,,,,,,,UNLINKED_BOTH
15-47696,True,True,15-52664,15-52664,0.7066228536529195,0.7066228536529197,0.4389228745889888,0.43892287458898893,HIGH,HIGH,EXACT_SIRET_RECONCILIATION,SAME_LINK
15-40940,False,False,,,,,,,,,,UNLINKED_BOTH
15-32168,True,True,16-20762,16-32344,0.37154871842220816,0.3924390378602894,0.1293308078405003,0.02089031943808123,MEDIUM,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,CHANGED_CANDIDATE
15-34520,True,True,15-117072,15-117072,0.3504761237733987,0.3654761237733987,0.055880760900835214,0.055880760900835214,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-39992,False,False,,,,,,,,,,UNLINKED_BOTH
15-56918,False,False,,,,,,,,,,UNLINKED_BOTH
15-59370,True,True,15-92216,15-92216,0.46098556606436575,0.47598556606436576,0.017259809006107463,0.01725980900610735,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-59770,True,True,15-63856,15-63856,0.7111766242127451,0.726176624212745,0.4456500771263847,0.4456500771263846,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-60447,True,True,15-126308,15-126308,0.777146756498597,0.7921467564985971,0.4430474703119413,0.4430474703119414,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-63856,False,False,,,,,,,,,,UNLINKED_BOTH
15-50314,False,False,,,,,,,,,,UNLINKED_BOTH
15-56649,False,True,,16-61484,,0.3522727259980482,,0.05471610364627516,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-58339,True,True,15-175690,15-175690,0.5982373297281363,0.5982373297281363,0.0788879626340282,0.07888796263402842,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-53947,True,True,15-164088,15-164088,0.39765681010639786,0.4126568101063979,0.00849539545733563,0.00849539545733563,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-56571,False,False,,,,,,,,,,UNLINKED_BOTH
15-54892,False,False,,,,,,,,,,UNLINKED_BOTH
15-65278,False,False,,,,,,,,,,UNLINKED_BOTH
15-58971,False,False,,,,,,,,,,UNLINKED_BOTH
15-62309,False,False,,,,,,,,,,UNLINKED_BOTH
15-52664,False,False,,,,,,,,,,UNLINKED_BOTH
15-55213,False,False,,,,,,,,,,UNLINKED_BOTH
15-55830,False,False,,,,,,,,,,UNLINKED_BOTH
15-58989,True,True,15-105085,15-105085,0.48299124194158877,0.48299124194158877,0.18112496672577288,0.18112496672577288,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-64904,False,False,,,,,,,,,,UNLINKED_BOTH
