source_notice_id,candidate_notice_id,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,buyer_match_mechanism,cross_establishment_same_siren,source_buyer_identity_source,candidate_buyer_identity_source
15-101283,16-102267,2015-07-01,2016-07-09,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,False,False,1,0.6225897414419586,1,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-102348,16-48016,2015-07-03,2016-03-31,8.935611038107753,2016-03-06,0.8212877792378449,0.8631187034603591,0.2726721156563378,1.0,0.75,0.6862149163448079,False,False,1,0.19642950538622567,12,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-102510,16-183156,2015-07-03,2016-12-23,17.706964520367936,2016-09-30,2.759526938239159,0.5400788436268069,0.0301700482473243,0.8,1.0,0.48557922779326523,False,False,1,0.13503301638387688,9,MEDIUM,strict,0.44206956893514254,EXACT_SIRET_RECONCILIATION,False,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET
15-111481,16-7640,2015-07-20,2016-01-18,5.978975032851511,2016-01-20,0.0657030223390276,0.9890494962768287,0.5475438361239635,1.0,0.75,0.8139027167125943,False,False,1,0.3875685260066039,5,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-118979,15-189271,2015-07-30,2015-12-18,4.6320630749014455,2016-01-30,1.4126149802890933,0.7645641699518178,0.697613957026897,0.2,0.75,0.5703059274473684,False,False,1,0.20202216671138168,9,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-126308,16-10649,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4498344366689664,0.0,0.75,0.45643460649160644,False,False,1,0.45643460649160644,1,MEDIUM,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-136102,15-155719,2015-09-07,2015-10-13,1.1826544021024967,2016-01-07,2.8252299605781865,0.5291283399036355,0.9510071013121868,1.0,0.6,0.8251345704351742,False,False,1,0.2210207291260018,2,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-137458,15-155719,2015-09-09,2015-10-13,1.1169513797634691,2016-01-09,2.890932982917214,0.5181778361804643,0.4303209238308393,1.0,0.6,0.6401567823859098,False,False,1,0.6401567823859098,1,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-142353,16-73358,2015-09-17,2016-05-23,8.180026281208935,2016-06-03,0.36136662286465177,0.939772229522558,0.03943160946550188,0.4,0.75,0.44374412069356517,False,False,1,0.1426943601127536,4,MEDIUM,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS
15-159973,16-94711,2015-10-28,2016-07-04,8.21287779237845,2016-07-07,0.09855453350854139,0.9835742444152431,0.08015337003938106,1.0,0.75,0.648947240617594,False,False,1,0.09451663880351235,2,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
