notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,buyer_match_mechanism,variant
15-46309,SIRET:22720002900014,RAW_SIRET,2015-03-26,2015-07-29,2015-11-29,2026-07-13,32,32584,DIGITAL_ICT,True,4.0,True,SIRET:22720002900014,DIRECT_BOAMP_SIRET,HIGH,1,8.705650459921156,15-187883,0.46982362912864195,MEDIUM,EXACT_SIRET_RECONCILIATION,balanced
15-39486,NAME:altantic eau,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:altantic eau,NAME_FALLBACK,LOW,0,135.90670170827858,,,,,balanced
15-30947,NAME:smictom de la vallee de l authion,NAME_FALLBACK,2015-03-02,2015-03-02,2015-09-02,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,NAME:smictom de la vallee de l authion,NAME_FALLBACK,LOW,0,136.3666228646518,,,,,balanced
15-31909,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,2015-03-03,2015-03-03,2015-09-03,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,LOW,0,136.33377135348226,,,,,balanced
15-31464,NAME:sdis de la mayenne,NAME_FALLBACK,2015-03-02,2015-07-10,2015-12-10,2026-07-13,35,35311,DIGITAL_ICT,True,5.0,True,SIREN:285300018,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,6.2089356110381075,15-136371,0.3732433682746016,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-31641,NAME:ircantec,NAME_FALLBACK,2015-03-04,2015-03-04,2015-09-04,2026-07-13,72,72413,DIGITAL_ICT,True,6.0,True,NAME:ircantec,NAME_FALLBACK,LOW,0,136.30091984231274,,,,,balanced
15-31797,NAME:acoss,NAME_FALLBACK,2015-03-04,2015-03-04,2015-09-04,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,NAME:acoss,NAME_FALLBACK,LOW,0,136.30091984231274,,,,,balanced
15-47450,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,2015-03-27,2015-03-27,2016-03-27,2026-07-13,45,45314,DIGITAL_ICT,True,12.0,True,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,LOW,0,135.54533508541394,,,,,balanced
15-39187,NAME:caisse des depots,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:caisse des depots,NAME_FALLBACK,LOW,1,0.9526938239159002,15-56571,0.42726892600802785,MEDIUM,M0_NAME_FALLBACK,balanced
15-42765,NAME:cg49,NAME_FALLBACK,2015-03-20,2015-03-20,2015-09-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:cg49,NAME_FALLBACK,LOW,1,7.490144546649145,15-167650,0.40241018272841195,MEDIUM,M0_NAME_FALLBACK,balanced
15-42843,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,2015-03-24,2015-03-24,2015-09-24,2026-07-13,72,72000,DIGITAL_ICT,True,6.0,True,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,LOW,0,135.64388961892246,,,,,balanced
15-45661,NAME:ville du chateau d olonne,NAME_FALLBACK,2015-03-26,2015-03-26,2015-09-26,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:ville du chateau d olonne,NAME_FALLBACK,LOW,0,135.57818659658344,,,,,balanced
15-47591,NAME:ville d angers,NAME_FALLBACK,2015-03-27,2015-03-27,2015-07-27,2026-07-13,32,32412,DIGITAL_ICT,True,4.0,True,NAME:ville d angers,NAME_FALLBACK,LOW,0,135.54533508541394,,,,,balanced
15-48624,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2015-03-31,2015-03-31,2016-03-31,2026-07-13,45,45311,DIGITAL_ICT,True,12.0,True,NAME:rectorat de l academie de nantes,NAME_FALLBACK,LOW,1,12.18791064388962,16-49315,0.3611643339766729,MEDIUM,M0_NAME_FALLBACK,balanced
15-43293,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,2015-03-20,2015-03-20,2015-09-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,LOW,0,135.77529566360053,,,,,balanced
