notice_id,publication_date,buyer_name_raw,buyer_name_normalized,buyer_key,buyer_key_type,buyer_identity_source,buyer_identity_confidence,enrichment_join_status,department_key
15-39486,2015-03-16,Altantic'eau,altantic eau,NAME:altantic eau,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
15-30947,2015-03-02,SMICTOM de la Vallée de l'Authion,smictom de la vallee de l authion,NAME:smictom de la vallee de l authion,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
15-31909,2015-03-03,ETAT - MEDAD - C.E.T.E. DE L'OUEST,etat - medad - c e t e de l ouest,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
15-31641,2015-03-04,IRCANTEC,ircantec,NAME:ircantec,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49;75
15-31797,2015-03-04,ACOSS,acoss,NAME:acoss,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;93
15-47450,2015-03-27,Préfecture de la Loire-Atlantique,prefecture de la loire-atlantique,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44;85
15-39187,2015-03-16,Caisse des dépôts,caisse des depots,NAME:caisse des depots,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49
15-42765,2015-03-20,CG49,cg49,NAME:cg49,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
15-42843,2015-03-24,Cté de Cnes de l'Ile de Noirmoutier,cte de cnes de l ile de noirmoutier,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44;75;85
15-45661,2015-03-26,Ville du Château d'Olonne,ville du chateau d olonne,NAME:ville du chateau d olonne,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
