source_notice_id,candidate_notice_id,sweep,severity,s_text,s_cpv,s_time,s_buyer,composite,is_arg_max,clears_balanced_threshold,recovered
15-100455,19-156899,text_only,0,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,text_only,1,0.10284367566534369,1.0,0.6714848883048621,0.6,0.5638665085590857,True,True,True
15-100455,19-156899,text_only,2,0.13838228416690396,1.0,0.6714848883048621,0.6,0.5763050215346319,True,True,True
15-100455,19-156899,text_only,3,0.004628795620986742,1.0,0.6714848883048621,0.6,0.5294913005435609,True,True,True
15-100455,19-156899,cpv_only,0,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,cpv_only,1,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,cpv_only,2,0.18108383494026645,0.6,0.6714848883048621,0.6,0.47125056430530876,True,True,True
15-100455,19-156899,cpv_only,3,0.18108383494026645,0.2,0.6714848883048621,0.6,0.35125056430530877,False,True,False
15-100455,19-156899,duration_only,0,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,duration_only,1,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,duration_only,2,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,duration_only,3,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,combined,0,0.18108383494026645,1.0,0.6714848883048621,0.6,0.5912505643053088,True,True,True
15-100455,19-156899,combined,1,0.10284367566534369,1.0,0.6714848883048621,0.6,0.5638665085590857,True,True,True
15-100455,19-156899,combined,2,0.13838228416690396,0.6,0.6714848883048621,0.6,0.45630502153463187,True,True,True
15-100455,19-156899,combined,3,0.004628795620986742,0.2,0.6714848883048621,0.6,0.28949130054356087,False,False,False
15-111481,19-59985,text_only,0,0.24087660376622505,1.0,0.4853263250109505,0.6,0.5656383925709163,True,True,True
15-111481,19-59985,text_only,1,0.2715013166476897,1.0,0.4853263250109505,0.6,0.5763570420794291,True,True,True
15-111481,19-59985,text_only,2,0.2595481795198491,1.0,0.4853263250109505,0.6,0.5721734440846848,True,True,True
