nom_acheteur;site_profil_acheteur;site_proposition;date_dernier_avis;dernier_site_en_date
#FRANCE 2023;www.maximilien.fr;marches.maximilien.fr;2018-10-21;1
#FRANCE 2023;marches.maximilien.fr;;2018-07-14;0
'Sécurité sociale dans les mines';www.achatpublic.com;;2015-04-08;1
12ème BSMAT - site de Neuvy-Pailloux;www.marches-publics.gouv.fr;www.marches-publics.gouv.fr;2018-08-01;1
1947;www.centraledesmarches.com;;2018-11-01;1
1947;demat.centraledesmarches.com;demat.centraledesmarches.com;2018-06-24;0
1959;www.xmarches.fr;;2018-05-16;1
2gch;www.marches-securises.fr;;2015-10-09;1
3ifa;www.klekoon.com;;2019-02-18;1
A F R de BUXEUIL;www.marches-aube.fr;;2016-05-23;1
A. Synd. d'Irrigation de l'Ain;www.voixdelain.fr;www.voixdelain.fr;2018-06-22;1
A. Synd. d'Irrigation de l'Ain;voixdelain.fr;;2015-09-21;0
A.C.C.F.I.P;www.boamp.fr;;2015-12-01;1
A.G.E.P.S.;www.achats-hopitaux.com;;2015-11-02;1
A.H.F.C.;www.ahbfc.fr;;2016-12-30;1
A.H.F.C.;www.ahfc.fr;;2015-09-25;0
A.P.C.A;chambres-agriculture.fr;chambres-agriculture.fr;2020-12-10;1
A.P.I.J.;www.achat.public.com;;2020-04-01;1
A.P.I.J.;www.achatpublic.com;;2020-03-18;0
A.P.I.J.;achat.public.com;;2019-10-28;0
A.P.I.J.;achatpublic.com;;2019-07-04;0
A.P.I.J.;;;2018-10-22;0
A.P.I.J.;www.achapublic.com;;2017-01-26;0
A.P.I.J.;ww.achatpublic.com;;2016-06-06;0
A.P.I.J.;www.achatpublic.fr;;2015-12-07;0
A.P.I.J.;www;www.achatpublic.com;2015-11-16;0
A.P.I.J.;www.achatpublics.fr;;2015-11-16;0
A.S. des marais de la Basse Ailette;www.achatpublic.com;;2015-07-01;1
A.S.E.I;marchesonline.achatpublic.com;;2018-07-26;1
AAUC;aauc.e-marchespublics.com;;2016-01-25;1
AB Habitat- O.P.H. d'Argenteuil-Bezons;www.achatpublic.com;;2016-08-24;1
ABBAYE DE FONTEVRAUD;www.fontevraud.fr;;2015-08-26;1
ABES;www.marches-publics.gouv.fr;www.marches-publics.gouv.fr;2019-02-24;1
ACADEMIE DE LA MARTINIQUE;www.marches-publics.gouv.fr;www.marches-publics.gouv.fr;2018-02-14;1
ACADEMIE DE PARIS;marches-publics.gouv.fr;;2018-03-30;1
ACADEMIE DE PARIS;www.marches-publics.gouv.fr;;2018-02-21;0
ACADEMIE DE REIMS;www.marches-publics.gouv.fr;www.marches-publics.gouv.fr;2019-12-21;1
ACADEMIE DE REIMS;www.ac-reims.fr;www.marches-publics.gouv.fr;2017-11-26;0
ACFCI;www.marches-publics.gouv.fr;www.marches-publics.gouv.fr;2019-11-27;1
ACG-SYNERGIES;www.acg-synergies.fr;;2020-10-06;1
ACG-SYNERGIES;www.e-marchespublics.com;;2020-01-04;0
ACG-SYNERGIES;acg-synergies.e-marchespublics.com;;2016-12-28;0
ACHA;www.achats-hopitaux.com;www.achats-hopitaux.com;2015-11-19;1
ACHAT;www.achats-hopitaux.com;;2015-06-08;1
ACM OPH de la CA de Montpellier;marches-publics.acmhabitat.fr;;2019-12-25;1
ACM OPH de la CA de Montpellier;marches-publics.oph-montpellier-agglo.fr;;2015-10-20;0
ACOSS;www.achatpublic.com;www.achatpublic.com;2020-12-25;1
ACOSS;acoss.achatpublic.com;acoss.achatpublic.com;2020-06-27;0
ACOSS;www.acoss.achatpublic.com;;2020-04-10;0
ACOSS;acoss.achatpublic.com.;;2016-05-12;0
ACTION ENFANCE;marchesonline.achatpublic.com;;2020-09-30;1
ACTION LOGEMENT FORMATION;www.marches-publics.info;;2020-03-06;1
ACTION LOGEMENT GROUPE;www.marches-publics.info;www.marches-publics.info;2020-12-10;1
ACTION LOGEMENT GROUPE;marches-publics.info;;2017-11-17;0
ACTION LOGEMENT IMMOBILIER;www.marches-publics.info;;2020-11-30;1
ACTION LOGEMENT SERVICES;www.marches-publics.info;;2019-10-21;1
ACTION LOGEMENT SERVICES;marches-publics.info;;2017-10-25;0
ACTION SOCIALE DELEG13;www.boamp.fr;;2016-02-29;1
ACTIS(OPH);www.marches-securises.fr;;2015-10-09;1
ADADSA;www.achatpublic.com;;2016-06-08;1
ADAFORSS;www.achatpublic.com;;2018-11-12;1
ADAFP CFA Lucien RAVIT;www.boamp.fr;;2015-10-02;1
ADAPEI DE LA DROME;www.marches-publics.info;www.marches-publics.info;2017-07-28;1
ADAPEI PAPILLONS BLANCS D ALSACE;www.marches-securises.fr;;2018-07-04;1
ADAPEI PAPILLONS BLANCS D'ALSACE;www.marches-securises.fr;;2019-03-21;1
ADAPEI du Doubs;www.marches-securises.fr;;2020-04-22;1
ADASA 17;www.achatpublic.com;www.achatpublic.com;2017-04-20;1
ADEF;marchesonline.achatpublic.com;publication.marchesonline.com;2019-10-24;1
ADEME;www.marches-publics.gouv.fr;;2019-04-11;1
ADEME;www.ademe.fr;;2018-02-16;0
ADEME;demat.centraledesmarches.com;;2017-05-04;0
ADN Nevers;www.marches.ternum-bfc.fr;;2020-10-30;1
ADN Nevers;www.e-bourgogne.fr;;2020-04-09;0
ADN Nevers;marches.e-bourgogne.fr;;2018-03-06;0
ADN Nevers;www.agglo-nevers.net;;2017-03-08;0
ADOMA;www.achatpublic.com;;2017-04-03;1
ADRT Tourisme Creuse;ressources-tourismecreuse.com;;2015-10-19;1
ADT 71;marches.e-bourgogne.fr;;2018-12-19;1
ADVIVO;agysoft.marches-publics.info;agysoft.marches-publics.info;2020-06-07;1
AEFE;aefe.e-marchespublics.com;;2015-09-10;1
AEROPORT DE LA REUNION ROLAND GARROS;www.marches-securises.fr;;2020-09-30;1
AFLD;www.klekoon.com;;2020-01-24;1
AFLD;klekoon.com;;2017-12-13;0
AFLD;www.achatpublic.com;;2015-04-22;0
AFPA;afpa.e-marchespublics.com;;2020-08-02;1
AFR;www.cany-barville.fr;www.cany-barville.fr;2015-05-05;1
AFTRP;www.achatpublic.com;;2015-10-30;1
AFUA jardins de serignan;www.e-marchespublics.com;;2019-10-17;1
AFUL DE LA CARAVELLE s/c SCET DIR IDF;www.marches-publics.info;;2017-03-01;1
AFUNA CFA SUP 2000;www.boamp.fr;;2015-12-15;1
AGAPE 79;www.achatpublic.com;;2019-07-26;1
AGAPEI;www.ladepeche-marchespublics.fr;www.ladepeche-marchespublics.fr;2019-12-07;1
AGATE;www.achatpublic.com;;2019-10-06;1
AGCE DE DEVELOPPEMENT ECO D OCCITANIE;marchespublics.agence-adocc.com;;2020-07-27;1
AGCE DE DVLPT ET RESERV TOURISTIQUES;www.oisetourisme.com;;2018-04-11;1
AGCE DE L ENVIR ET DE MAITRISE ENERGIE;www.marches-publics.gouv.fr;www.marches-publics.gouv.fr;2020-09-19;1
AGCE DU NUMERIQUE DE LA SECURITE CIV;www.marches-publics.gouv.fr;;2019-07-26;1
