breakdown,level,n_eligible_sources,n_sources_with_candidate,n_sources_zero_candidate,blocking_coverage
overall,eligible_nonmissing_buyer_key,3159,1236,1923,0.3912630579297246
publication_year,2015,266,151,115,0.5676691729323309
publication_year,2016,308,177,131,0.5746753246753247
publication_year,2017,322,191,131,0.593167701863354
publication_year,2018,307,156,151,0.50814332247557
publication_year,2019,314,165,149,0.5254777070063694
publication_year,2020,259,109,150,0.42084942084942084
publication_year,2021,306,95,211,0.3104575163398693
publication_year,2022,305,60,245,0.19672131147540983
publication_year,2023,283,18,265,0.0636042402826855
publication_year,2024,210,50,160,0.23809523809523808
publication_year,2025,189,53,136,0.2804232804232804
publication_year,2026,90,11,79,0.12222222222222222
cpv_division,09,1,0,1,0.0
cpv_division,16,1,0,1,0.0
cpv_division,22,3,2,1,0.6666666666666666
cpv_division,30,203,70,133,0.3448275862068966
cpv_division,31,5,3,2,0.6
cpv_division,32,370,112,258,0.3027027027027027
cpv_division,33,10,8,2,0.8
cpv_division,34,2,0,2,0.0
cpv_division,35,157,55,102,0.3503184713375796
cpv_division,38,13,5,8,0.38461538461538464
cpv_division,39,10,7,3,0.7
cpv_division,42,19,8,11,0.42105263157894735
cpv_division,43,1,1,0,1.0
cpv_division,44,6,5,1,0.8333333333333334
cpv_division,45,87,36,51,0.41379310344827586
cpv_division,48,466,167,299,0.3583690987124464
cpv_division,50,50,18,32,0.36
cpv_division,51,1,1,0,1.0
cpv_division,55,1,0,1,0.0
cpv_division,64,9,5,4,0.5555555555555556
cpv_division,65,1,0,1,0.0
cpv_division,66,6,2,4,0.3333333333333333
cpv_division,71,56,17,39,0.30357142857142855
cpv_division,72,889,296,593,0.3329583802024747
cpv_division,75,7,5,2,0.7142857142857143
cpv_division,77,1,0,1,0.0
cpv_division,79,59,20,39,0.3389830508474576
cpv_division,80,19,5,14,0.2631578947368421
cpv_division,85,7,3,4,0.42857142857142855
cpv_division,90,4,3,1,0.75
cpv_division,92,13,11,2,0.8461538461538461
cpv_division,nan,682,371,311,0.5439882697947214
buyer_key_type,NAME_FALLBACK,2446,1027,1419,0.41986917416189695
buyer_key_type,RAW_SIRET,713,209,504,0.29312762973352036
duration_status,imputed,2781,1127,1654,0.405249910104279
duration_status,observed,378,109,269,0.28835978835978837
zero_candidate_cause,has_candidates,1236,1236,0,1.0
zero_candidate_cause,no_later_same_buyer_notice,798,0,798,0.0
zero_candidate_cause,temporal_window_excluded_all_later_same_buyer,1125,0,1125,0.0
buyer_publication_frequency,1,386,0,386,0.0
buyer_publication_frequency,2,326,36,290,0.11042944785276074
buyer_publication_frequency,3-5,498,101,397,0.20281124497991967
buyer_publication_frequency,6-10,367,107,260,0.29155313351498635
buyer_publication_frequency,11-25,619,328,291,0.529886914378029
buyer_publication_frequency,26+,963,664,299,0.6895119418483905
buyer_blocking_eligibility,missing_buyer_key_excluded_before_candidate_generation,0,0,0,
