field_name,data_type,non_null_rate,example_values,interpretation,useful_for_m0
idweb,string,1.0,15-28783 | 15-31324 | 15-32027,Unique BOAMP notice identifier (e.g. 24-10724). Used as notice_id.,YES - primary key
objet,string,1.0,"fourniture de café avec mise à disposition des machines, pots et pichets à Saint Nazaire | Prestation d'assurance pour les besoins de la ville de Pont St Martin | mise en service de vélos neufs classiques et pliants à Angers",Free-text procurement object/title.,YES - text similarity (s_text)
famille,categorical,1.0,JOUE | FNS | MAPA,"Publication tier: MAPA (<90k EUR), FNS (90k EUR-EU threshold), JOUE (EU threshold), DSP (concessions).",Indirect - affects schema_family of donnees
code_departement,string (list),1.0,44 | 44;85;72;79 | 49,"Notice/buyer department code(s). Server-side filtered to Pays de la Loire (44,49,53,72,85) at download time.",YES - defines the geographic scope
dateparution,date,1.0,2015-03-03 | 2015-03-04 | 2015-03-05,Notice publication date.,"YES - publication_date, temporal ordering"
datefindiffusion,date,1.0,2015-04-13 | 2015-04-14 | 2015-04-23,End-of-diffusion date (notice removed from site).,Auxiliary only
datelimitereponse,datetime,0.4526,2015-04-13T15:00:00+00:00 | 2015-04-13T11:00:00+00:00 | 2015-04-14T11:00:00+00:00,Tender response deadline.,Auxiliary only
nomacheteur,string,1.0,Centre Hospitalier de Saint-Nazaire | MAIRIE DE PONT ST MARTIN | Ville d'Angers,"Buyer/contracting authority name, as published.",YES - buyer_name_raw / NAME_FALLBACK key
titulaire,string (list),0.2118,ANDRE BTP (Mandataire du groupement) | Société PAVY;Société VITRES ET VERRES | Lyonnaise des Eaux;Lyonnaise des Eaux;Saur,"Winning bidder name(s), only populated on ATTRIBUTION notices.",Not used in M0 (no external enrichment of winner identity)
perimetre,categorical,1.0,DIRECTIVE-18 | CMP-2006 | DIRECTIVE-81,Legal regime (MAPA / FNSimple / DIRECTIVE-XX).,Indirect
nature,categorical,1.0,APPEL_OFFRE | ATTRIBUTION | INTENTION_CONCLURE,"Notice type: APPEL_OFFRE, ATTRIBUTION, RECTIFICATIF, MODIFICATION, ANNULATION, PRE-INFORMATION, EX_ANTE_VOLONTAIRE, PERIODIQUE, INTENTION_CONCLURE, AUTRE.","YES - notice_type_raw/normalized, defines source vs candidate pool"
descripteur_code,string (list),0.9998,88 | 20 | 359,"BOAMP internal keyword-thesaurus codes (NOT official CPV codes - coarser, ~300 values).",NO - true CPV taken from nested donnees instead
type_marche,categorical,0.8499,FOURNITURES | SERVICES | TRAVAUX,TRAVAUX / SERVICES / FOURNITURES.,"Not used directly in M0 v0, available for future refinement"
annonce_lie,string (list),0.3012,15-37631 | 13-128541 | 14-151069,idweb(s) of a linked prior notice (e.g. ATTRIBUTION -> its APPEL_OFFRE). Native BOAMP cross-reference.,YES - start_date_source=LINKED_ATTRIBUTION_DATE
