buyer_name_normalized,n_distinct_keys,is_generic
laval agglomeration,13,False
nantes metropole,12,False
chu nantes,11,False
cholet agglomeration,10,False
nantes universite,10,True
ca pornic agglo pays de retz,10,False
mauges communaute,9,False
region des pays de la loire,9,False
podeliha,8,False
redon agglomeration,8,False
centre communal d action sociale,8,False
angers loire metropole 49,8,False
ville de cholet,8,True
cte de communes d erdre et gesvres,7,True
mairie de saint-herblain,7,True
ministere des affaires etrangeres,7,False
angers loire metropole,7,False
ars pays de la loire,7,False
departement de maine-et-loire,7,True
region bretagne,6,False
