window_months,buyer_key_type,mean,median,p90,pct_zero_candidates,n
3,NAME_FALLBACK,29.545343833725745,14.0,79.0,0.08386782495737598,61585
3,RAW_SIRET,24.91891657261915,10.0,69.0,0.11889052869172671,23038
6,NAME_FALLBACK,57.01122026467484,26.0,150.0,0.05152228627100755,61585
6,RAW_SIRET,47.4449170934977,18.0,135.0,0.06584772983765952,23038
9,NAME_FALLBACK,83.21441909555898,37.0,214.0,0.04192579361857595,61585
9,RAW_SIRET,68.04054171369043,26.0,197.0,0.05082906502300547,23038
12,NAME_FALLBACK,108.86943249167817,48.0,281.0,0.036534870504181215,61585
12,RAW_SIRET,87.33813699105825,32.0,252.0,0.04340654570709263,23038
18,NAME_FALLBACK,155.09565640984005,67.0,397.0,0.03148493951449217,61585
18,RAW_SIRET,120.13968226408542,43.5,356.0,0.03715600312527129,23038
24,NAME_FALLBACK,197.0227165705935,84.0,511.0,0.029016806040431924,61585
24,RAW_SIRET,147.2950776977168,54.0,451.0,0.03377029256011806,23038
