cpv_division,n_notices,share
,25120,0.29684601113172543
45,15923,0.1881639743332191
71,7932,0.09373338217742222
79,3710,0.04384150880966168
90,3643,0.043049761885066706
50,2646,0.03126809496236248
66,2094,0.024745045673162144
34,1952,0.023067014877751913
39,1641,0.019391891093437953
72,1462,0.01727662692175886
44,1385,0.016366708814388523
33,1370,0.016189452040225472
30,1204,0.014227810406154355
55,993,0.011734398449594083
60,965,0.01140351913782305
15,960,0.011344433546435367
77,905,0.010694492041170841
92,871,0.010292710019734587
09,840,0.009926379353130945
80,745,0.008803753116764946
48,719,0.008496508041548988
42,705,0.008331068385663472
38,672,0.007941103482504756
64,590,0.006972099783746736
32,578,0.006830294364416294
31,564,0.006664854708530778
85,520,0.006144901504319157
75,426,0.005034092386230694
18,410,0.004845018493790105
98,384,0.004537773418574147
24,304,0.0035924039563711993
22,299,0.0035333183649835153
35,258,0.0030488165156045046
65,257,0.0030369993973269676
37,254,0.003001548042494357
03,232,0.0027415714403885467
63,225,0.002658851612445789
16,170,0.0020089101071812626
43,168,0.001985275870626189
70,149,0.0017607506233529892
19,104,0.0012289803008638314
14,92,0.0010871748815333893
51,91,0.0010753577632558525
73,62,0.000732661333207284
41,28,0.00033087931177103153
76,1,1.181711827753684e-05
