value,missing_rate,n,dim
2015,0.30126953125,6144,publication_year
2016,0.280865081638499,6982,publication_year
2017,0.2583612040133779,7176,publication_year
2018,0.23522853957636566,7176,publication_year
2019,0.18934457646607897,7827,publication_year
2020,0.1823721127958056,7057,publication_year
2021,0.1312008674437517,7378,publication_year
2022,0.11099585062240663,7712,publication_year
2023,0.09665059943146706,8091,publication_year
2024,0.6291241552934941,7547,publication_year
2025,0.6551856594110115,7810,publication_year
2026,0.6784850926672039,3723,publication_year
EFORMS,1.0,10682,schema_family
LEGACY,0.19526379140125236,73941,schema_family
APPEL_OFFRE,0.33076579976669185,58292,notice_type_normalized
ATTRIBUTION,0.23927304964539006,22560,notice_type_normalized
OTHER,0.11694510739856802,3771,notice_type_normalized
1,0.0,23,dept_primary
10,0.0,1,dept_primary
11,0.6666666666666666,3,dept_primary
12,0.0,1,dept_primary
13,0.47368421052631576,38,dept_primary
14,0.3673469387755102,196,dept_primary
16,0.2682926829268293,82,dept_primary
17,0.33212996389891697,554,dept_primary
18,0.22448979591836735,49,dept_primary
19,0.2857142857142857,28,dept_primary
2,1.0,3,dept_primary
20A,0.0,1,dept_primary
21,0.3333333333333333,9,dept_primary
22,0.34439834024896265,482,dept_primary
23,1.0,2,dept_primary
24,0.2,5,dept_primary
26,0.6666666666666666,3,dept_primary
27,0.55,20,dept_primary
28,0.37967914438502676,187,dept_primary
29,0.36414048059149723,541,dept_primary
3,0.0,4,dept_primary
31,0.35714285714285715,28,dept_primary
33,0.22666666666666666,75,dept_primary
34,0.3333333333333333,15,dept_primary
35,0.2761989342806394,2252,dept_primary
36,0.4,40,dept_primary
37,0.40700218818380746,457,dept_primary
38,0.5454545454545454,11,dept_primary
4,0.0,2,dept_primary
40,0.14285714285714285,7,dept_primary
41,0.47058823529411764,85,dept_primary
42,0.5,2,dept_primary
43,1.0,1,dept_primary
44,0.3046691099788445,33561,dept_primary
45,0.4125,160,dept_primary
46,1.0,1,dept_primary
47,0.5,2,dept_primary
49,0.3243608819153253,14786,dept_primary
5,0.3333333333333333,3,dept_primary
50,0.48314606741573035,89,dept_primary
51,0.4,5,dept_primary
52,1.0,1,dept_primary
53,0.3136138613861386,4040,dept_primary
54,0.5,6,dept_primary
56,0.5044091710758377,567,dept_primary
57,0.07692307692307693,52,dept_primary
59,0.22580645161290322,31,dept_primary
6,0.3333333333333333,30,dept_primary
60,0.16666666666666666,12,dept_primary
61,0.3054331864904552,681,dept_primary
62,0.5,6,dept_primary
63,0.6666666666666666,3,dept_primary
64,0.5,18,dept_primary
65,0.3333333333333333,9,dept_primary
66,0.5,2,dept_primary
67,0.75,4,dept_primary
68,0.0,3,dept_primary
69,0.33766233766233766,77,dept_primary
7,0.0,1,dept_primary
70,0.0,5,dept_primary
71,1.0,1,dept_primary
72,0.22953535001307646,11471,dept_primary
75,0.24311926605504589,654,dept_primary
76,0.4418604651162791,129,dept_primary
77,0.4,95,dept_primary
78,0.3,20,dept_primary
79,0.3561643835616438,511,dept_primary
8,0.4,5,dept_primary
80,0.0,5,dept_primary
83,0.2222222222222222,9,dept_primary
85,0.27428855886501285,12053,dept_primary
86,0.2569444444444444,144,dept_primary
87,0.14285714285714285,7,dept_primary
9,1.0,1,dept_primary
91,0.26666666666666666,15,dept_primary
92,0.4146341463414634,41,dept_primary
93,0.38235294117647056,34,dept_primary
94,0.09523809523809523,42,dept_primary
95,0.2857142857142857,7,dept_primary
971,1.0,1,dept_primary
972,0.0,1,dept_primary
973,0.3333333333333333,3,dept_primary
974,0.25,4,dept_primary
976,0.0,1,dept_primary
986,0.0,1,dept_primary
987,1.0,1,dept_primary
988,0.5,4,dept_primary
99,1.0,1,dept_primary
1 (single),0.3855,2000,buyer_activity_tier
2-5,0.325440313111546,5110,buyer_activity_tier
21+,0.2863555020975739,68174,buyer_activity_tier
6-20,0.3387943034586144,9339,buyer_activity_tier
NONE,0.2687342697085329,61585,buyer_identifier_source
RAW_SIRET_FIELD,0.37199409670978384,23038,buyer_identifier_source
