code_departement,n_notices,share
44,41880,0.49490091346324283
49,20368,0.24069106507687035
85,17630,0.2083357952329745
72,16162,0.1909882656015504
53,8661,0.10234806140174657
35,5599,0.06616404523592877
56,3788,0.04476324403530955
22,2629,0.03106720395164435
29,2507,0.029625515521784856
75,1956,0.023114283350862058
79,1719,0.02031362631908583
17,1420,0.016780307954102312
61,1289,0.015232265459744987
37,1225,0.01447596988998263
86,1139,0.01345969771811446
50,1077,0.012727036384907176
16,932,0.011013554234664335
33,926,0.010942651524999113
45,817,0.009654585632747598
14,753,0.00889829006298524
41,638,0.0075393214610685036
28,612,0.007232076385852546
76,501,0.005920376257045957
27,499,0.005896742020490883
69,461,0.0054476915259444834
36,434,0.005128629332450989
78,419,0.004951372558287936
13,418,0.004939555440010399
92,382,0.004514139182019073
18,355,0.004195076988525578
59,301,0.003556952601538589
93,296,0.0034978670101509044
91,286,0.0033796958273755364
77,262,0.003096084988714652
94,234,0.0027652056769436207
31,215,0.0025406804296704204
87,194,0.002292520945842147
57,169,0.001997092988903726
38,154,0.0018198362147406734
6,143,0.0016898479136877682
71,133,0.0015716767309123998
95,126,0.0014889569029696418
34,122,0.0014416884298594946
67,110,0.0012998830105290524
42,92,0.0010871748815333893
64,89,0.0010517235267007788
24,87,0.001028089290145705
51,86,0.0010162721718681683
1,83,0.0009808208170355578
62,80,0.0009453694622029472
54,73,0.0008626496342601893
40,70,0.0008271982794275787
63,69,0.000815381161150042
19,64,0.0007562955697623578
26,62,0.000732661333207284
74,54,0.0006381243869869893
83,54,0.0006381243869869893
21,54,0.0006381243869869893
73,50,0.000590855913876842
80,50,0.000590855913876842
60,44,0.000519953204211621
47,40,0.0004726847311014736
30,33,0.0003899649031587157
68,32,0.0003781477848811789
10,29,0.00034269643004856834
2,27,0.00031906219349349467
89,26,0.00030724507521595786
974,25,0.000295427956938421
4,25,0.000295427956938421
66,24,0.0002836108386608842
971,24,0.0002836108386608842
11,22,0.0002599766021058105
84,21,0.00024815948382827364
5,21,0.00024815948382827364
82,20,0.0002363423655507368
65,20,0.0002363423655507368
88,19,0.00022452524727319996
8,19,0.00022452524727319996
15,19,0.00022452524727319996
20B,18,0.00021270812899566312
20A,18,0.00021270812899566312
32,18,0.00021270812899566312
43,17,0.00020089101071812628
23,16,0.00018907389244058944
55,15,0.0001772567741630526
3,15,0.0001772567741630526
58,15,0.0001772567741630526
7,13,0.00015362253760797893
973,13,0.00015362253760797893
25,13,0.00015362253760797893
972,12,0.0001418054193304421
12,12,0.0001418054193304421
70,10,0.0001181711827753684
52,10,0.0001181711827753684
81,10,0.0001181711827753684
90,9,0.00010635406449783156
46,9,0.00010635406449783156
48,8,9.453694622029472e-05
988,7,8.271982794275788e-05
9,6,7.090270966522104e-05
99,6,7.090270966522104e-05
39,5,5.90855913876842e-05
976,2,2.363423655507368e-05
986,1,1.181711827753684e-05
975,1,1.181711827753684e-05
987,1,1.181711827753684e-05
