value,present_rate,n,dim
2015,0.0,6144,publication_year
2016,0.0,6982,publication_year
2017,0.0,7176,publication_year
2018,0.0,7176,publication_year
2019,0.0,7827,publication_year
2020,0.0,7057,publication_year
2021,0.0,7378,publication_year
2022,0.0,7712,publication_year
2023,0.0,8091,publication_year
2024,0.5229892672585134,7547,publication_year
2025,0.6486555697823303,7810,publication_year
2026,0.6806338973945742,3723,publication_year
EFORMS,0.7259876427635275,10682,schema_family
LEGACY,0.05128413194303566,73941,schema_family
APPEL_OFFRE,0.16931997529678172,58292,notice_type_normalized
ATTRIBUTION,0.0734485815602837,22560,notice_type_normalized
OTHER,0.005303632988597189,3771,notice_type_normalized
03,0.01293103448275862,232,cpv_division
09,0.036904761904761905,840,cpv_division
14,0.0,92,cpv_division
15,0.035416666666666666,960,cpv_division
16,0.1,170,cpv_division
18,0.026829268292682926,410,cpv_division
19,0.028846153846153848,104,cpv_division
22,0.03678929765886288,299,cpv_division
24,0.049342105263157895,304,cpv_division
30,0.03239202657807309,1204,cpv_division
31,0.028368794326241134,564,cpv_division
32,0.02249134948096886,578,cpv_division
33,0.010218978102189781,1370,cpv_division
34,0.02612704918032787,1952,cpv_division
35,0.027131782945736434,258,cpv_division
37,0.06692913385826772,254,cpv_division
38,0.03571428571428571,672,cpv_division
39,0.04631322364411944,1641,cpv_division
41,0.03571428571428571,28,cpv_division
42,0.028368794326241134,705,cpv_division
43,0.02976190476190476,168,cpv_division
44,0.02527075812274368,1385,cpv_division
45,0.0902468127865352,15923,cpv_division
48,0.04172461752433936,719,cpv_division
50,0.04686318972033258,2646,cpv_division
51,0.13186813186813187,91,cpv_division
55,0.0433031218529708,993,cpv_division
60,0.02383419689119171,965,cpv_division
63,0.02666666666666667,225,cpv_division
64,0.011864406779661017,590,cpv_division
65,0.019455252918287938,257,cpv_division
66,0.024355300859598854,2094,cpv_division
70,0.04697986577181208,149,cpv_division
71,0.046016137165910236,7932,cpv_division
72,0.04582763337893297,1462,cpv_division
73,0.04838709677419355,62,cpv_division
75,0.04460093896713615,426,cpv_division
76,1.0,1,cpv_division
77,0.05966850828729282,905,cpv_division
79,0.049326145552560645,3710,cpv_division
80,0.06711409395973154,745,cpv_division
85,0.046153846153846156,520,cpv_division
90,0.03184188855339006,3643,cpv_division
92,0.05281285878300804,871,cpv_division
98,0.0625,384,cpv_division
1 (single),0.306,2000,buyer_activity_tier
2-5,0.20058708414872797,5110,buyer_activity_tier
21+,0.11733212074984599,68174,buyer_activity_tier
6-20,0.20462576292964985,9339,buyer_activity_tier
