publication_year,buyer_siret_clean,buyer_siren_clean,cpv_clean,duration_raw,objet_clean,response_deadline,code_departement_prestation,annonce_lie,titulaire
2015,0.09212239583333333,0.09212239583333333,0.69873046875,0.0,1.0,0.6569010416666666,1.0,0.3118489583333333,0.27001953125
2016,0.09524491549699227,0.09524491549699227,0.719134918361501,0.0,1.0,0.4878258378688055,0.2810083070753366,0.2987682612431968,0.24491549699226584
2017,0.09587513935340022,0.09587513935340022,0.7416387959866221,0.0,1.0,0.41555183946488294,0.0006967670011148272,0.29431438127090304,0.24400780379041248
2018,0.10618729096989966,0.10618729096989966,0.7647714604236343,0.0,1.0,0.41555183946488294,0.0002787068004459309,0.2834448160535117,0.23076923076923078
2019,0.1332566756100677,0.1332566756100677,0.8106554235339211,0.0,1.0,0.3970870065159065,0.0,0.29359908010732083,0.23610578765810655
2020,0.1567238203202494,0.1567238203202494,0.8176278872041944,0.0,0.9998582967266544,0.3507156015303953,0.0,0.37027065325209013,0.2359359501204478
2021,0.16901599349417187,0.16901599349417187,0.8687991325562483,0.0,1.0,0.3514502575223638,0.0,0.3307129303334237,0.2495256166982922
2022,0.527100622406639,0.527100622406639,0.8890041493775933,0.0,1.0,0.15482365145228216,0.0,0.3192427385892116,0.1987811203319502
2023,0.5600049437646768,0.5600049437646768,0.903349400568533,0.0,1.0,0.34309726857001605,0.0,0.3366703744901743,0.2003460635273761
2024,0.4922485755929508,0.4922485755929508,0.3708758447065059,0.5229892672585134,1.0,0.675500198754472,0.0,0.2239300384258646,0.026633099244733005
2025,0.3939820742637644,0.3939820742637644,0.34481434058898847,0.6486555697823303,1.0,0.6731113956466069,0.0,0.2618437900128041,0.20192061459667093
2026,0.42250872951920493,0.42250872951920493,0.32151490733279614,0.6806338973945742,1.0,0.6419554123019071,0.0,0.2860596293311845,0.23207091055600323
