stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
publication_year,2015,siret_or_siren_missing,name_fallback,0.9078776041666666,6144
publication_year,2016,siret_or_siren_missing,name_fallback,0.9047550845030078,6982
publication_year,2017,siret_or_siren_missing,name_fallback,0.9041248606465998,7176
publication_year,2018,siret_or_siren_missing,name_fallback,0.8938127090301003,7176
publication_year,2019,siret_or_siren_missing,name_fallback,0.8667433243899323,7827
publication_year,2020,siret_or_siren_missing,name_fallback,0.8432761796797505,7057
publication_year,2021,siret_or_siren_missing,name_fallback,0.8309840065058282,7378
publication_year,2022,siret_or_siren_missing,name_fallback,0.472899377593361,7712
publication_year,2023,siret_or_siren_missing,name_fallback,0.4399950562353232,8091
publication_year,2024,siret_or_siren_missing,name_fallback,0.5077514244070491,7547
publication_year,2025,siret_or_siren_missing,name_fallback,0.6060179257362356,7810
publication_year,2026,siret_or_siren_missing,name_fallback,0.5774912704807951,3723
publication_year,2015,siret_or_siren_missing,cpv_missing_or_generic,0.3502604166666667,6144
publication_year,2016,siret_or_siren_missing,cpv_missing_or_generic,0.33242623890002865,6982
publication_year,2017,siret_or_siren_missing,cpv_missing_or_generic,0.31549609810479373,7176
publication_year,2018,siret_or_siren_missing,cpv_missing_or_generic,0.29333890746934227,7176
publication_year,2019,siret_or_siren_missing,cpv_missing_or_generic,0.2464545802989651,7827
publication_year,2020,siret_or_siren_missing,cpv_missing_or_generic,0.23777809267394076,7057
publication_year,2021,siret_or_siren_missing,cpv_missing_or_generic,0.1888045540796964,7378
publication_year,2022,siret_or_siren_missing,cpv_missing_or_generic,0.11851659751037344,7712
publication_year,2023,siret_or_siren_missing,cpv_missing_or_generic,0.10542578173278952,8091
publication_year,2024,siret_or_siren_missing,cpv_missing_or_generic,0.17795150390883796,7547
publication_year,2025,siret_or_siren_missing,cpv_missing_or_generic,0.2856594110115237,7810
publication_year,2026,siret_or_siren_missing,cpv_missing_or_generic,0.2755842062852538,3723
publication_year,2015,siret_or_siren_missing,duration_missing,0.9078776041666666,6144
publication_year,2016,siret_or_siren_missing,duration_missing,0.9047550845030078,6982
publication_year,2017,siret_or_siren_missing,duration_missing,0.9041248606465998,7176
publication_year,2018,siret_or_siren_missing,duration_missing,0.8938127090301003,7176
publication_year,2019,siret_or_siren_missing,duration_missing,0.8667433243899323,7827
publication_year,2020,siret_or_siren_missing,duration_missing,0.8432761796797505,7057
publication_year,2021,siret_or_siren_missing,duration_missing,0.8309840065058282,7378
publication_year,2022,siret_or_siren_missing,duration_missing,0.472899377593361,7712
publication_year,2023,siret_or_siren_missing,duration_missing,0.4399950562353232,8091
publication_year,2024,siret_or_siren_missing,duration_missing,0.2681860341857692,7547
publication_year,2025,siret_or_siren_missing,duration_missing,0.2792573623559539,7810
publication_year,2026,siret_or_siren_missing,duration_missing,0.25141015310233683,3723
publication_year,2015,siret_or_siren_missing,text_weak_or_missing,0.05078125,6144
publication_year,2016,siret_or_siren_missing,text_weak_or_missing,0.0893726725866514,6982
