buyer_key,n_notices,buyer_name_normalized_mode
NAME:nantes metropole,3185,nantes metropole
NAME:conseil regional des pays de la loire,1616,conseil regional des pays de la loire
SIRET:24720013200014,1246,le mans metropole - communaute urbaine
NAME:chu de nantes,1209,chu de nantes
NAME:ville de nantes,1106,ville de nantes
SIRET:22850001300658,1005,departement de la vendee
NAME:angers loire metropole,977,angers loire metropole
SIRET:23440003400026,961,conseil regional des pays de la loire
NAME:conseil departemental loire-atlantique,923,conseil departemental loire-atlantique
NAME:ch le mans,920,ch le mans
SIRET:22720002900014,866,departement de la sarthe
NAME:departement de la sarthe,759,departement de la sarthe
NAME:universite de nantes,733,universite de nantes
NAME:commune de nantes,732,commune de nantes
NAME:ville du mans,657,ville du mans
NAME:ctre hosp universitaire angers,641,ctre hosp universitaire angers
NAME:ville d angers,636,ville d angers
SIRET:24440040400129,617,nantes metropole
NAME:departement de maine-et-loire,576,departement de maine-et-loire
NAME:universite d angers,566,universite d angers
