dataset,column,dtype,non_null_count,non_null_rate,sample_values,description
boamp_only_sources,notice_id,object,3159,1.0,15-46309 | 15-39486,
boamp_only_sources,publication_date,datetime64[ns],3159,1.0,2015-03-26 | 2015-03-16,
boamp_only_sources,start_date,datetime64[ns],3159,1.0,2015-07-29 | 2015-03-16,
boamp_only_sources,start_date_source,object,3159,1.0,LINKED_ATTRIBUTION_DATE | PUBLICATION_DATE_FALLBACK,
boamp_only_sources,buyer_key,object,3159,1.0,SIRET:22720002900014 | NAME:altantic eau,
boamp_only_sources,buyer_key_type,object,3159,1.0,RAW_SIRET | NAME_FALLBACK,
boamp_only_sources,buyer_name_raw,object,3159,1.0,Conseil Général de la Sarthe | Altantic'eau,
boamp_only_sources,buyer_name_normalized,object,3159,1.0,conseil general de la sarthe | altantic eau,
boamp_only_sources,buyer_siret_clean,object,713,0.2257,22720002900014 | 12000601000058,
boamp_only_sources,buyer_siren_clean,object,713,0.2257,227200029 | 120006010,
boamp_only_sources,buyer_identifier_source,object,3159,1.0,RAW_SIRET_FIELD | NONE,
boamp_only_sources,code_departement,object,3159,1.0,72 | 44,
boamp_only_sources,objet_clean,object,3159,1.0,travaux de création graphique pour les besoins du Conseil Gé | Maintenance du parc informatique,
boamp_only_sources,cpv_clean,object,2477,0.7841,32584000 | 48000000,
boamp_only_sources,cpv_division,object,2477,0.7841,32 | 48,
boamp_only_sources,cpv_group,object,2477,0.7841,325 | 480,
boamp_only_sources,cpv_class,object,2477,0.7841,3258 | 4800,
boamp_only_sources,cpv_category,object,2477,0.7841,32584 | 48000,
boamp_only_sources,cpv_generic_flag,bool,3159,1.0,False | True,
boamp_only_sources,declared_duration_months,float64,3159,1.0,36.0 | 6.0,
boamp_only_sources,dur_was_imputed,bool,3159,1.0,True | False,
boamp_only_sources,duration_quality_flag,object,3159,1.0,IMPUTED_MEDIAN_BY_CPV_DIVISION | OBSERVED,
boamp_only_sources,estimated_end_date,datetime64[ns],3159,1.0,2018-07-29 | 2015-09-16,
boamp_only_sources,is_digital_scope,bool,3159,1.0,True,
boamp_only_sources,category_label,object,3159,1.0,DIGITAL_ICT,
boamp_only_sources,study_end_date,datetime64[ns],3159,1.0,2026-07-13,
boamp_only_candidate_pairs,source_notice_id,object,6137,1.0,15-100455 | 15-101366,
boamp_only_candidate_pairs,candidate_notice_id,object,6137,1.0,19-156899 | 19-189603,
boamp_only_candidate_pairs,source_date,datetime64[ns],6137,1.0,2015-07-01 | 2015-07-02,
boamp_only_candidate_pairs,candidate_date,datetime64[ns],6137,1.0,2019-10-18 | 2019-12-22,
boamp_only_candidate_pairs,buyer_key,object,6137,1.0,NAME:nantes metropole | NAME:le mans metropole - communaute urbaine,
boamp_only_candidate_pairs,buyer_key_type,object,6137,1.0,NAME_FALLBACK | RAW_SIRET,
boamp_only_candidate_pairs,gap_months,float64,6137,1.0,51.57687253613666 | 53.712220762155056,
boamp_only_candidate_pairs,expected_end_date,datetime64[ns],6137,1.0,2019-12-17 | 2019-09-18,
boamp_only_candidate_pairs,abs_gap_to_expected_end,float64,6137,1.0,1.9710906701708277 | 0.164257555847569,
boamp_only_candidate_pairs,s_time,float64,6137,1.0,0.6714848883048621 | 0.9726237406920718,
boamp_only_candidate_pairs,s_text,float64,6137,1.0,0.18108383494026647 | 0.14977961195714712,
boamp_only_candidate_pairs,s_cpv,float64,6137,1.0,1.0 | 0.0,
boamp_only_candidate_pairs,s_buyer,float64,6137,1.0,0.6 | 1.0,
boamp_only_candidate_pairs,composite_score,float64,6137,1.0,0.5912505643053088 | 0.35557879935801945,
boamp_only_candidate_pairs,cpv_missing,bool,6137,1.0,False | True,
boamp_only_candidate_pairs,cpv_generic_flag,bool,6137,1.0,False | True,
boamp_only_candidate_pairs,candidate_rank,int64,6137,1.0,1 | 2,
boamp_only_candidate_pairs,n_candidates_for_source,int64,6137,1.0,22 | 3,
boamp_only_candidate_pairs,top1_top2_margin,float64,6137,1.0,0.2356717649472893 | 0.008971316951145725,
boamp_only_links_balanced,source_notice_id,object,618,1.0,15-100455 | 15-105085,
boamp_only_links_balanced,candidate_notice_id,object,618,1.0,19-156899 | 19-106429,
boamp_only_links_balanced,buyer_key_type,object,618,1.0,NAME_FALLBACK | RAW_SIRET,
boamp_only_links_balanced,buyer_key,object,618,1.0,NAME:nantes metropole | NAME:ccir pays de la loire,
boamp_only_links_balanced,source_date,datetime64[ns],618,1.0,2015-07-01 | 2015-07-07,
boamp_only_links_balanced,candidate_date,datetime64[ns],618,1.0,2019-10-18 | 2019-07-11,
boamp_only_links_balanced,gap_months,float64,618,1.0,51.57687253613666 | 48.12746386333771,
boamp_only_links_balanced,expected_end_date,datetime64[ns],618,1.0,2019-12-17 | 2019-07-07,
boamp_only_links_balanced,abs_gap_to_expected_end,float64,618,1.0,1.9710906701708277 | 0.1314060446780552,
boamp_only_links_balanced,s_time,float64,618,1.0,0.6714848883048621 | 0.9780989925536575,
boamp_only_links_balanced,s_text,float64,618,1.0,0.18108383494026647 | 0.06186143381372218,
boamp_only_links_balanced,s_cpv,float64,618,1.0,1.0 | 0.2,
boamp_only_links_balanced,s_buyer,float64,618,1.0,0.6 | 1.0,
boamp_only_links_balanced,composite_score,float64,618,1.0,0.5912505643053088 | 0.38617624997321714,
boamp_only_links_balanced,cpv_missing,bool,618,1.0,False | True,
boamp_only_links_balanced,cpv_generic_flag,bool,618,1.0,False | True,
boamp_only_links_balanced,candidate_rank,int64,618,1.0,1,
boamp_only_links_balanced,top1_top2_margin,float64,618,1.0,0.2356717649472893 | 0.38617624997321714,
boamp_only_links_balanced,n_candidates_for_source,int64,618,1.0,22 | 1,
boamp_only_links_balanced,confidence_tier,object,618,1.0,HIGH | MEDIUM,
boamp_only_links_balanced,variant,object,618,1.0,balanced,
boamp_only_links_balanced,threshold_used,float64,618,1.0,0.323022,
boamp_only_survival,notice_id,object,3159,1.0,15-46309 | 15-39486,
boamp_only_survival,buyer_key,object,3159,1.0,SIRET:22720002900014 | NAME:altantic eau,
boamp_only_survival,buyer_key_type,object,3159,1.0,RAW_SIRET | NAME_FALLBACK,
boamp_only_survival,publication_date,datetime64[ns],3159,1.0,2015-03-26 | 2015-03-16,
boamp_only_survival,start_date,datetime64[ns],3159,1.0,2015-07-29 | 2015-03-16,
boamp_only_survival,estimated_end_date,datetime64[ns],3159,1.0,2018-07-29 | 2015-09-16,
boamp_only_survival,study_end_date,datetime64[ns],3159,1.0,2026-07-13,
boamp_only_survival,cpv_division,object,2477,0.7841,32 | 48,
boamp_only_survival,cpv_category,object,2477,0.7841,32584 | 48000,
boamp_only_survival,category_label,object,3159,1.0,DIGITAL_ICT,
boamp_only_survival,is_digital_scope,bool,3159,1.0,True,
boamp_only_survival,declared_duration_months,float64,3159,1.0,36.0 | 6.0,
boamp_only_survival,dur_was_imputed,bool,3159,1.0,True | False,
boamp_only_survival,event,int64,3159,1.0,0 | 1,
boamp_only_survival,time_to_event_or_censor_months,float64,3159,1.0,135.57818659658344 | 135.90670170827858,
boamp_only_survival,linked_candidate_notice_id,object,618,0.1956,15-56571 | 15-167650,
boamp_only_survival,composite_score,float64,618,0.1956,0.4272242005997737 | 0.4024763089115339,
boamp_only_survival,confidence_tier,object,618,0.1956,MEDIUM | POTENTIAL,
boamp_only_survival,variant,object,3159,1.0,balanced,
enriched_sources,notice_id,object,3159,1.0,15-46309 | 15-39486,
enriched_sources,publication_date,datetime64[ns],3159,1.0,2015-03-26 | 2015-03-16,
enriched_sources,start_date,datetime64[ns],3159,1.0,2015-07-29 | 2015-03-16,
enriched_sources,start_date_source,object,3159,1.0,LINKED_ATTRIBUTION_DATE | PUBLICATION_DATE_FALLBACK,
enriched_sources,buyer_key,object,3159,1.0,SIRET:22720002900014 | NAME:altantic eau,
enriched_sources,buyer_key_type,object,3159,1.0,RAW_SIRET | NAME_FALLBACK,
enriched_sources,buyer_name_raw,object,3159,1.0,Conseil Général de la Sarthe | Altantic'eau,
enriched_sources,buyer_name_normalized,object,3159,1.0,conseil general de la sarthe | altantic eau,
enriched_sources,buyer_siret_clean,object,713,0.2257,22720002900014 | 12000601000058,
enriched_sources,buyer_siren_clean,object,713,0.2257,227200029 | 120006010,
enriched_sources,buyer_identifier_source,object,3159,1.0,RAW_SIRET_FIELD | NONE,
enriched_sources,code_departement,object,3159,1.0,72 | 44,
enriched_sources,objet_clean,object,3159,1.0,travaux de création graphique pour les besoins du Conseil Gé | Maintenance du parc informatique,
enriched_sources,cpv_clean,object,2477,0.7841,32584000 | 48000000,
enriched_sources,cpv_division,object,2477,0.7841,32 | 48,
enriched_sources,cpv_group,object,2477,0.7841,325 | 480,
enriched_sources,cpv_class,object,2477,0.7841,3258 | 4800,
enriched_sources,cpv_category,object,2477,0.7841,32584 | 48000,
enriched_sources,cpv_generic_flag,bool,3159,1.0,False | True,
enriched_sources,declared_duration_months,float64,3159,1.0,36.0 | 6.0,
enriched_sources,dur_was_imputed,bool,3159,1.0,True | False,
enriched_sources,duration_quality_flag,object,3159,1.0,IMPUTED_MEDIAN_BY_CPV_DIVISION | OBSERVED,
enriched_sources,estimated_end_date,datetime64[ns],3159,1.0,2018-07-29 | 2015-09-16,
enriched_sources,is_digital_scope,bool,3159,1.0,True,
enriched_sources,category_label,object,3159,1.0,DIGITAL_ICT,
enriched_sources,study_end_date,datetime64[ns],3159,1.0,2026-07-13,
enriched_sources,buyer_key_m0,object,3159,1.0,SIRET:22720002900014 | NAME:altantic eau,
enriched_sources,buyer_siret_boamp_raw,object,713,0.2257,22720002900014 | 12000601000058,
enriched_sources,buyer_siren_from_boamp_siret,object,713,0.2257,227200029 | 120006010,
enriched_sources,buyer_siren_boamp_effective,object,713,0.2257,227200029 | 120006010,
enriched_sources,buyer_siren_enriched,object,458,0.145,200069474 | 314684960,
enriched_sources,buyer_siren_enriched_valid,object,458,0.145,True,
enriched_sources,buyer_legal_name_enriched_display,object,458,0.145,COMMUNE DE OMBREE D'ANJOU | STE D'ECONOMIE MIXTE DES TRANSPORTS EN COMMUN DE L'AGGLOMERA,
enriched_sources,buyer_identity_source_direct,object,3159,1.0,DIRECT_BOAMP_SIRET | NAME_FALLBACK,
enriched_sources,buyer_identity_confidence_direct,object,3159,1.0,HIGH | LOW,
enriched_sources,buyer_identity_conflict,bool,3159,1.0,False | True,
enriched_sources,buyer_siren_agrees_with_boamp_siret,bool,3159,1.0,False | True,
enriched_sources,enrichment_join_status,object,3159,1.0,NOT_IN_ENRICHMENT | JOINED,
enriched_sources,department_key,object,3159,1.0,72 | 44,
