buyer_key,n_sources,rank,cumulative_source_share
NAME:nantes metropole,182,1,0.05384615384615385
SIRET:23440003400026,85,2,0.07899408284023669
NAME:chu de nantes,70,3,0.09970414201183432
NAME:conseil regional des pays de la loire,70,4,0.12041420118343195
NAME:angers loire metropole,61,5,0.13846153846153847
SIRET:24440040400129,53,6,0.15414201183431953
NAME:universite de nantes,53,7,0.16982248520710058
NAME:departement de la sarthe,52,8,0.18520710059171597
NAME:ch le mans,44,9,0.19822485207100593
NAME:conseil departemental loire-atlantique,42,10,0.2106508875739645
SIRET:22850001300658,39,11,0.22218934911242605
NAME:gie sesam vitale,37,12,0.2331360946745562
NAME:conseil departemental de la mayenne,37,13,0.2440828402366864
NAME:ville de nantes,36,14,0.2547337278106509
SIRET:24720013200014,30,15,0.2636094674556213
NAME:semitan,30,16,0.2724852071005917
NAME:universite d angers,29,17,0.28106508875739644
NAME:departement de la vendee,28,18,0.2893491124260355
SIRET:17440005100010,28,19,0.29763313609467457
NAME:gpm de nantes - st nazaire,28,20,0.30591715976331363
NAME:sdis 44,27,21,0.31390532544378696
SIRET:22440002800011,27,22,0.32189349112426036
NAME:commune de saint-nazaire,24,23,0.3289940828402367
NAME:commune de nantes,24,24,0.336094674556213
SIRET:19490970100303,24,25,0.3431952662721893
SIRET:22720002900014,24,26,0.3502958579881657
NAME:ctre hosp universitaire angers,23,27,0.35710059171597636
NAME:commune de saint-herblain,22,28,0.3636094674556213
NAME:departement de maine-et-loire,21,29,0.3698224852071006
SIRET:22530001100015,21,30,0.3760355029585799
NAME:ville d orvault,20,31,0.3819526627218935
NAME:conseil departemental loire atlantique,20,32,0.3878698224852071
NAME:cnieg,19,33,0.39349112426035504
SIRET:21440184600016,19,34,0.39911242603550295
NAME:departement de la mayenne,18,35,0.4044378698224852
NAME:ville d angers,17,36,0.40946745562130177
NAME:sdis 85,17,37,0.41449704142011834
NAME:ville de bouguenais,17,38,0.4195266272189349
NAME:conseil general de loire-atlantique,16,39,0.4242603550295858
NAME:vendee eau,16,40,0.4289940828402367
NAME:ville de saint nazaire,15,41,0.4334319526627219
NAME:le mans metropole - communaute urbaine,15,42,0.4378698224852071
SIRET:24490001500011,15,43,0.4423076923076923
NAME:sdis49,14,44,0.44644970414201185
NAME:ecole centrale de nantes,14,45,0.45059171597633135
SIRET:39172288100052,14,46,0.4547337278106509
NAME:ville du mans,13,47,0.45857988165680474
NAME:gie des epl de vendee,13,48,0.4624260355029586
SIRET:21440109300015,13,49,0.4662721893491124
NAME:rectorat de l academie de nantes,13,50,0.4701183431952663
NAME:la roche-sur-yon agglomeration,13,51,0.47396449704142013
NAME:communaute d agglomeration du niortais,13,52,0.47781065088757396
NAME:chd vendee,12,53,0.4813609467455621
NAME:le mans metropole,12,54,0.4849112426035503
NAME:ccir pays de la loire,12,55,0.48846153846153845
NAME:cap atlantique,12,56,0.4920118343195266
NAME:ministere des affaires etrangeres,12,57,0.49556213017751477
SIRET:22490001900015,12,58,0.49911242603550293
NAME:sdis de la sarthe,11,59,0.5023668639053255
NAME:arafer,11,60,0.505621301775148
NAME:cte de cnes du pays d ancenis,11,61,0.5088757396449705
NAME:ademe,10,62,0.5118343195266272
SIRET:21440143200015,10,63,0.514792899408284
SIRET:24440064400013,10,64,0.5177514792899408
