cpv_division,n_sources,cpv_present_rate,generic_rate,link_count,link_rate
72.0,1076,1.0,0.10594795539033457,430,0.3996282527881041
48.0,514,1.0,0.3443579766536965,168,0.32684824902723736
,471,0.0,0.0,115,0.24416135881104034
32.0,437,1.0,0.02745995423340961,98,0.2242562929061785
30.0,234,1.0,0.05128205128205128,54,0.23076923076923078
35.0,187,1.0,0.016042780748663103,46,0.24598930481283424
45.0,89,1.0,0.07865168539325842,11,0.12359550561797752
79.0,75,1.0,0.0,20,0.26666666666666666
71.0,64,1.0,0.109375,14,0.21875
50.0,63,1.0,0.015873015873015872,10,0.15873015873015872
42.0,21,1.0,0.047619047619047616,4,0.19047619047619047
80.0,20,1.0,0.0,1,0.05
92.0,16,1.0,0.0,5,0.3125
38.0,15,1.0,0.0,2,0.13333333333333333
33.0,13,1.0,0.0,7,0.5384615384615384
64.0,12,1.0,0.0,4,0.3333333333333333
39.0,12,1.0,0.0,4,0.3333333333333333
90.0,8,1.0,0.0,2,0.25
75.0,8,1.0,0.0,1,0.125
85.0,7,1.0,0.0,0,0.0
31.0,6,1.0,0.0,1,0.16666666666666666
66.0,6,1.0,0.0,0,0.0
44.0,6,1.0,0.0,2,0.3333333333333333
34.0,5,1.0,0.0,1,0.2
22.0,5,1.0,0.0,1,0.2
98.0,3,1.0,0.0,1,0.3333333333333333
9.0,1,1.0,0.0,0,0.0
43.0,1,1.0,0.0,1,1.0
16.0,1,1.0,1.0,0,0.0
55.0,1,1.0,0.0,0,0.0
51.0,1,1.0,0.0,0,0.0
65.0,1,1.0,0.0,0,0.0
77.0,1,1.0,0.0,0,0.0
