m0_m1_status,m1_buyer_match_mechanism,profile_evidence_status,n_sources
accepted_by_both_different_candidates,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,5
accepted_by_both_different_candidates,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,19
accepted_by_both_different_candidates,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,4
accepted_by_both_different_candidates,SAME_SIREN_RECONCILIATION,NO_PROFILE_EVIDENCE,10
accepted_by_both_different_candidates,SAME_SIREN_RECONCILIATION,STRONG_SUPPORT,5
accepted_only_under_m0,,,1
accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,AMBIGUOUS,1
accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,49
accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,NO_PROFILE_EVIDENCE,34
accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,49
accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,37
accepted_only_under_m1,SAME_SIREN_RECONCILIATION,AMBIGUOUS,1
accepted_only_under_m1,SAME_SIREN_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,5
accepted_only_under_m1,SAME_SIREN_RECONCILIATION,NO_PROFILE_EVIDENCE,32
accepted_only_under_m1,SAME_SIREN_RECONCILIATION,STRONG_SUPPORT,13
accepted_only_under_m1,SAME_SIREN_RECONCILIATION,WEAK_SUPPORT,9
same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,AMBIGUOUS,1
same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,30
same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,NO_PROFILE_EVIDENCE,31
same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,STRONG_SUPPORT,38
same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,WEAK_SUPPORT,20
same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,102
same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NO_PROFILE_EVIDENCE,1
same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,49
same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,33
same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NEUTRAL_SHARED_PLATFORM,78
same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NO_PROFILE_EVIDENCE,11
same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,153
same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,WEAK_SUPPORT,12
same_accepted_candidate_under_m0_and_m1,SAME_SIREN_RECONCILIATION,NO_PROFILE_EVIDENCE,11
same_accepted_candidate_under_m0_and_m1,SAME_SIREN_RECONCILIATION,STRONG_SUPPORT,2
same_accepted_candidate_under_m0_and_m1,SAME_SIREN_RECONCILIATION,WEAK_SUPPORT,2
