sweep,severity,n_recovered,n_total,R
combined,0,502,502,1.0
combined,1,473,502,0.9422310756972112
combined,2,287,502,0.5717131474103586
combined,3,246,502,0.4900398406374502
cpv_only,0,502,502,1.0
cpv_only,1,500,502,0.9960159362549801
cpv_only,2,485,502,0.9661354581673307
cpv_only,3,385,502,0.7669322709163346
duration_only,0,502,502,1.0
duration_only,1,492,502,0.9800796812749004
duration_only,2,383,502,0.7629482071713147
duration_only,3,497,502,0.9900398406374502
text_only,0,502,502,1.0
text_only,1,486,502,0.9681274900398407
text_only,2,440,502,0.8764940239043825
text_only,3,424,502,0.8446215139442231
