layer,class,dimension,alpha,beta,weighted_mean,weighted_var,gap_m_minus_u,gap_rank
boamp_only,mixing_weight,p_hat,,,0.26207369637891464,,,
boamp_only,M,s_buyer,1.6896923171801883,0.12547087777068186,0.9308762550278142,0.02285681091903055,0.330885461435381,1.0
boamp_only,U,s_buyer,105.42332813202889,70.28491482418174,0.5999907935924332,0.0013581813569173982,0.330885461435381,1.0
boamp_only,M,s_cpv,0.07460783777316472,0.2293189028665068,0.2454796758460225,0.1420474009925516,0.16202975858551372,2.0
boamp_only,U,s_cpv,0.3771066445197299,4.141851035719805,0.0834499172605088,0.013858781494842588,0.16202975858551372,2.0
boamp_only,M,s_text,0.10562481527163409,0.6658269935294248,0.13691693255057555,0.06670838322804622,0.06788947314898912,3.0
boamp_only,U,s_text,0.37234524437578914,5.021815972098472,0.06902745940158643,0.010050210977567937,0.06788947314898912,3.0
boamp_only,M,s_time,1.008370882342278,0.9813645947047872,0.5067864014963361,0.08360403342492621,0.004308039253527074,4.0
boamp_only,U,s_time,1.0220946591558895,1.0120121521180852,0.5024783622428091,0.08239454747989734,0.004308039253527074,4.0
enriched,mixing_weight,p_hat,,,0.7318554167202062,,,
enriched,M,s_buyer,5.090331661080629,1.325276352635803,0.7934293445294054,0.022101926027627665,0.13331343583670563,1.0
enriched,U,s_buyer,26.646340598091612,13.719813659366437,0.6601159086926998,0.005423827759938788,0.13331343583670563,1.0
enriched,M,s_text,0.16234876249325364,1.6888430781477477,0.08769958841058748,0.028061377513346714,0.02273908406338096,2.0
enriched,U,s_text,0.45126971244454817,6.4955623200249475,0.06496050434720652,0.007643377508670934,0.02273908406338096,2.0
enriched,M,s_cpv,0.06304863667699456,0.46999073185821383,0.11828138857783084,0.068028847682874,-0.012282459032944684,3.0
enriched,U,s_cpv,5.749911515274189,38.289166839825114,0.13056384761077552,0.0025204096854036396,-0.012282459032944684,3.0
enriched,M,s_time,1.0475399632503388,1.014018607677395,0.5081301002177829,0.08163616526686673,0.009397044328026127,4.0
enriched,U,s_time,1.0110818148690564,1.0162187679352093,0.4987330558897568,0.08258129247973177,0.009397044328026127,4.0
