layer,percentile,threshold_value,n_linked,event_rate,variant_label
boamp_only,10,0.19492115194441315,1804,0.5337278106508876,
boamp_only,15,0.23178316434908763,1704,0.5041420118343195,
boamp_only,20,0.25685908610356173,1604,0.47455621301775147,
boamp_only,25,0.2783867315912489,1504,0.44497041420118344,broad
boamp_only,30,0.2934040327853753,1403,0.4150887573964497,
boamp_only,35,0.30771396323165395,1303,0.38550295857988165,
boamp_only,40,0.3185399523936214,1203,0.3559171597633136,
boamp_only,45,0.3313034045276356,1103,0.3263313609467456,
boamp_only,50,0.3431669423310381,1003,0.2967455621301775,balanced
boamp_only,55,0.356876423742569,902,0.2668639053254438,
boamp_only,60,0.372478926673108,802,0.23727810650887574,
boamp_only,65,0.39260771083094015,702,0.2076923076923077,
boamp_only,70,0.4147253177853745,602,0.17810650887573964,
boamp_only,75,0.4420695689351425,502,0.14852071005917158,strict
boamp_only,80,0.4763278386438922,401,0.11863905325443787,
boamp_only,85,0.5493406585843928,301,0.08905325443786982,
boamp_only,90,0.6385730980611352,201,0.059467455621301776,
enriched,10,0.21571514164783007,1948,0.5763313609467455,
enriched,15,0.2498566464655114,1840,0.5443786982248521,
enriched,20,0.2771371003066141,1732,0.5124260355029586,
enriched,25,0.2951422252858199,1624,0.4804733727810651,broad
enriched,30,0.3099183461374937,1515,0.44822485207100593,
enriched,35,0.32163732038509696,1407,0.4162721893491124,
enriched,40,0.3329693204564957,1299,0.3843195266272189,
enriched,45,0.34296110823854314,1191,0.35236686390532546,
enriched,50,0.35660522999183,1083,0.32041420118343195,balanced
enriched,55,0.3683581915009522,974,0.28816568047337277,
enriched,60,0.3844823414357336,866,0.2562130177514793,
enriched,65,0.4042292621822692,758,0.2242603550295858,
enriched,70,0.4268941358928526,650,0.19230769230769232,
enriched,75,0.4554896732712633,542,0.1603550295857988,strict
enriched,80,0.49062052396304145,433,0.12810650887573966,
enriched,85,0.5615898129243413,325,0.09615384615384616,
enriched,90,0.6410341598716633,217,0.06420118343195266,
