source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source_x,candidate_buyer_identity_source_x,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1_x,candidate_buyer_siren_m1_x,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,source_publication_date,source_start_date,source_start_date_source,source_buyer_key,source_buyer_key_type,source_buyer_name_normalized,source_buyer_siret_clean,source_buyer_siren_clean,source_objet_clean,source_cpv_clean,source_cpv_division,source_cpv_group,source_cpv_class,source_cpv_category,source_cpv_generic_flag,source_declared_duration_months,source_dur_was_imputed,source_estimated_end_date,source_is_digital_scope,source_category_label,source_study_end_date,source_buyer_name_raw,source_code_departement,source_url_avis,source_buyer_key_m0,source_buyer_siret_boamp_raw,source_buyer_siren_from_boamp_siret,source_buyer_siren_boamp_effective,source_buyer_siren_enriched,source_buyer_siren_enriched_valid,source_buyer_legal_name_enriched_display,source_buyer_identity_source_direct,source_buyer_identity_confidence_direct,source_buyer_identity_conflict,source_buyer_siren_agrees_with_boamp_siret,source_enrichment_join_status,source_department_key,source_alias_name_normalized,source_buyer_siren_alias,source_buyer_alias_support_notice_count,source_buyer_siren_m1_y,source_buyer_identity_source_y,source_buyer_identity_confidence,source_buyer_key_m1_primary,candidate_publication_date,candidate_start_date,candidate_start_date_source,candidate_buyer_key,candidate_buyer_key_type,candidate_buyer_name_normalized,candidate_buyer_siret_clean,candidate_buyer_siren_clean,candidate_objet_clean,candidate_cpv_clean,candidate_cpv_division,candidate_cpv_group,candidate_cpv_class,candidate_cpv_category,candidate_cpv_generic_flag,candidate_declared_duration_months,candidate_dur_was_imputed,candidate_estimated_end_date,candidate_is_digital_scope,candidate_category_label,candidate_study_end_date,candidate_buyer_name_raw,candidate_code_departement,candidate_url_avis,candidate_buyer_key_m0,candidate_buyer_siret_boamp_raw,candidate_buyer_siren_from_boamp_siret,candidate_buyer_siren_boamp_effective,candidate_buyer_siren_enriched,candidate_buyer_siren_enriched_valid,candidate_buyer_legal_name_enriched_display,candidate_buyer_identity_source_direct,candidate_buyer_identity_confidence_direct,candidate_buyer_identity_conflict,candidate_buyer_siren_agrees_with_boamp_siret,candidate_enrichment_join_status,candidate_department_key,candidate_alias_name_normalized,candidate_buyer_siren_alias,candidate_buyer_alias_support_notice_count,candidate_buyer_siren_m1_y,candidate_buyer_identity_source_y,candidate_buyer_identity_confidence,candidate_buyer_key_m1_primary,profile_evidence_status,profile_evidence_reason,source_profile_domains,candidate_profile_domains,shared_profile_domains,source_domain_specificity,candidate_domain_specificity,source_profile_support_count,candidate_profile_support_count,profile_conflict_flag,example_type
15-173700,19-102776,2015-11-17,2019-07-05,NAME:ville de reze,SIRET:21440143200015,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,21440143200015,214401432,214401432,False,43.56110381077529,2019-11-17,4.434954007884363,0.2608409986859396,0.03572961000058934,0.2,0.75,0.2127156131716912,0.3230216936565233,False,False,1,1,0.2127156131716912,2015-11-17,2015-11-17,PUBLICATION_DATE_FALLBACK,NAME:ville de reze,NAME_FALLBACK,ville de reze,,,Achat d'une solution informatisée de planification des activités et de contrôle d'accès des équipements sportifs à Rezé,48421000,48,484,4842,48421,False,48.0,True,2019-11-17,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:15-173700,NAME:ville de reze,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,ville de reze,214401432,2.0,214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214401432,2019-07-05,2019-11-14,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Solution de virtualisation 2019,48822000,48,488,4882,48822,False,48.0,True,2023-11-14,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:19-102776,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,boamp.fr;mairie-reze.marcoweb.fr,agysoft.marches-publics.info;marches-publics.info,,BUYER_SPECIFIC;GENERIC_PLATFORM,GENERIC_PLATFORM,2,3,False,candidate_pair
15-76852,19-102776,2015-05-20,2019-07-05,NAME:ville de reze,SIRET:21440143200015,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,21440143200015,214401432,214401432,False,49.50722733245729,2019-05-20,1.5111695137976346,0.7481384143670609,0.00866035906312231,0.2,0.75,0.325065729263858,0.3230216936565233,False,False,1,2,0.0656564015840787,2015-05-20,2015-05-20,PUBLICATION_DATE_FALLBACK,NAME:ville de reze,NAME_FALLBACK,ville de reze,,,fourniture d'une plate-forme de sécurité 2015 au profit de la Ville à Rezé,48730000,48,487,4873,48730,False,48.0,True,2019-05-20,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:15-76852,NAME:ville de reze,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,ville de reze,214401432,2.0,214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214401432,2019-07-05,2019-11-14,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Solution de virtualisation 2019,48822000,48,488,4882,48822,False,48.0,True,2023-11-14,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:19-102776,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,boamp.fr;mairie-reze.marcoweb.fr,agysoft.marches-publics.info;marches-publics.info,,BUYER_SPECIFIC;GENERIC_PLATFORM,GENERIC_PLATFORM,2,3,False,candidate_pair
15-76852,19-51941,2015-05-20,2019-04-01,NAME:ville de reze,SIRET:21440143200015,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,21440143200015,214401432,214401432,False,46.386333771353485,2019-05-20,1.609724047306176,0.731712658782304,0.004231894240580992,0.0,0.75,0.2594093276797793,0.3230216936565233,False,False,2,2,0.0656564015840787,2015-05-20,2015-05-20,PUBLICATION_DATE_FALLBACK,NAME:ville de reze,NAME_FALLBACK,ville de reze,,,fourniture d'une plate-forme de sécurité 2015 au profit de la Ville à Rezé,48730000,48,487,4873,48730,False,48.0,True,2019-05-20,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:15-76852,NAME:ville de reze,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,ville de reze,214401432,2.0,214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214401432,2019-04-01,2019-07-05,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,"Achat, location et maintenance de presses numérique feuille à feuille 2019-2023",42962200,42,429,4296,42962,False,8.0,True,2020-03-05,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:19-51941,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,boamp.fr;mairie-reze.marcoweb.fr,agysoft.marches-publics.info;marches-publics.info,,BUYER_SPECIFIC;GENERIC_PLATFORM,GENERIC_PLATFORM,2,3,False,candidate_pair
16-153677,20-96647,2016-10-20,2020-07-31,NAME:ville de reze,SIRET:21440143200015,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,21440143200015,214401432,214401432,False,45.33508541392904,2020-10-20,2.6609724047306176,0.5565045992115638,0.0,0.0,0.75,0.21412614980289096,0.3230216936565233,False,False,1,1,0.21412614980289096,2016-10-20,2016-10-20,PUBLICATION_DATE_FALLBACK,NAME:ville de reze,NAME_FALLBACK,ville de reze,,,Service d'interconnexion réseaux 2017-2019,72315200,72,723,7231,72315,False,48.0,True,2020-10-20,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:16-153677,NAME:ville de reze,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,ville de reze,214401432,2.0,214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214401432,2020-07-31,2020-11-06,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Exploitation des horodateurs installés sur la commune de Rezé 2020-2024,48620000,48,486,4862,48620,False,48.0,True,2024-11-06,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:20-96647,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,boamp.fr;mairie-reze.marcoweb.fr,agysoft.marches-publics.info;marches-publics.info,,BUYER_SPECIFIC;GENERIC_PLATFORM,GENERIC_PLATFORM,2,3,False,candidate_pair
16-17002,20-96647,2016-02-04,2020-07-31,NAME:ville de reze,SIRET:21440143200015,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,21440143200015,214401432,214401432,False,53.843626806833115,2020-02-04,5.847568988173456,0.025405168637757325,0.07398301264964666,0.2,0.75,0.16724534658681567,0.3230216936565233,False,False,1,1,0.16724534658681567,2016-02-04,2016-02-04,PUBLICATION_DATE_FALLBACK,NAME:ville de reze,NAME_FALLBACK,ville de reze,,,achat d'une solution informatisée de planification des activités et de contrôle d'accès des équipements sportifs pour le compte de la ville à Rezé,48421000,48,484,4842,48421,False,48.0,True,2020-02-04,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:16-17002,NAME:ville de reze,,,,,,,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT,44,ville de reze,214401432,2.0,214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,SIREN:214401432,2020-07-31,2020-11-06,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Exploitation des horodateurs installés sur la commune de Rezé 2020-2024,48620000,48,486,4862,48620,False,48.0,True,2024-11-06,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:20-96647,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,boamp.fr;mairie-reze.marcoweb.fr,agysoft.marches-publics.info;marches-publics.info,,BUYER_SPECIFIC;GENERIC_PLATFORM,GENERIC_PLATFORM,2,3,False,candidate_pair
19-102776,24-36186,2019-07-05,2024-03-28,SIRET:21440143200015,SIRET:21440143200015,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,21440143200015,21440143200015,214401432,214401432,False,56.76741130091984,2023-11-14,4.434954007884363,0.2608409986859396,0.0030458731724859597,0.1,1.0,0.19627630528185497,0.3230216936565233,True,False,2,3,0.11829905888832443,2019-07-05,2019-11-14,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Solution de virtualisation 2019,48822000,48,488,4882,48822,False,48.0,True,2023-11-14,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:19-102776,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,2024-03-28,2024-03-28,PUBLICATION_DATE_FALLBACK,SIRET:21440143200015,RAW_SIRET,ville de reze,21440143200015,214401432,Approvisionnement d'une application numérique de paiement du stationnement sur voirie par téléphone mobile et internet et gestion des données associées,,,,,,False,6.0,True,2024-09-28,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:24-36186,SIRET:21440143200015,21440143200015,214401432,214401432,214401432,True,COMMUNE DE REZE,BOAMP_SIRET_CORROBORATED_BY_ENRICHED_SIREN,HIGH,False,True,JOINED,44,ville de reze,214401432,2.0,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,agysoft.marches-publics.info;marches-publics.info,boamp.fr;mairie-reze.marcoweb.fr,,GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,3,2,False,candidate_pair
19-102776,24-37419,2019-07-05,2024-03-30,SIRET:21440143200015,SIRET:21440143200015,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,21440143200015,21440143200015,214401432,214401432,False,56.83311432325887,2023-11-14,4.50065703022339,0.24989049496276827,0.0030458731724859597,0.1,1.0,0.19353867935106217,0.3230216936565233,True,False,3,3,0.11829905888832443,2019-07-05,2019-11-14,LINKED_ATTRIBUTION_DATE,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Solution de virtualisation 2019,48822000,48,488,4882,48822,False,48.0,True,2023-11-14,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:19-102776,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,2024-03-30,2024-03-30,PUBLICATION_DATE_FALLBACK,SIRET:21440143200015,RAW_SIRET,ville de reze,21440143200015,214401432,Approvisionnement d'une application numérique de paiement du stationnement sur voirie par téléphone mobile et internet et gestion des données associées,,,,,,False,6.0,True,2024-09-30,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:24-37419,SIRET:21440143200015,21440143200015,214401432,214401432,214401432,True,COMMUNE DE REZE,BOAMP_SIRET_CORROBORATED_BY_ENRICHED_SIREN,HIGH,False,True,JOINED,44,ville de reze,214401432,2.0,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,agysoft.marches-publics.info;marches-publics.info,boamp.fr;mairie-reze.marcoweb.fr,,GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,3,2,False,candidate_pair
22-135583,24-36186,2022-10-10,2024-03-28,SIRET:21440143200015,SIRET:21440143200015,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,21440143200015,21440143200015,214401432,214401432,False,17.57555847568988,2023-10-10,5.5847568988173455,0.06920718353044242,0.015308847093093674,0.1,1.0,0.1526598923651934,0.3230216936565233,True,False,2,3,0.03767463948847449,2022-10-10,2022-10-10,PUBLICATION_DATE_FALLBACK,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Evolution et maintenance des câblages électriques et informatiques,45310000,45,453,4531,45310,False,12.0,True,2023-10-10,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:22-135583,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,2024-03-28,2024-03-28,PUBLICATION_DATE_FALLBACK,SIRET:21440143200015,RAW_SIRET,ville de reze,21440143200015,214401432,Approvisionnement d'une application numérique de paiement du stationnement sur voirie par téléphone mobile et internet et gestion des données associées,,,,,,False,6.0,True,2024-09-28,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:24-36186,SIRET:21440143200015,21440143200015,214401432,214401432,214401432,True,COMMUNE DE REZE,BOAMP_SIRET_CORROBORATED_BY_ENRICHED_SIREN,HIGH,False,True,JOINED,44,ville de reze,214401432,2.0,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,agysoft.marches-publics.info;marches-publics.info,boamp.fr;mairie-reze.marcoweb.fr,,GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,3,2,False,candidate_pair
22-135583,24-37419,2022-10-10,2024-03-30,SIRET:21440143200015,SIRET:21440143200015,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,21440143200015,21440143200015,214401432,214401432,False,17.64126149802891,2023-10-10,5.650459921156373,0.05825667980727112,0.015308847093093674,0.1,1.0,0.14992226643440057,0.3230216936565233,True,False,3,3,0.03767463948847449,2022-10-10,2022-10-10,PUBLICATION_DATE_FALLBACK,SIRET:21440143200015,RAW_SIRET,commune de reze,21440143200015,214401432,Evolution et maintenance des câblages électriques et informatiques,45310000,45,453,4531,45310,False,12.0,True,2023-10-10,True,DIGITAL_ICT,2026-07-13,COMMUNE DE REZE,44,https://www.boamp.fr/pages/avis/?q=idweb:22-135583,SIRET:21440143200015,21440143200015,214401432,214401432,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,2024-03-30,2024-03-30,PUBLICATION_DATE_FALLBACK,SIRET:21440143200015,RAW_SIRET,ville de reze,21440143200015,214401432,Approvisionnement d'une application numérique de paiement du stationnement sur voirie par téléphone mobile et internet et gestion des données associées,,,,,,False,6.0,True,2024-09-30,True,DIGITAL_ICT,2026-07-13,Ville de Rezé,44,https://www.boamp.fr/pages/avis/?q=idweb:24-37419,SIRET:21440143200015,21440143200015,214401432,214401432,214401432,True,COMMUNE DE REZE,BOAMP_SIRET_CORROBORATED_BY_ENRICHED_SIREN,HIGH,False,True,JOINED,44,ville de reze,214401432,2.0,214401432,DIRECT_BOAMP_SIRET,HIGH,SIRET:21440143200015,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,agysoft.marches-publics.info;marches-publics.info,boamp.fr;mairie-reze.marcoweb.fr,,GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,3,2,False,candidate_pair
22-18098,25-142895,2022-02-03,2025-12-31,SIRET:24440040400020,NAME:semitan mandataire de nantes metropole,RAW_SIRET,NAME_FALLBACK,SAME_SIREN_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_ENRICHMENT_NOTICE_JOIN,24440040400020,,244400404,244400404,False,46.87910643889619,2026-02-03,1.1169513797634691,0.8138414367060884,0.020304751680727463,0.1,0.9,0.33056702226477674,0.3230216936565233,True,True,7,13,0.004246227336155539,2022-02-03,2022-02-03,PUBLICATION_DATE_FALLBACK,SIRET:24440040400020,RAW_SIRET,nantes metropole,24440040400020,244400404,Mise à disposition d'une plateforme dédiée au bénévolat pour les besoins de la ville de nantes,48000000,48,480,4800,48000,True,48.0,True,2026-02-03,True,DIGITAL_ICT,2026-07-13,Nantes Métropole,44,https://www.boamp.fr/pages/avis/?q=idweb:22-18098,SIRET:24440040400020,24440040400020,244400404,244400404,,,,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT,44,,,,244400404,DIRECT_BOAMP_SIRET,HIGH,SIRET:24440040400020,2025-12-31,2026-03-20,LINKED_ATTRIBUTION_DATE,NAME:semitan mandataire de nantes metropole,NAME_FALLBACK,semitan mandataire de nantes metropole,,,"Accord-cadre pour études, évolutions logicielles, fourniture et installation des équipements embarqués permettant l'insertion et l'extraction des bus sur les plateformes bus et mixtes",,,,,,False,4.0,False,2026-07-20,True,DIGITAL_ICT,2026-07-13,"SEMITAN, mandataire de Nantes Métropole",44,https://www.boamp.fr/pages/avis/?q=idweb:25-142895,NAME:semitan mandataire de nantes metropole,,,,244400404,True,METROPOLE NANTES METROPOLE,DIRECT_ENRICHMENT_NOTICE_JOIN,MEDIUM_HIGH,False,False,JOINED,44,,,,244400404,DIRECT_ENRICHMENT_NOTICE_JOIN,MEDIUM_HIGH,SIREN:244400404,AMBIGUOUS,profile evidence is partial or mixed without a clear support/conflict signal,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchespublics.semitan.fr;semitan.tan.fr,,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,SHARED_INSTITUTIONAL,9,4,False,candidate_pair
