variant,scenario,world,n_scoped,n_pairs,n_truth_in_scope,n_reachable,blocking_recall,cand_median,cand_q90,cand_q99,cap_rate,seconds
dur_w6,central_provisional,001,3107,8380,1262,439,0.3478605388272583,3.0,11.0,26.0,0.0016722408026755853,0.43848276138305664
dur_w6,central_provisional,002,3678,13496,1557,553,0.3551701991008349,3.0,15.0,26.0,0.0026166593981683385,0.5390903949737549
dur_w6,central_provisional,003,3732,17594,1537,544,0.35393623942745606,3.0,24.0,30.0,0.05263157894736842,0.6113049983978271
dur_w6,central_provisional,004,3189,9480,1316,452,0.3434650455927052,3.0,13.0,24.0,0.0,0.4745969772338867
dur_w6,central_provisional,005,3524,9249,1500,508,0.33866666666666667,2.0,10.0,30.0,0.01353874883286648,0.48873448371887207
dur_w6,central_provisional,006,3260,6925,1352,471,0.34837278106508873,2.0,8.0,30.0,0.016129032258064516,0.4265100955963135
dur_w6,central_provisional,007,3487,20298,1469,518,0.3526208304969367,4.0,30.0,30.0,0.12173167595370767,0.5752353668212891
dur_w6,central_provisional,008,3994,28181,1712,518,0.30257009345794394,4.0,30.0,30.0,0.281104199066874,0.7721548080444336
dur_w6,central_provisional,009,3693,11623,1552,507,0.32667525773195877,2.0,13.0,30.0,0.035079513564078575,0.5264408588409424
dur_w6,central_provisional,010,4105,20699,1755,623,0.35498575498575496,4.0,21.0,30.0,0.010374212671359764,0.70017409324646
dur_w6,easier,007,4684,34065,2524,962,0.38114104595879555,6.0,30.0,30.0,0.1313696612665685,0.8974912166595459
dur_w6,easier,008,5628,44804,3204,1106,0.34519350811485644,5.0,30.0,30.0,0.25911232333250683,1.3728508949279785
dur_w6,easier,009,5130,25201,2895,1143,0.39481865284974094,3.0,24.0,30.0,0.08879310344827586,1.0706465244293213
dur_w6,easier,010,5570,41659,3084,1264,0.4098573281452659,6.0,28.0,30.0,0.08448275862068966,1.0643064975738525
dur_w6,difficult,007,2466,18132,668,191,0.28592814371257486,6.0,30.0,30.0,0.10070384407146725,0.4826385974884033
dur_w6,difficult,008,3102,39308,899,172,0.19132369299221358,13.0,30.0,30.0,0.35754640839386603,0.7112681865692139
dur_w6,difficult,009,4198,64470,1151,257,0.22328410078192876,23.0,30.0,30.0,0.41424041510521764,1.3814737796783447
dur_w6,difficult,010,4310,55582,1105,261,0.23619909502262443,12.0,30.0,30.0,0.3140586462044396,1.540004014968872
dur_w6,stress,007,7381,137993,1154,179,0.15511265164644714,30.0,30.0,30.0,0.5385721130809775,2.1582753658294678
dur_w6,stress,008,6010,94459,1006,161,0.16003976143141152,20.0,30.0,30.0,0.4034913707597699,1.6132166385650635
dur_w6,stress,009,5673,89085,972,161,0.16563786008230452,22.0,30.0,30.0,0.3860054633326329,1.5129826068878174
dur_w6,stress,010,4632,72819,766,144,0.18798955613577023,22.0,30.0,30.0,0.36799792531120334,1.1852405071258545
dur_w12,central_provisional,001,3107,12137,1262,738,0.5847860538827259,3.0,14.0,30.0,0.0358018636586562,0.46071696281433105
dur_w12,central_provisional,002,3678,19574,1557,886,0.5690430314707772,4.0,21.0,30.0,0.036618620958317104,0.6928315162658691
dur_w12,central_provisional,003,3732,23160,1537,874,0.5686402081977879,4.0,30.0,30.0,0.1464468001570475,0.6663615703582764
dur_w12,central_provisional,004,3189,13774,1316,757,0.5752279635258358,3.0,18.0,30.0,0.021967963386727688,0.5030806064605713
dur_w12,central_provisional,005,3524,13488,1500,857,0.5713333333333334,3.0,14.0,30.0,0.016494845360824743,0.582808256149292
dur_w12,central_provisional,006,3260,9555,1352,756,0.5591715976331361,3.0,10.0,30.0,0.019389238972370333,0.48318958282470703
dur_w12,central_provisional,007,3487,25722,1469,822,0.5595643294758339,6.0,30.0,30.0,0.14058252427184467,0.6722207069396973
dur_w12,central_provisional,008,3994,31079,1712,815,0.4760514018691589,4.0,30.0,30.0,0.26444833625218916,1.0049262046813965
dur_w12,central_provisional,009,3693,15513,1552,844,0.5438144329896907,3.0,16.0,30.0,0.07334963325183375,0.6579849720001221
dur_w12,central_provisional,010,4105,28980,1755,984,0.5606837606837607,5.0,30.0,30.0,0.11290322580645161,0.7881267070770264
dur_w12,easier,007,4684,43127,2524,1507,0.597068145800317,7.0,30.0,30.0,0.17125877903835765,0.9939534664154053
dur_w12,easier,008,5628,51464,3204,1761,0.549625468164794,6.0,30.0,30.0,0.24541544034412496,1.243175983428955
dur_w12,easier,009,5130,32636,2895,1810,0.6252158894645942,4.0,30.0,30.0,0.10234596545501418,0.990553617477417
dur_w12,easier,010,5570,54394,3084,1950,0.632295719844358,7.0,30.0,30.0,0.18931057713900742,1.234769582748413
dur_w12,difficult,007,2466,24481,668,294,0.44011976047904194,8.5,30.0,30.0,0.15685279187817258,0.5516388416290283
dur_w12,difficult,008,3102,44461,899,287,0.3192436040044494,17.0,30.0,30.0,0.3956170703575548,0.8372735977172852
dur_w12,difficult,009,4198,72070,1151,376,0.3266724587315378,30.0,30.0,30.0,0.5124792013311148,1.1866650581359863
dur_w12,difficult,010,4310,65072,1105,424,0.38371040723981903,17.0,30.0,30.0,0.3611552729199788,1.1611766815185547
dur_w12,stress,007,7381,151404,1154,248,0.21490467937608318,30.0,30.0,30.0,0.6473422443270127,2.1916818618774414
dur_w12,stress,008,6010,106783,1006,246,0.24453280318091453,28.0,30.0,30.0,0.4844946401225115,1.8397705554962158
dur_w12,stress,009,5673,100910,972,234,0.24074074074074073,30.0,30.0,30.0,0.5125178098921229,1.544933795928955
dur_w12,stress,010,4632,82471,766,199,0.2597911227154047,30.0,30.0,30.0,0.5300353356890459,1.2494616508483887
dur_w18,central_provisional,001,3107,14806,1262,928,0.7353407290015848,4.0,17.0,30.0,0.04494902687673772,0.5132837295532227
dur_w18,central_provisional,002,3678,24181,1557,1099,0.705844572896596,5.0,27.0,30.0,0.0804093567251462,0.720787525177002
dur_w18,central_provisional,003,3732,26353,1537,1062,0.6909564085881588,4.0,30.0,30.0,0.16309171597633135,0.6959543228149414
dur_w18,central_provisional,004,3189,17223,1316,953,0.7241641337386018,4.0,21.0,30.0,0.05897546276366767,0.5713551044464111
dur_w18,central_provisional,005,3524,16982,1500,1057,0.7046666666666667,4.0,17.0,30.0,0.018316445830085737,0.6254420280456543
dur_w18,central_provisional,006,3260,11915,1352,946,0.6997041420118343,3.0,13.0,30.0,0.020702070207020702,0.5291190147399902
dur_w18,central_provisional,007,3487,29696,1469,1036,0.7052416609938734,7.0,30.0,30.0,0.17603275027912169,0.7871682643890381
dur_w18,central_provisional,008,3994,33468,1712,1012,0.5911214953271028,5.0,30.0,30.0,0.25216234198270127,0.7990515232086182
dur_w18,central_provisional,009,3693,18507,1552,1068,0.6881443298969072,4.0,20.0,30.0,0.07555049354593774,0.6989679336547852
dur_w18,central_provisional,010,4105,33859,1755,1225,0.698005698005698,6.0,30.0,30.0,0.16533418612088263,0.870046854019165
dur_w18,easier,007,4684,49484,2524,1840,0.7290015847860539,9.0,30.0,30.0,0.22885313959522574,1.1448469161987305
dur_w18,easier,008,5628,57075,3204,2134,0.6660424469413233,8.0,30.0,30.0,0.24161073825503357,1.304560661315918
dur_w18,easier,009,5130,38504,2895,2206,0.7620034542314335,5.0,30.0,30.0,0.12371638141809291,1.1619772911071777
dur_w18,easier,010,5570,62268,3084,2321,0.7525940337224384,8.0,30.0,30.0,0.24940771053198363,2.0046374797821045
dur_w18,difficult,007,2466,28117,668,366,0.5479041916167665,10.0,30.0,30.0,0.23160493827160494,0.6410543918609619
dur_w18,difficult,008,3102,47894,899,351,0.39043381535038935,20.0,30.0,30.0,0.419148134187712,0.8602173328399658
dur_w18,difficult,009,4198,76333,1151,459,0.3987836663770634,30.0,30.0,30.0,0.5515085621092688,1.203826665878296
dur_w18,difficult,010,4310,71026,1105,525,0.4751131221719457,21.0,30.0,30.0,0.41947272252675544,1.2122399806976318
dur_w18,stress,007,7381,157735,1154,297,0.25736568457538994,30.0,30.0,30.0,0.6944614443084456,2.3049137592315674
dur_w18,stress,008,6010,113872,1006,283,0.2813121272365805,30.0,30.0,30.0,0.5469457013574661,1.6984949111938477
dur_w18,stress,009,5673,106419,972,286,0.294238683127572,30.0,30.0,30.0,0.5700878594249201,1.5502524375915527
dur_w18,stress,010,4632,86431,766,242,0.31592689295039167,30.0,30.0,30.0,0.5811479465611084,1.2694108486175537
fwd24,central_provisional,001,3107,15387,1262,936,0.7416798732171157,4.0,17.0,30.0,0.045474810521622826,0.5167958736419678
fwd24,central_provisional,002,3678,24613,1557,1124,0.7219010918432883,5.0,27.0,30.0,0.07834757834757834,0.664179801940918
fwd24,central_provisional,003,3732,26895,1537,1074,0.6987638256343527,4.0,30.0,30.0,0.1588785046728972,0.703685998916626
fwd24,central_provisional,004,3189,17492,1316,970,0.7370820668693009,4.0,21.0,30.0,0.057587221521647754,0.6504437923431396
fwd24,central_provisional,005,3524,17349,1500,1084,0.7226666666666667,4.0,17.0,30.0,0.017809776430466086,0.6275732517242432
fwd24,central_provisional,006,3260,12155,1352,963,0.7122781065088757,3.0,13.0,30.0,0.020096111839231105,0.4724564552307129
fwd24,central_provisional,007,3487,30737,1469,1041,0.7086453369639211,7.0,30.0,30.0,0.17727436174038116,0.6324796676635742
fwd24,central_provisional,008,3994,33817,1712,1001,0.584696261682243,5.0,30.0,30.0,0.24893686620870134,0.7502808570861816
fwd24,central_provisional,009,3693,18858,1552,1097,0.7068298969072165,3.0,20.0,30.0,0.07345884090070137,0.5958247184753418
fwd24,central_provisional,010,4105,34745,1755,1255,0.7150997150997151,6.0,30.0,30.0,0.16454517230673704,0.8730664253234863
fwd24,easier,007,4684,50942,2524,1839,0.7286053882725833,9.0,30.0,30.0,0.22722722722722724,0.9806087017059326
fwd24,easier,008,5628,57933,3204,2133,0.6657303370786517,7.0,30.0,30.0,0.23708078464458976,1.19700288772583
fwd24,easier,009,5130,39312,2895,2256,0.7792746113989637,5.0,30.0,30.0,0.12118343195266272,0.9738783836364746
fwd24,easier,010,5570,63712,3084,2357,0.7642671854734111,8.0,30.0,30.0,0.2441059878990194,1.2435760498046875
fwd24,difficult,007,2466,28129,668,364,0.5449101796407185,10.0,30.0,30.0,0.21421755725190839,0.5081181526184082
fwd24,difficult,008,3102,48608,899,339,0.3770856507230256,20.0,30.0,30.0,0.4119808893789048,0.7500202655792236
fwd24,difficult,009,4198,78538,1151,449,0.39009556907037357,30.0,30.0,30.0,0.5432163436354112,1.2366766929626465
fwd24,difficult,010,4310,72858,1105,512,0.4633484162895928,21.0,30.0,30.0,0.4170471841704718,1.2342073917388916
fwd24,stress,007,7381,167344,1154,278,0.24090121317157712,30.0,30.0,30.0,0.6885599310146594,2.4593522548675537
fwd24,stress,008,6010,117372,1006,270,0.268389662027833,30.0,30.0,30.0,0.5406681190994916,1.7719554901123047
fwd24,stress,009,5673,109328,972,287,0.2952674897119342,30.0,30.0,30.0,0.5631629701060752,1.670504093170166
fwd24,stress,010,4632,88784,766,242,0.31592689295039167,30.0,30.0,30.0,0.5715648854961832,1.3380939960479736
