variant,algorithm,scenario,world,n_pairs,n_truth,n_reachable,blocking_recall,n_pred,tp,precision,recall_conditional,recall_end_to_end,threshold,f1_conditional,f1_end_to_end
dur_w6,logistic_regression,central_provisional,007,20298,1469,518,0.3526208304969367,345,274,0.7942028985507247,0.528957528957529,0.1865214431586113,0.4796496689218734,0.6349942062572422,0.3020948180815876
dur_w6,logistic_regression,central_provisional,008,28181,1712,518,0.30257009345794394,347,298,0.8587896253602305,0.5752895752895753,0.17406542056074767,0.4796496689218734,0.6890173410404624,0.28946090335114133
dur_w6,logistic_regression,central_provisional,009,11623,1552,507,0.32667525773195877,332,288,0.8674698795180723,0.5680473372781065,0.18556701030927836,0.4796496689218734,0.6865315852205007,0.30573248407643316
dur_w6,logistic_regression,central_provisional,010,20699,1755,623,0.35498575498575496,450,361,0.8022222222222222,0.579454253611557,0.2056980056980057,0.4796496689218734,0.6728797763280522,0.327437641723356
dur_w6,logistic_regression,difficult,007,18132,668,191,0.28592814371257486,406,75,0.18472906403940886,0.39267015706806285,0.1122754491017964,0.4796496689218734,0.2512562814070352,0.13966480446927376
dur_w6,logistic_regression,difficult,008,39308,899,172,0.19132369299221358,306,54,0.17647058823529413,0.313953488372093,0.060066740823136816,0.4796496689218734,0.22594142259414227,0.08962655601659751
dur_w6,logistic_regression,difficult,009,64470,1151,257,0.22328410078192876,348,68,0.19540229885057472,0.26459143968871596,0.059079061685490875,0.4796496689218734,0.22479338842975205,0.09072715143428951
dur_w6,logistic_regression,difficult,010,55582,1105,261,0.23619909502262443,430,80,0.18604651162790697,0.3065134099616858,0.07239819004524888,0.4796496689218734,0.23154848046309695,0.10423452768729642
dur_w6,logistic_regression,easier,007,34065,2524,962,0.38114104595879555,665,585,0.8796992481203008,0.6081081081081081,0.23177496038034864,0.4796496689218734,0.7191149354640443,0.36688617121354655
dur_w6,logistic_regression,easier,008,44804,3204,1106,0.34519350811485644,876,766,0.8744292237442922,0.6925858951175407,0.2390761548064919,0.4796496689218734,0.7729566094853684,0.37549019607843137
dur_w6,logistic_regression,easier,009,25201,2895,1143,0.39481865284974094,894,779,0.8713646532438478,0.6815398075240595,0.2690846286701209,0.4796496689218734,0.7648502700049092,0.4111902876748482
dur_w6,logistic_regression,easier,010,41659,3084,1264,0.4098573281452659,868,766,0.8824884792626728,0.6060126582278481,0.248378728923476,0.4796496689218734,0.7185741088180113,0.3876518218623482
dur_w6,logistic_regression,stress,007,137993,1154,179,0.15511265164644714,1603,28,0.017467248908296942,0.1564245810055866,0.024263431542461005,0.4796496689218734,0.031425364758698095,0.020311933260790713
dur_w6,logistic_regression,stress,008,94459,1006,161,0.16003976143141152,1422,31,0.02180028129395218,0.19254658385093168,0.030815109343936383,0.4796496689218734,0.03916614024005054,0.02553542009884679
dur_w6,logistic_regression,stress,009,89085,972,161,0.16563786008230452,1463,34,0.02323991797676008,0.2111801242236025,0.03497942386831276,0.4796496689218734,0.04187192118226601,0.02792607802874743
dur_w6,logistic_regression,stress,010,72819,766,144,0.18798955613577023,1141,20,0.017528483786152498,0.1388888888888889,0.02610966057441253,0.4796496689218734,0.0311284046692607,0.02097535395909806
dur_w6,gradient_boosting,central_provisional,007,20298,1469,518,0.3526208304969367,443,359,0.8103837471783296,0.693050193050193,0.24438393464942137,0.37088494561413765,0.7471383975026015,0.3755230125523013
dur_w6,gradient_boosting,central_provisional,008,28181,1712,518,0.30257009345794394,469,388,0.8272921108742004,0.749034749034749,0.2266355140186916,0.37088494561413765,0.7862208713272544,0.3558000917010546
dur_w6,gradient_boosting,central_provisional,009,11623,1552,507,0.32667525773195877,463,373,0.8056155507559395,0.7357001972386588,0.24033505154639176,0.37088494561413765,0.7690721649484535,0.37022332506203476
dur_w6,gradient_boosting,central_provisional,010,20699,1755,623,0.35498575498575496,573,459,0.8010471204188482,0.7367576243980738,0.26153846153846155,0.37088494561413765,0.7675585284280937,0.3943298969072165
dur_w6,gradient_boosting,difficult,007,18132,668,191,0.28592814371257486,157,92,0.5859872611464968,0.4816753926701571,0.1377245508982036,0.37088494561413765,0.5287356321839081,0.22303030303030305
dur_w6,gradient_boosting,difficult,008,39308,899,172,0.19132369299221358,139,93,0.6690647482014388,0.5406976744186046,0.10344827586206896,0.37088494561413765,0.5980707395498391,0.1791907514450867
dur_w6,gradient_boosting,difficult,009,64470,1151,257,0.22328410078192876,192,123,0.640625,0.4785992217898833,0.10686359687228497,0.37088494561413765,0.5478841870824054,0.18317200297840655
dur_w6,gradient_boosting,difficult,010,55582,1105,261,0.23619909502262443,202,129,0.6386138613861386,0.4942528735632184,0.1167420814479638,0.37088494561413765,0.5572354211663066,0.19739862280030604
dur_w6,gradient_boosting,easier,007,34065,2524,962,0.38114104595879555,837,728,0.8697729988052568,0.7567567567567568,0.2884310618066561,0.37088494561413765,0.8093385214007782,0.4332044034513538
dur_w6,gradient_boosting,easier,008,44804,3204,1106,0.34519350811485644,1077,919,0.8532961931290622,0.8309222423146474,0.2868289637952559,0.37088494561413765,0.8419606046724691,0.42933893950011676
dur_w6,gradient_boosting,easier,009,25201,2895,1143,0.39481865284974094,1069,923,0.8634237605238541,0.8075240594925635,0.3188255613126079,0.37088494561413765,0.8345388788426764,0.46569122098890003
dur_w6,gradient_boosting,easier,010,41659,3084,1264,0.4098573281452659,1169,1031,0.8819503849443969,0.8156645569620253,0.3343060959792477,0.37088494561413765,0.8475133579942457,0.4848342346578885
dur_w6,gradient_boosting,stress,007,137993,1154,179,0.15511265164644714,142,36,0.2535211267605634,0.2011173184357542,0.03119584055459272,0.37088494561413765,0.22429906542056074,0.05555555555555556
dur_w6,gradient_boosting,stress,008,94459,1006,161,0.16003976143141152,148,33,0.22297297297297297,0.20496894409937888,0.032803180914512925,0.37088494561413765,0.21359223300970873,0.057192374350086665
dur_w6,gradient_boosting,stress,009,89085,972,161,0.16563786008230452,152,44,0.2894736842105263,0.2732919254658385,0.04526748971193416,0.37088494561413765,0.28115015974440893,0.07829181494661921
dur_w6,gradient_boosting,stress,010,72819,766,144,0.18798955613577023,132,39,0.29545454545454547,0.2708333333333333,0.050913838120104436,0.37088494561413765,0.2826086956521739,0.08685968819599109
dur_w6,current_weighted_composite,central_provisional,007,20298,1469,518,0.3526208304969367,1914,364,0.19017763845350052,0.7027027027027027,0.24778761061946902,0.3431669423310381,0.2993421052631579,0.21519361513449603
dur_w6,current_weighted_composite,central_provisional,008,28181,1712,518,0.30257009345794394,2107,394,0.18699572852396773,0.7606177606177607,0.23014018691588786,0.3431669423310381,0.30019047619047623,0.20633673736580257
dur_w6,current_weighted_composite,central_provisional,009,11623,1552,507,0.32667525773195877,1594,377,0.23651191969887075,0.7435897435897436,0.24291237113402062,0.3431669423310381,0.35887672536887194,0.23966942148760328
dur_w6,current_weighted_composite,central_provisional,010,20699,1755,623,0.35498575498575496,2201,446,0.20263516583371194,0.7158908507223114,0.25413105413105413,0.3431669423310381,0.3158640226628895,0.22548028311425683
dur_w6,current_weighted_composite,difficult,007,18132,668,191,0.28592814371257486,1488,122,0.08198924731182795,0.6387434554973822,0.18263473053892215,0.3431669423310381,0.1453245979749851,0.11317254174397032
dur_w6,current_weighted_composite,difficult,008,39308,899,172,0.19132369299221358,2103,100,0.0475511174512601,0.5813953488372093,0.11123470522803114,0.3431669423310381,0.08791208791208792,0.06662225183211191
dur_w6,current_weighted_composite,difficult,009,64470,1151,257,0.22328410078192876,3101,133,0.04288939051918736,0.5175097276264592,0.1155516941789748,0.3431669423310381,0.07921381774865992,0.06255879586077141
dur_w6,current_weighted_composite,difficult,010,55582,1105,261,0.23619909502262443,3147,136,0.04321576104226247,0.5210727969348659,0.12307692307692308,0.3431669423310381,0.07981220657276995,0.06396989651928504
dur_w6,current_weighted_composite,easier,007,34065,2524,962,0.38114104595879555,2870,693,0.24146341463414633,0.7203742203742204,0.2745641838351823,0.3431669423310381,0.3616910229645094,0.256952169076752
dur_w6,current_weighted_composite,easier,008,44804,3204,1106,0.34519350811485644,3371,860,0.25511717591219224,0.7775768535262206,0.26841448189762795,0.3431669423310381,0.3841858387312933,0.26159695817490497
dur_w6,current_weighted_composite,easier,009,25201,2895,1143,0.39481865284974094,2813,871,0.3096338428723782,0.7620297462817148,0.3008635578583765,0.3431669423310381,0.44034378159757326,0.30518570427470215
dur_w6,current_weighted_composite,easier,010,41659,3084,1264,0.4098573281452659,3449,951,0.27573209625978545,0.752373417721519,0.30836575875486383,0.3431669423310381,0.403564608529599,0.29113730292361856
dur_w6,current_weighted_composite,stress,007,137993,1154,179,0.15511265164644714,5845,69,0.011804961505560308,0.3854748603351955,0.05979202772963605,0.3431669423310381,0.022908366533864542,0.019717102443206173
dur_w6,current_weighted_composite,stress,008,94459,1006,161,0.16003976143141152,4582,68,0.014840680925360105,0.422360248447205,0.06759443339960239,0.3431669423310381,0.02867383512544803,0.024337866857551897
dur_w6,current_weighted_composite,stress,009,89085,972,161,0.16563786008230452,4258,72,0.016909347111319868,0.4472049689440994,0.07407407407407407,0.3431669423310381,0.03258655804480652,0.027533460803059275
